"","FirstName","LastName","salary","team","pos","opp","ceil","floor","fpts"
"1","Cam","Newton",7700,"CAR","QB","DEN",NA,NA,19.86
"2","Jonathan","Stewart",5100,"CAR","RB","DEN",NA,NA,13.11
"3","Cameron","Artis-Payne",3000,"CAR","RB","DEN",NA,NA,4.07
"4","Kelvin","Benjamin",5700,"CAR","WR","DEN",NA,NA,11.86
"5","Devin","Funchess",4800,"CAR","WR","DEN",NA,NA,9.46
"6","Ted","Ginn",4100,"CAR","WR","DEN",NA,NA,7.85
"7","Philly","Brown",3000,"CAR","WR","DEN",NA,NA,5.84
"8","Greg","Olsen",5100,"CAR","TE","DEN",NA,NA,16.32
"9","Ed","Dickson",2500,"CAR","TE","DEN",NA,NA,2.64
"10","C.J.","Anderson",5900,"DEN","RB","CAR",NA,NA,14.6
"11","Demaryius","Thomas",7000,"DEN","WR","CAR",NA,NA,16.04
"12","Emmanuel","Sanders",5700,"DEN","WR","CAR",NA,NA,15.19
"13","Bennie","Fowler",3000,"DEN","WR","CAR",NA,NA,4.74
"14","Cody","Latimer",3000,"DEN","WR","CAR",NA,NA,3.65
"15","Virgil","Green",2900,"DEN","TE","CAR",NA,NA,9.31
"16","Charles","Johnson",3000,"CAR","WR","DEN",NA,NA,4.98
"17","Devontae","Booker",3300,"DEN","RB","CAR",NA,NA,6.9
"18","Trevor","Siemian",5200,"DEN","QB","CAR",NA,NA,15.28
"19","Adrian","Peterson",7600,"MIN","RB","TEN",NA,NA,18.29
"20","Jerick","McKinnon",4600,"MIN","RB","TEN",NA,NA,5.03
"21","Stefon","Diggs",4800,"MIN","WR","TEN",NA,NA,12.18
"22","Laquon","Treadwell",4500,"MIN","WR","TEN",NA,NA,8.3
"23","Jarius","Wright",3000,"MIN","WR","TEN",NA,NA,6.05
"24","Kyle","Rudolph",3000,"MIN","TE","TEN",NA,NA,8.39
"25","MyCole","Pruitt",2500,"MIN","TE","TEN",NA,NA,2.19
"26","Marcus","Mariota",6400,"TEN","QB","MIN",NA,NA,19.06
"27","DeMarco","Murray",5300,"TEN","RB","MIN",NA,NA,11.99
"28","Derrick","Henry",4000,"TEN","RB","MIN",NA,NA,6.69
"29","Rishard","Matthews",3300,"TEN","WR","MIN",NA,NA,10.47
"30","Tajae","Sharpe",3000,"TEN","WR","MIN",NA,NA,11.83
"31","Kendall","Wright",3400,"TEN","WR","MIN",NA,NA,8.37
"32","Delanie","Walker",4500,"TEN","TE","MIN",NA,NA,13.8
"33","Anthony","Fasano",2500,"TEN","TE","MIN",NA,NA,4.02
"34","Andre","Johnson",3900,"TEN","WR","MIN",NA,NA,4.42
"35","Shaun","Hill",5000,"MIN","QB","TEN",25.36,0,12.68
"36","Dorial","Green-Beckham",4500,"PHI","WR","CLE",NA,NA,8.47
"37","Robert","Griffin III",5600,"CLE","QB","PHI",NA,NA,18.46
"38","Isaiah","Crowell",4200,"CLE","RB","PHI",NA,NA,8.57
"39","Duke","Johnson",5100,"CLE","RB","PHI",NA,NA,11.19
"40","Corey","Coleman",5100,"CLE","WR","PHI",NA,NA,12.57
"41","Terrelle","Pryor",3000,"CLE","WR","PHI",NA,NA,7.45
"42","Andrew","Hawkins",3800,"CLE","WR","PHI",NA,NA,4.83
"43","Gary","Barnidge",4700,"CLE","TE","PHI",NA,NA,12.98
"44","Sam","Bradford",6400,"PHI","QB","CLE",NA,NA,15.64
"45","Ryan","Mathews",5700,"PHI","RB","CLE",NA,NA,14.74
"46","Darren","Sproles",4200,"PHI","RB","CLE",NA,NA,10.5
"47","Jordan","Matthews",6700,"PHI","WR","CLE",NA,NA,13.9
"48","Nelson","Agholor",3500,"PHI","WR","CLE",NA,NA,7.36
"49","Brent","Celek",2700,"PHI","TE","CLE",NA,NA,6.42
