"","Position","Name","Salary","GameInfo","Projection","Team","FirstName","LastName","Opponent"
"1","WR","Julio Jones",9400,"TB@Atl 01:00PM ET",25.194,"Atl","Julio","Jones","TB"
"2","WR","Odell Beckham Jr.",9300,"NYG@Dal 04:25PM ET",22.887,"NYG","Odell","Beckham Jr.","Dal"
"3","WR","DeAndre Hopkins",8800,"Chi@Hou 01:00PM ET",21.294,"Hou","DeAndre","Hopkins","Chi"
"4","QB","Aaron Rodgers",8500,"GB@Jax 01:00PM ET",20.004,"GB","Aaron","Rodgers","Jax"
"5","WR","Dez Bryant",8500,"NYG@Dal 04:25PM ET",10.233,"Dal","Dez","Bryant","NYG"
"6","WR","A.J. Green",8400,"Cin@NYJ 01:00PM ET",17.929,"Cin","A.J.","Green","NYJ"
"7","QB","Andrew Luck",8300,"Det@Ind 04:25PM ET",21.406,"Ind","Andrew","Luck","Det"
"8","WR","Allen Robinson",8300,"GB@Jax 01:00PM ET",20.125,"Jax","Allen","Robinson","GB"
"9","QB","Drew Brees",8100,"Oak@NO 01:00PM ET",23.147,"NO","Drew","Brees","Oak"
"10","WR","Keenan Allen",8000,"SD@KC 01:00PM ET",21.438,"SD","Keenan","Allen","KC"
"11","QB","Russell Wilson",7900,"Mia@Sea 04:05PM ET",21.771,"Sea","Russell","Wilson","Mia"
"12","WR","Alshon Jeffery",7900,"Chi@Hou 01:00PM ET",18.967,"Chi","Alshon","Jeffery","Hou"
"13","WR","Brandon Marshall",7800,"Cin@NYJ 01:00PM ET",23.2,"NYJ","Brandon","Marshall","Cin"
"14","WR","Jordy Nelson",7700,"GB@Jax 01:00PM ET",0,"GB","Jordy","Nelson","Jax"
"15","WR","Brandin Cooks",7700,"Oak@NO 01:00PM ET",16.6,"NO","Brandin","Cooks","Oak"
"16","RB","Adrian Peterson",7600,"Min@Ten 01:00PM ET",17.147,"Min","Adrian","Peterson","Ten"
"17","WR","Randall Cobb",7600,"GB@Jax 01:00PM ET",12.617,"GB","Randall","Cobb","Jax"
"18","QB","Eli Manning",7500,"NYG@Dal 04:25PM ET",20.211,"NYG","Eli","Manning","Dal"
"19","WR","T.Y. Hilton",7500,"Det@Ind 04:25PM ET",13.588,"Ind","T.Y.","Hilton","Det"
"20","RB","David Johnson",7500,"NE@Ari 08:30PM ET",14.522,"Ari","David","Johnson","NE"
"21","QB","Tom Brady",7400,"NE@Ari 08:30PM ET",23.504,"NE","Tom","Brady","Ari"
"22","TE","Rob Gronkowski",7400,"NE@Ari 08:30PM ET",19.371,"NE","Rob","Gronkowski","Ari"
"23","WR","Mike Evans",7400,"TB@Atl 01:00PM ET",15.107,"TB","Mike","Evans","Atl"
"24","WR","Golden Tate",7300,"Det@Ind 04:25PM ET",13.15,"Det","Golden","Tate","Ind"
"25","QB","Derek Carr",7300,"Oak@NO 01:00PM ET",19.08,"Oak","Derek","Carr","NO"
"26","RB","Ezekiel Elliott",7300,"NYG@Dal 04:25PM ET",0,"Dal","Ezekiel","Elliott","NYG"
"27","QB","Matthew Stafford",7200,"Det@Ind 04:25PM ET",19.674,"Det","Matthew","Stafford","Ind"
