"FirstName","LastName","Salary","Position","Team","Opponent","Projection"
"Julio","Jones",9400,"WR","Atl","TB",25.194
"Odell","Beckham Jr.",9300,"WR","NYG","Dal",22.887
"DeAndre","Hopkins",8800,"WR","Hou","Chi",21.294
"Aaron","Rodgers",8500,"QB","GB","Jax",20.004
"Dez","Bryant",8500,"WR","Dal","NYG",10.233
"A.J.","Green",8400,"WR","Cin","NYJ",17.929
"Andrew","Luck",8300,"QB","Ind","Det",21.406
"Allen","Robinson",8300,"WR","Jax","GB",20.125
"Drew","Brees",8100,"QB","NO","Oak",23.147
"Keenan","Allen",8000,"WR","SD","KC",21.438
"Russell","Wilson",7900,"QB","Sea","Mia",21.771
"Alshon","Jeffery",7900,"WR","Chi","Hou",18.967
"Brandon","Marshall",7800,"WR","NYJ","Cin",23.2
"Jordy","Nelson",7700,"WR","GB","Jax",0
"Brandin","Cooks",7700,"WR","NO","Oak",16.6
"Adrian","Peterson",7600,"RB","Min","Ten",17.147
"Randall","Cobb",7600,"WR","GB","Jax",12.617
"Eli","Manning",7500,"QB","NYG","Dal",20.211
"T.Y.","Hilton",7500,"WR","Ind","Det",13.588
"David","Johnson",7500,"RB","Ari","NE",14.522
"Tom","Brady",7400,"QB","NE","Ari",23.504
"Rob","Gronkowski",7400,"TE","NE","Ari",19.371
"Mike","Evans",7400,"WR","TB","Atl",15.107
"Golden","Tate",7300,"WR","Det","Ind",13.15
"Derek","Carr",7300,"QB","Oak","NO",19.08
"Ezekiel","Elliott",7300,"RB","Dal","NYG",0
"Matthew","Stafford",7200,"QB","Det","Ind",19.674
"Blake","Bortles",7200,"QB","Jax","GB",22.32
"Amari","Cooper",7200,"WR","Oak","NO",14.294
"Carson","Palmer",7100,"QB","Ari","NE",21.311
"Matt","Ryan",7100,"QB","Atl","TB",16.871
"Jamaal","Charles",7100,"RB","KC","SD",21.22
"Philip","Rivers",7000,"QB","SD","KC",20.218
"Lamar","Miller",7000,"RB","Hou","Chi",15.119
"Tyrod","Taylor",6900,"QB","Buf","Bal",19.9
"Devonta","Freeman",6900,"RB","Atl","TB",22.027
"Sammy","Watkins",6900,"WR","Buf","Bal",17.985
"Tony","Romo",6800,"QB","Dal","NYG",12.915
"Andy","Dalton",6800,"QB","Cin","NYJ",20.4
"Josh","Gordon",6800,"WR","Cle","Phi",0
"Joe","Flacco",6700,"QB","Bal","Buf",19.094
"Eddie","Lacy",6700,"RB","GB","Jax",10.235
"Jordan","Matthews",6700,"WR","Phi","Cle",15.231
"Eric","Decker",6600,"WR","NYJ","Cin",17.113
"Doug","Baldwin",6600,"WR","Sea","Mia",17.183
"Mark","Ingram",6600,"RB","NO","Oak",17.283
"Jameis","Winston",6600,"QB","TB","Atl",18.624
"Ryan","Fitzpatrick",6500,"QB","NYJ","Cin",19.075
"Alex","Smith",6500,"QB","KC","SD",17.377
"Jeremy","Maclin",6500,"WR","KC","SD",15.494
"Sam","Bradford",6400,"QB","Phi","Cle",16.207
"LeSean","McCoy",6400,"RB","Buf","Bal",15.808
"Marcus","Mariota",6400,"QB","Ten","Min",19.668
"Jay","Cutler",6300,"QB","Chi","Hou",16.764
"Larry","Fitzgerald",6300,"WR","Ari","NE",18.506
"Brock","Osweiler",6300,"QB","Hou","Chi",14.087
"Doug","Martin",6200,"RB","TB","Atl",15.581
"Jimmy","Garoppolo",6200,"QB","NE","Ari",-0.052
"Matt","Forte",6100,"RB","NYJ","Cin",16.823
"Julian","Edelman",6100,"WR","NE","Ari",19.355
"Jarvis","Landry",6000,"WR","Mia","Sea",17.773
"Teddy","Bridgewater",6000,"QB","Min","Ten",13.193
"Thomas","Rawls",6000,"RB","Sea","Mia",10.815
"Donte","Moncrief",6000,"WR","Ind","Det",11.206
"Ryan","Tannehill",5900,"QB","Mia","Sea",18.208
"Michael","Floyd",5900,"WR","Ari","NE",12.482
"Arian","Foster",5800,"RB","Mia","Sea",19.5
"Allen","Hurns",5800,"WR","Jax","GB",16.073
"Ryan","Mathews",5700,"RB","Phi","Cle",10.038
"Dion","Lewis",5700,"RB","NE","Ari",17.314
"Robert","Griffin III",5600,"QB","Cle","Phi",0
"Latavius","Murray",5600,"RB","Oak","NO",13.238
