"Name","Salary","Team","Opponent","Projection"
"Seahawks",3900,"Sea","Mia",9.556
"Chiefs",3600,"KC","SD",11.5
"Cardinals",3500,"Ari","NE",9.5
"Jets",3400,"NYJ","Cin",7.25
"Eagles",3300,"Phi","Cle",8.25
"Texans",3200,"Hou","Chi",9.118
"Vikings",3100,"Min","Ten",8.765
"Bengals",3000,"Cin","NYJ",8.765
"Bills",2900,"Buf","Bal",6.125
"Patriots",2900,"NE","Ari",7.944
"Falcons",2800,"Atl","TB",5.75
"Packers",2800,"GB","Jax",7.611
"Colts",2700,"Ind","Det",7.563
"Giants",2700,"NYG","Dal",7.313
"Ravens",2700,"Bal","Buf",6.438
"Titans",2600,"Ten","Min",5.563
"Buccaneers",2600,"TB","Atl",6.625
"Bears",2500,"Chi","Hou",4.938
"Cowboys",2500,"Dal","NYG",5.188
"Lions",2500,"Det","Ind",6.063
"Chargers",2500,"SD","KC",5.188
"Raiders",2400,"Oak","NO",6.938
"Jaguars",2400,"Jax","GB",6.188
"Browns",2300,"Cle","Phi",5.375
"Saints",2300,"NO","Oak",5
"Dolphins",2200,"Mia","Sea",6
