"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_fc","Projection_dfn"
"DST","Vikings  (7609516)","Vikings ",7609516,3700,"Min@Phi 01:00PM ET","Min","Vikings","","Phi",10.22,8.96,7.7
"DST","Bengals  (7609518)","Bengals ",7609518,3600,"Cle@Cin 01:00PM ET","Cin","Bengals","","Cle",9.88,8.96,7.7
"DST","Bills  (7609524)","Bills ",7609524,3400,"Buf@Mia 01:00PM ET","Buf","Bills","","Mia",9.76,8.9,7.6
"DST","Seahawks  (7609535)","Seahawks ",7609535,3300,"Sea@Ari 08:30PM ET","Sea","Seahawks","","Ari",8.33,8.65,8
"DST","Buccaneers  (7609529)","Buccaneers ",7609529,3200,"TB@SF 04:05PM ET","TB","Buccaneers","","SF",6.95,7.49,6.7
"DST","Eagles  (7609517)","Eagles ",7609517,3100,"Min@Phi 01:00PM ET","Phi","Eagles","","Min",9.18,9.21,7
"DST","Cardinals  (7609534)","Cardinals ",7609534,3000,"Sea@Ari 08:30PM ET","Ari","Cardinals","","Sea",8.49,8.84,10
"DST","Patriots  (7609532)","Patriots ",7609532,2900,"NE@Pit 04:25PM ET","NE","Patriots","","Pit",9.42,6.34,10.6
"DST","Ravens  (7609527)","Ravens ",7609527,2800,"Bal@NYJ 01:00PM ET","Bal","Ravens","","NYJ",10.27,6.88,7.1
"DST","Falcons  (7609530)","Falcons ",7609530,2800,"SD@Atl 04:05PM ET","Atl","Falcons","","SD",6.28,6.47,5.9
"DST","Steelers  (7609533)","Steelers ",7609533,2700,"NE@Pit 04:25PM ET","Pit","Steelers","","NE",5.69,5.14,5.7
"DST","Chiefs  (7609512)","Chiefs ",7609512,2600,"NO@KC 01:00PM ET","KC","Chiefs","","NO",5.38,7.17,9
"DST","Lions  (7609520)","Lions ",7609520,2600,"Was@Det 01:00PM ET","Det","Lions","","Was",8.19,6.22,6
"DST","Jets  (7609526)","Jets ",7609526,2600,"Bal@NYJ 01:00PM ET","NYJ","Jets","","Bal",5.75,7.41,8.6
"DST","Titans  (7609514)","Titans ",7609514,2500,"Ind@Ten 01:00PM ET","Ten","Titans","","Ind",8.44,7.73,8
"DST","Colts  (7609515)","Colts ",7609515,2500,"Ind@Ten 01:00PM ET","Ind","Colts","","Ten",6.32,6.82,6
"DST","Dolphins  (7609525)","Dolphins ",7609525,2500,"Buf@Mia 01:00PM ET","Mia","Dolphins","","Buf",6.31,6.08,5.9
"DST","49ers  (7609528)","49ers ",7609528,2500,"TB@SF 04:05PM ET","SF","49ers","","TB",6.32,7.48,5.8
"DST","Redskins  (7609521)","Redskins ",7609521,2400,"Was@Det 01:00PM ET","Was","Redskins","","Det",7.4,6.98,6.9
"DST","Raiders  (7609522)","Raiders ",7609522,2400,"Oak@Jax 01:00PM ET","Oak","Raiders","","Jax",5.66,8.37,8
"DST","Jaguars  (7609523)","Jaguars ",7609523,2300,"Oak@Jax 01:00PM ET","Jax","Jaguars","","Oak",7.23,5.02,6.9
"DST","Browns  (7609519)","Browns ",7609519,2200,"Cle@Cin 01:00PM ET","Cle","Browns","","Cin",6,5.45,5.4
"DST","Chargers  (7609531)","Chargers ",7609531,2100,"SD@Atl 04:05PM ET","SD","Chargers","","Atl",5.1,6.54,5.1
"DST","Saints  (7609513)","Saints ",7609513,2000,"NO@KC 01:00PM ET","NO","Saints","","KC",4.88,6.43,6.1
