"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn"
"RB","David Johnson (7852233)","David Johnson",7852233,9500,"Was@Ari 04:25PM ET","Ari","David","Johnson","Was",27.58,23.3
"RB","Le'Veon Bell (7852224)","Le'Veon Bell",7852224,9200,"NYG@Pit 04:25PM ET","Pit","Le'Veon","Bell","NYG",26.19,27.9
"WR","Antonio Brown (7852363)","Antonio Brown",7852363,9100,"NYG@Pit 04:25PM ET","Pit","Antonio","Brown","NYG",25.86,24.3
"WR","Julio Jones (7852259)","Julio Jones",7852259,8700,"KC@Atl 01:00PM ET","Atl","Julio","Jones","KC",21.64,21.4
"WR","Mike Evans (7852390)","Mike Evans",7852390,8600,"TB@SD 04:25PM ET","TB","Mike","Evans","SD",22.09,23.3
"WR","Odell Beckham Jr. (7852366)","Odell Beckham Jr.",7852366,8500,"NYG@Pit 04:25PM ET","NYG","Odell","Beckham","Pit",21.49,21
"RB","LeSean McCoy (7852212)","LeSean McCoy",7852212,7800,"Buf@Oak 04:05PM ET","Buf","LeSean","McCoy","Oak",17.9,17.8
"QB","Drew Brees (7852075)","Drew Brees",7852075,7600,"Det@NO 01:00PM ET","NO","Drew","Brees","Det",28.55,20.8
"QB","Tom Brady (7852080)","Tom Brady",7852080,7500,"LA@NE 01:00PM ET","NE","Tom","Brady","LA",26.24,20.4
"WR","A.J. Green (7852315)","A.J. Green",7852315,7500,"Phi@Cin 01:00PM ET","Cin","A.J.","Green","Phi",0,0
"QB","Ben Roethlisberger (7852118)","Ben Roethlisberger",7852118,7400,"NYG@Pit 04:25PM ET","Pit","Ben","Roethlisberger","NYG",26.09,20.1
"WR","Amari Cooper (7852357)","Amari Cooper",7852357,7300,"Buf@Oak 04:05PM ET","Oak","Amari","Cooper","Buf",18.54,17.1
"RB","Melvin Gordon (7852242)","Melvin Gordon",7852242,7200,"TB@SD 04:25PM ET","SD","Melvin","Gordon","TB",21.13,20.7
"WR","Larry Fitzgerald (7852371)","Larry Fitzgerald",7852371,7100,"Was@Ari 04:25PM ET","Ari","Larry","Fitzgerald","Was",18.08,18.3
"QB","Matthew Stafford (7852078)","Matthew Stafford",7852078,7000,"Det@NO 01:00PM ET","Det","Matthew","Stafford","NO",25.72,20.6
"WR","Jordy Nelson (7852302)","Jordy Nelson",7852302,7000,"Hou@GB 01:00PM ET","GB","Jordy","Nelson","Hou",18.9,16.9
"WR","Michael Thomas (7852276)","Michael Thomas",7852276,6900,"Det@NO 01:00PM ET","NO","Michael","Thomas","Det",19.26,14.8
"RB","Jordan Howard (7852208)","Jordan Howard",7852208,6900,"SF@Chi 01:00PM ET","Chi","Jordan","Howard","SF",17.26,20.4
"QB","Matt Ryan (7852070)","Matt Ryan",7852070,6800,"KC@Atl 01:00PM ET","Atl","Matt","Ryan","KC",20.69,20.2
"WR","Julian Edelman (7852280)","Julian Edelman",7852280,6800,"LA@NE 01:00PM ET","NE","Julian","Edelman","LA",15.76,16.4
"QB","Aaron Rodgers (7852091)","Aaron Rodgers",7852091,6700,"Hou@GB 01:00PM ET","GB","Aaron","Rodgers","Hou",24.32,20.1
"RB","Jay Ajayi (7852194)","Jay Ajayi",7852194,6700,"Mia@Bal 01:00PM ET","Mia","Jay","Ajayi","Bal",14.82,12.2
"WR","Doug Baldwin (7852395)","Doug Baldwin",7852395,6700,"Car@Sea 08:30PM ET","Sea","Doug","Baldwin","Car",16.68,15.3
"WR","Demaryius Thomas (7852292)","Demaryius Thomas",7852292,6600,"Den@Jax 01:00PM ET","Den","Demaryius","Thomas","Jax",14.94,14.8
