FirstName,LastName,Salary,Position,Team,Opponent,Projection
Julio,Jones,9400,WR,Atl,TB,27.57
Odell,Beckham,9300,WR,NYG,Dal,22.51
DeAndre,Hopkins,8800,WR,Hou,Chi,22.49
Aaron,Rodgers,8500,QB,GB,Jax,23.19
Dez,Bryant,8500,WR,Dal,NYG,17.95
A.J.,Green,8400,WR,Cin,NYJ,19.1
Andrew,Luck,8300,QB,Ind,Det,21.57
Allen,Robinson,8300,WR,Jax,GB,18.72
Drew,Brees,8100,QB,NO,Oak,24.75
Keenan,Allen,8000,WR,SD,KC,17.39
Russell,Wilson,7900,QB,Sea,Mia,21.57
Alshon,Jeffery,7900,WR,Chi,Hou,17.28
Brandon,Marshall,7800,WR,NYJ,Cin,18.93
Jordy,Nelson,7700,WR,GB,Jax,18.78
Brandin,Cooks,7700,WR,NO,Oak,16.81
Adrian,Peterson,7600,RB,Min,Ten,18.29
Randall,Cobb,7600,WR,GB,Jax,17.1
Eli,Manning,7500,QB,NYG,Dal,18.71
T.Y.,Hilton,7500,WR,Ind,Det,15.98
David,Johnson,7500,RB,Ari,NE,18.71
Tom,Brady,7400,QB,NE,Ari,0
Rob,Gronkowski,7400,TE,NE,Ari,16.44
Mike,Evans,7400,WR,TB,Atl,18.54
Golden,Tate,7300,WR,Det,Ind,16.74
Derek,Carr,7300,QB,Oak,NO,19.84
Ezekiel,Elliott,7300,RB,Dal,NYG,17.07
Matthew,Stafford,7200,QB,Det,Ind,18.45
Blake,Bortles,7200,QB,Jax,GB,19.02
Amari,Cooper,7200,WR,Oak,NO,19.09
Carson,Palmer,7100,QB,Ari,NE,19.51
Matt,Ryan,7100,QB,Atl,TB,17.7
Jamaal,Charles,7100,RB,KC,SD,11.42
Philip,Rivers,7000,QB,SD,KC,16.84
Lamar,Miller,7000,RB,Hou,Chi,18.88
Tyrod,Taylor,6900,QB,Buf,Bal,18.86
Devonta,Freeman,6900,RB,Atl,TB,17.3
Sammy,Watkins,6900,WR,Buf,Bal,17.09
Tony,Romo,6800,QB,Dal,NYG,0
Andy,Dalton,6800,QB,Cin,NYJ,17.67
Josh,Gordon,6800,WR,Cle,Phi,0
Joe,Flacco,6700,QB,Bal,Buf,15.65
Eddie,Lacy,6700,RB,GB,Jax,13.98
Jordan,Matthews,6700,WR,Phi,Cle,13.9
Eric,Decker,6600,WR,NYJ,Cin,15.37
Doug,Baldwin,6600,WR,Sea,Mia,16.12
Mark,Ingram,6600,RB,NO,Oak,17.07
