"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Team","LastName","Opponent","FirstName","Projection","Projection_dfn"
"WR","Julio Jones",9600,"GB@Atl 04:25PM ET",22.714,"Atl","","Jones","GB","Julio",25.56,22.1
"WR","Mike Evans",8100,"Oak@TB 01:00PM ET",22.25,"TB","","Evans","Oak","Mike",22.76,23.1
"WR","T.Y. Hilton",7900,"KC@Ind 01:00PM ET",20.986,"Ind","","Hilton","KC","T.Y.",19.28,21.6
"WR","Brandon Marshall",7800,"NYJ@Cle 01:00PM ET",13.6,"NYJ","","Marshall","NYJ","Brandon",18.81,17
"RB","David Johnson",7700,"Ari@Car 01:00PM ET",26.343,"Ari","","Johnson","Ari","David",21.38,19.4
"WR","Amari Cooper",7600,"Oak@TB 01:00PM ET",17.2,"Oak","","Cooper","Oak","Amari",18.17,17.8
"QB","Tom Brady",7600,"NE@Buf 01:00PM ET",27.02,"NE","","Brady","NE","Tom",25.73,20.5
"QB","Aaron Rodgers",7500,"GB@Atl 04:25PM ET",21.573,"GB","","Rodgers","GB","Aaron",21.74,20.4
"WR","Larry Fitzgerald",7500,"Ari@Car 01:00PM ET",17.786,"Ari","","Fitzgerald","Ari","Larry",18.82,18.4
"WR","DeAndre Hopkins",7400,"Det@Hou 01:00PM ET",13.714,"Hou","","Hopkins","Det","DeAndre",17.08,16.6
"QB","Cam Newton",7400,"Ari@Car 01:00PM ET",23.928,"Car","","Newton","Ari","Cam",20.57,18.8
"RB","Christine Michael",7300,"Sea@NO 01:00PM ET",16.6,"Sea","","Michael","Sea","Christine",19.98,14.7
"WR","Brandin Cooks",7300,"Sea@NO 01:00PM ET",18.75,"NO","","Cooks","Sea","Brandin",15.86,15.5
"QB","Russell Wilson",7200,"Sea@NO 01:00PM ET",14.593,"Sea","","Wilson","Sea","Russell",20.67,21
"WR","Jordy Nelson",7200,"GB@Atl 04:25PM ET",15.183,"GB","","Nelson","GB","Jordy",17.54,17.5
"WR","Kelvin Benjamin",7200,"Ari@Car 01:00PM ET",15.9,"Car","","Benjamin","Ari","Kelvin",16.66,13.3
"RB","Ezekiel Elliott",7200,"Phi@Dal 08:30PM ET",22.017,"Dal","","Elliott","Phi","Ezekiel",17.35,15.8
"RB","LeSean McCoy",7100,"NE@Buf 01:00PM ET",20.071,"Buf","","McCoy","NE","LeSean",0,0
"WR","Dez Bryant",7100,"Phi@Dal 08:30PM ET",11.667,"Dal","","Bryant","Phi","Dez",15.46,14.6
"QB","Matt Ryan",7000,"GB@Atl 04:25PM ET",24.989,"Atl","","Ryan","GB","Matt",19.5,22.5
