Rk,ID,Player,Pos,Team,Opp,Week,Snaps,Snap Pct,Rush Pct,Tgt Pct,Touch Pct,Util Pct,Fantasy Points,Points/100 Snaps
168,11151,Tyson Alualu,DE,JAX,HOU,17,44,54,0,0,0,0,0,16.4
169,9739,Hakeem Nicks,WR,IND,TEN,17,28,42,0,21,11,21,7.60,16.4
170,9664,Vontae Davis,CB,IND,TEN,17,52,88,0,0,0,0,0,16.3
171,12712,Casey Matthews,ILB,PHI,NYG,17,28,35,0,0,0,0,0,16.1
172,12137,Charlie Whitehurst,QB,TEN,IND,17,55,92,7,0,58,58,8.78,16
173,9263,Craig Dahl,SS,SF,ARI,17,69,99,0,0,0,0,0,15.9
174,14338,Luke Kuechly,ILB,CAR,ATL,17,63,89,0,0,0,0,0,15.9
175,15204,Akeem Spence,DT,TB,NO,17,44,70,0,0,0,0,0,15.9
176,7969,Jamaal Charles,RB,KC,SD,17,39,65,33,8,39,41,8.20,15.9
177,15602,Jack Doyle,TE,IND,TEN,17,52,79,0,10,8,10,12.10,15.6
178,12196,Brice McCain,CB,PIT,CIN,17,71,100,0,0,0,0,0,15.5
179,8330,Brian Hartline,WR,MIA,NYJ,17,61,87,0,10,8,10,14.40,15.4
180,10992,Jeff Cumberland,TE,NYJ,MIA,17,54,87,0,6,4,6,10.30,15.4
181,12951,Brooks Reed,DE,HOU,JAX,17,39,68,0,0,0,0,0,15.4
182,15200,William Gholston,DE,TB,NO,17,26,41,0,0,0,0,0,15.4
183,14414,Trumaine Johnson,CB,LA,SEA,17,26,42,0,0,0,0,0,15.4
184,4895,Thomas Davis,OLB,CAR,ATL,17,62,87,0,0,0,0,0,15.2
185,11463,Brandon LaFell,WR,NE,BUF,17,55,82,4,11,11,15,12.30,15.1
186,13451,Sealver Siliga,DT,NE,BUF,17,43,74,0,0,0,0,0,15.1
187,15227,Kevin Minter,ILB,ARI,SF,17,47,75,0,0,0,0,0,14.9
188,16041,Jimmy Garoppolo,QB,NE,BUF,17,35,52,11,0,60,60,5.20,14.9
189,8703,Kyle Orton,QB,BUF,NE,17,59,100,3,0,42,42,9.74,14.8
190,15088,Terrance Williams,WR,DAL,WAS,17,46,72,0,11,7,11,9.80,14.8
191,15807,Josh McNary,ILB,IND,TEN,17,57,97,0,0,0,0,0,14.7
192,1061,Charles Johnson,DE,CAR,ATL,17,51,72,0,0,0,0,0,14.7
193,11070,Jason Worilds,OLB,PIT,CIN,17,68,96,0,0,0,0,0,14.6
194,15113,Jon Bostic,ILB,CHI,MIN,17,62,100,0,0,0,0,0,14.5
195,8515,Ryan Mundy,SS,CHI,MIN,17,62,100,0,0,0,0,0,14.5
196,13757,Ron Brooks,CB,BUF,NE,17,66,99,0,0,0,0,0,14.4
197,9026,DeAndre Levy,OLB,DET,GB,17,66,100,0,0,0,0,0,14.4
198,11722,Cory Redding,DE,IND,TEN,17,27,46,0,0,0,0,0,14.4
199,16407,Bashaud Breeland,CB,WAS,DAL,17,63,98,0,0,0,0,0,14.3
200,1141,Manny Lawson,OLB,BUF,NE,17,30,45,0,0,0,0,0,14.3
201,9051,Clay Matthews,OLB,GB,DET,17,68,99,0,0,0,0,0,14.1
202,7242,Drew Brees,QB,NO,TB,17,65,100,3,2,63,63,13.14,14.1
203,9331,Michael Crabtree,WR,SF,ARI,17,29,46,0,14,14,14,8.10,14.1
204,11692,Antonio Cromartie,CB,ARI,SF,17,57,91,0,0,0,0,0,14
205,4556,Jordy Nelson,WR,GB,DET,17,62,94,0,13,10,13,14.60,13.9
206,1650,Leon Hall,CB,CIN,PIT,17,54,92,0,0,0,0,0,13.9
207,11386,Morgan Burnett,SS,GB,DET,17,69,100,0,0,0,0,0,13.8
208,13977,Whitney Mercilus,OLB,HOU,JAX,17,53,93,0,0,0,0,0,13.8
209,14980,Daimion Stafford,SS,TEN,IND,17,47,71,0,0,0,0,0,13.8
210,8604,Donald Brown,RB,SD,KC,17,34,49,29,3,32,32,5.70,13.8
211,15392,Jordan Kovacs,FS,MIA,NYJ,17,29,47,0,0,0,0,0,13.8
212,11108,Earl Mitchell,DT,MIA,NYJ,17,29,47,0,0,0,0,0,13.8
213,11646,Dwan Edwards,NT,CAR,ATL,17,29,41,0,0,0,0,0,13.8
214,15220,Alec Ogletree,ILB,LA,SEA,17,62,100,0,0,0,0,0,13.7
215,3382,Marcel Reece,FB,OAK,DEN,17,30,52,3,17,13,20,7.10,13.7
216,15012,Jonathan Cyprien,SS,JAX,HOU,17,81,100,0,0,0,0,0,13.6
217,3785,Curtis Lofton,ILB,NO,TB,17,63,97,0,0,0,0,0,13.5
218,16129,Taylor Gabriel,WR,CLE,BAL,17,49,75,0,14,6,14,9.60,13.5
219,15241,Quinton Patton,WR,SF,ARI,17,26,41,0,4,4,4,4.50,13.5
220,12430,Josh Mauga,ILB,KC,SD,17,70,100,0,0,0,0,0,13.4
221,16728,Dontrelle Inman,WR,SD,KC,17,59,84,0,14,9,14,12.90,13.4
222,14128,Melvin Ingram,OLB,SD,KC,17,58,97,0,0,0,0,0,13.4
223,16643,Glenn Carson,ILB,ARI,SF,17,56,89,0,0,0,0,0,13.4
224,14859,Bennie Logan,DT,PHI,NYG,17,41,51,0,0,0,0,0,13.4
225,14536,Russell Wilson,QB,SEA,LA,17,62,100,10,0,50,50,9.26,13.3
226,3341,Calais Campbell,DE,ARI,SF,17,60,95,0,0,0,0,0,13.3
227,16157,Ryan Shazier,ILB,PIT,CIN,17,38,54,0,0,0,0,0,13.2
228,9902,Chase Daniel,QB,KC,SD,17,60,100,5,0,50,50,7.88,13.1
229,7884,Antonio Gates,TE,SD,KC,17,51,73,0,12,8,12,10.70,13.1
230,13091,Corey Liuget,DT,SD,KC,17,48,80,0,0,0,0,0,13.1
231,13896,John Hughes,DT,CLE,BAL,17,42,63,0,0,0,0,0,13.1
232,13432,Chris Culliver,CB,SF,ARI,17,70,100,0,0,0,0,0,12.9
233,12763,Jimmy Wilson,SS,MIA,NYJ,17,62,100,0,0,0,0,0,12.9
234,15218,TJ McDonald,SS,LA,SEA,17,62,100,0,0,0,0,0,12.9
235,16754,Todd Davis,ILB,DEN,OAK,17,58,100,0,0,0,0,0,12.9
236,1945,Tommy Kelly,DT,ARI,SF,17,31,49,0,0,0,0,0,12.9
