"Player","Pos","Team","Opp","Runs","vs. Pitcher","Hand","ERA/AVG","wOBA","ISO","Avg innings","K/9","WHIP","Order","Salary","Ceiling","Avg","FC Proj","My Proj","Exposure","Con.","Value","Actual Score","Actual Val"
"Chris Sale","P","BOS","@ BAL",3.89,"Tillman, R 5.87","L",2.77,0,0,7.1,12.7,0.91,NA,12800,36.5,29.8,22.23,22.23,"%",76,1.7,25.3,2
"Justin Verlander","P","DET","vs CWS",3.86,"Holmberg, L 2.51","R",4.5,0,0,6.2,8.3,1.37,NA,9600,38.3,15.5,16.53,16.53,"%",30,1.7,1.1,0.1
"Luis Severino","P","NYY","@ TOR",4.18,"Stroman, R 3.28","R",2.93,0,0,6.1,10.2,1.08,NA,9100,42.5,21.2,17.44,17.44,"%",41,1.9,20.95,2.3
"Tanner Roark","P","WSH","@ OAK",4.55,"Gray, R 4.72","R",3.86,0,0,5.9,7.8,1.27,NA,8700,29.7,15.6,12.17,12.17,"%",44,1.4,17.65,2
"Marcus Stroman","P","TOR","vs NYY",3.82,"Severino, R 2.93","R",3.28,0,0,6.2,7.4,1.33,NA,8400,37.4,17.2,16.53,16.53,"%",39,2,13.9,1.7
"Trevor Bauer","P","CLE","@ KC",4.22,"Skoglund, L 0.00","R",6,0,0,5.7,11.5,1.39,NA,8200,35.7,17.1,13.28,13.28,"%",34,1.6,1.95,0.2
"Matt Moore","P","SF","@ PHI",4.74,"Hellickson, R 4.45","L",4.98,0,0,5.9,7.5,1.45,NA,8100,37.4,12.1,14.01,14.01,"%",4,1.7,-1.8,NA
"Jose Berrios","P","MIN","@ LAA",3.82,"Nolasco, R 4.48","R",2.7,0,0,6.7,9.1,0.79,NA,8000,36.1,23.8,12.71,12.71,"%",51,1.6,16.1,2
"Julio Teheran","P","ATL","@ CIN",4.95,"Garrett, L 6.00","R",4.82,0,0,5.6,6.9,1.39,NA,7900,32.8,11.7,9.79,9.79,"%",2,1.2,1.45,0.2
"Kyle Hendricks","P","CHC","vs STL",3.57,"Wacha, R 3.99","R",3.75,0,0,5.8,7.4,1.14,NA,7800,28.1,15.3,16.52,16.52,"%",62,2.1,2.8,0.4
"Sonny Gray","P","OAK","vs WSH",4.45,"Roark, R 3.86","R",4.72,0,0,5.7,8.2,1.25,NA,7600,43.6,14.2,17.3,17.3,"%",7,2.3,17.55,2.3
"Kenta Maeda","P","LAD","@ MIL",4.46,"Davies, R 5.18","R",5.21,0,0,5.4,8.5,1.26,NA,7400,32.8,13.7,15.07,15.07,"%",35,2,15.4,2.1
"Ariel Miranda","P","SEA","vs TB",3.94,"Ramirez, R 3.66","L",4.17,0,0,4.9,7.9,1.25,NA,7000,37.7,13.1,13.75,13.75,"%",9,2,39.75,5.7
"Jeremy Hellickson","P","PHI","vs SF",4.76,"Moore, L 4.98","R",4.45,0,0,5.5,3.6,1.17,NA,6900,27.2,9,9.33,9.33,"%",1,1.4,9.2,1.3
"Ricky Nolasco","P","LAA","vs MIN",4.18,"Berrios, R 2.70","R",4.48,0,0,5.5,7.9,1.34,NA,6800,25.9,12.8,12.35,12.35,"%",47,1.8,15.95,2.3
"Michael Wacha","P","STL","@ CHC",4.93,"Hendricks, R 3.75","R",3.99,0,0,5.5,8.7,1.31,NA,6700,24.5,14.7,9.89,9.89,"%",50,1.5,1.75,0.3
"Chris Tillman","P","BAL","vs BOS",5.11,"Sale, L 2.77","R",5.87,0,0,4.6,6.3,1.87,NA,6300,25.8,6.3,7.92,7.92,"%",0,1.3,7.5,1.2
"Jeff Hoffman","P","COL","@ SD",3.95,"Cosart, R 4.50","R",3.29,0,0,4.6,11.2,0.88,NA,6300,35.9,18.5,14.7,14.7,"%",43,2.3,33.95,5.4
"Zach Davies","P","MIL","vs LAD",5.04,"Maeda, R 5.21","R",5.18,0,0,5.2,6.2,1.62,NA,6200,26.2,9.6,9.49,9.49,"%",13,1.5,27.1,4.4
"Eric Skoglund","P","KC","vs CLE",4.78,"Bauer, R 6.00","L",0,0,0,6.3,7.1,0.47,NA,5900,9.2,26.5,9.19,9.19,"%",0,1.6,-3.1,NA
"Erasmo Ramirez","P","TB","@ SEA",4.56,"Miranda, L 4.17","R",3.66,0,0,2.5,6.5,0.99,NA,5800,21.7,6.3,6.55,6.55,"%",0,1.1,7.7,1.3
"George Springer","OF","HOU","@ TEX",5.32,"Perez, L 4.19","R",0.267,0.353,0.218,0,0,0,1,5700,32.6,8.9,16.11,16.11,"%",54,2.8,33,5.8
"Brad Peacock","P","HOU","@ TEX",4.68,"Perez, L 4.19","R",2.13,0,0,1.8,13.5,0.99,NA,5600,19.1,8.1,6.64,6.64,"%",23,1.2,27.9,5
"Carlos Correa","SS","HOU","@ TEX",5.32,"Perez, L 4.19","R",0.304,0.387,0.217,0,0,0,3,5600,31.3,9.4,16.27,16.27,"%",60,2.9,21,3.8
"Tyler Pill","P","NYM","vs PIT",4.22,"Williams, R 5.20","R",3,0,0,3,6,1.83,NA,5500,23.7,4.9,9.44,9.44,"%",0,1.7,8.45,1.5
