"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"3B","Nolan Arenado",5700,"LAD@COL 08:10PM ET",9.389,"COL","LAD",11.61,11,10.62,NA,"3","3",2
"SS","Corey Seager",5700,"LAD@COL 08:10PM ET",8.486,"LAD","COL",8.1,11.3,10.5,NA,"2","2",0
"OF","Bryce Harper",5700,"PHI@WAS 07:05PM ET",12.968,"WAS","PHI",9.88,8.8,10.77,NA,"x","3",20
"1B","Paul Goldschmidt",5600,"PIT@ARI 08:10PM ET",10.972,"ARI","PIT",10.27,10.5,11.3,NA,"3","3",14
"OF","Mike Trout",5500,"DET@LAA 09:07PM ET",10.667,"LAA","DET",11.24,10.2,11.31,NA,"3","2",21
"1B/OF","Cody Bellinger",5400,"LAD@COL 08:10PM ET",11.938,"LAD","COL",6.94,10.7,7.52,NA,"5","6",2
"OF","Charlie Blackmon",5300,"LAD@COL 08:10PM ET",9.622,"COL","LAD",NA,NA,NA,NA,"1","x",NA
"OF","Ryan Braun",5200,"NYM@MIL 07:10PM ET",9.357,"MIL","NYM",NA,0,NA,NA,"x","x",NA
"1B","Freddie Freeman",5200,"ATL@MIA 07:10PM ET",12.355,"ATL","MIA",10.2,9.5,10.41,NA,"3","3",14
"OF","Yasiel Puig",5200,"LAD@COL 08:10PM ET",7.514,"LAD","COL",NA,NA,NA,NA,"7","x",NA
"2B","Daniel Murphy",5200,"PHI@WAS 07:05PM ET",9.882,"WAS","PHI",9.15,8,8.71,NA,"3","5",7
"1B/OF","Ian Desmond",5100,"LAD@COL 08:10PM ET",9.182,"COL","LAD",9.23,10.1,9.17,NA,"5","2",8
"1B","Mark Reynolds",5000,"LAD@COL 08:10PM ET",10.25,"COL","LAD",8.88,9.3,9.55,NA,"4","4",3
"OF","Joc Pederson",5000,"LAD@COL 08:10PM ET",5.68,"LAD","COL",NA,0,2.06,NA,"x","x",NA
"3B","Justin Turner",5000,"LAD@COL 08:10PM ET",8.265,"LAD","COL",10.33,11.3,10.43,NA,"3","3",10
"SS","Trea Turner",5000,"PHI@WAS 07:05PM ET",9.042,"WAS","PHI",8.62,9.1,10.38,NA,"1","1",16
"2B/3B","Logan Forsythe",4900,"LAD@COL 08:10PM ET",5.4,"LAD","COL",NA,0,NA,NA,"x","x",NA
"SS","Trevor Story",4900,"LAD@COL 08:10PM ET",6.441,"COL","LAD",NA,0,NA,NA,"x","x",NA
"2B","DJ LeMahieu",4900,"LAD@COL 08:10PM ET",6.162,"COL","LAD",9.13,9.3,9.12,NA,"2","1",9
"1B","Ryan Zimmerman",4900,"PHI@WAS 07:05PM ET",12.364,"WAS","PHI",8.38,6.5,8.77,NA,"x","4",12
"3B","Manny Machado",4800,"BAL@KC 07:15PM ET",8.667,"BAL","KC",9.05,9.7,9.67,NA,"3","3",3
"1B/OF","Jay Bruce",4800,"NYM@MIL 07:10PM ET",10.125,"NYM","MIL",9.18,9.5,8.82,NA,"3","3",3
"1B","Eric Thames",4800,"NYM@MIL 07:10PM ET",11.848,"MIL","NYM",10.08,9.9,9.18,NA,"2","2",6
"1B","Jose Abreu",4700,"SD@CWS 07:10PM ET",7.645,"CWS","SD",7.21,7.6,8.44,NA,"3","4",7
"OF","AJ Pollock",4700,"PIT@ARI 08:10PM ET",9.206,"ARI","PIT",NA,NA,NA,NA,"1","x",NA
"3B","Jake Lamb",4700,"PIT@ARI 08:10PM ET",9.03,"ARI","PIT",10.27,9.3,9.14,NA,"4","4",5
"OF","Giancarlo Stanton",4700,"ATL@MIA 07:10PM ET",9.455,"MIA","ATL",6.94,7.8,8.7,NA,"5","5",0
"C","Yasmani Grandal",4700,"LAD@COL 08:10PM ET",6.645,"LAD","COL",7.88,0,2.01,NA,"x","x",NA
"OF","Yoenis Cespedes",4600,"NYM@MIL 07:10PM ET",9.278,"NYM","MIL",NA,0,NA,NA,"x","x",NA
"OF","Michael Conforto",4600,"NYM@MIL 07:10PM ET",9.167,"NYM","MIL",9,10.2,9.1,NA,"1","1",8
"1B","Adrian Gonzalez",4600,"LAD@COL 08:10PM ET",4.533,"LAD","COL",NA,0,NA,NA,"x","x",NA
"OF","Franklin Gutierrez",4600,"LAD@COL 08:10PM ET",4.5,"LAD","COL",8.92,10.1,8.93,NA,"4","4",5
"2B","Chase Utley",4600,"LAD@COL 08:10PM ET",3.357,"LAD","COL",5.77,0,1.71,NA,"x","x",NA
"1B","Wil Myers",4500,"SD@CWS 07:10PM ET",9.194,"SD","CWS",8.97,9.5,9.91,NA,"3","3",16
"3B","Joey Gallo",4500,"OAK@TEX 08:05PM ET",8.528,"TEX","OAK",8.09,7.5,7.45,NA,"6","8",8
"OF","David Dahl",4500,"LAD@COL 08:10PM ET",0,"COL","LAD",NA,0,NA,NA,"x","x",NA
"2B","Chris Taylor",4500,"LAD@COL 08:10PM ET",7.3,"LAD","COL",NA,12.6,8.12,NA,"1","1",5
"OF","Jayson Werth",4500,"PHI@WAS 07:05PM ET",8.567,"WAS","PHI",7.4,6.7,8.52,NA,"2","2",9
"1B","Yonder Alonso",4400,"OAK@TEX 08:05PM ET",9.094,"OAK","TEX",8.7,9.2,8.11,NA,"3","5",19
"OF","Rajai Davis",4400,"OAK@TEX 08:05PM ET",6.348,"OAK","TEX",6.93,9.5,8.92,NA,"1","1",5
"OF","Khris Davis",4400,"OAK@TEX 08:05PM ET",8.333,"OAK","TEX",9.04,10.1,9.53,NA,"4","4",0
"2B","Rougned Odor",4400,"OAK@TEX 08:05PM ET",6.361,"TEX","OAK",7.88,8.4,8.34,NA,"2","5",5
"OF","Carlos Gonzalez",4400,"LAD@COL 08:10PM ET",5.094,"COL","LAD",7.09,7.8,8.32,NA,"6","5",3
"3B","Anthony Rendon",4400,"PHI@WAS 07:05PM ET",8.344,"WAS","PHI",6.69,7.2,7.64,NA,"4","6",0
"OF","Mark Trumbo",4300,"BAL@KC 07:15PM ET",6.879,"BAL","KC",7.49,8.1,8.19,NA,"5","5",0
"2B","Jonathan Villar",4300,"NYM@MIL 07:10PM ET",7.2,"MIL","NYM",8.41,8.8,9.61,NA,"1","1",15
"OF","Keon Broxton",4300,"NYM@MIL 07:10PM ET",7.774,"MIL","NYM",5.95,6.6,7.45,NA,"7","7",15
"SS","Asdrubal Cabrera",4300,"NYM@MIL 07:10PM ET",7.097,"NYM","MIL",7.63,8.3,8.85,NA,"2","2",2
"3B","Adrian Beltre",4300,"OAK@TEX 08:05PM ET",0,"TEX","OAK",NA,0,NA,NA,"x","x",NA
"OF","Carlos Gomez",4300,"OAK@TEX 08:05PM ET",7.143,"TEX","OAK",7.25,7.4,8.35,NA,"5","7",5
"OF","Yasmany Tomas",4300,"PIT@ARI 08:10PM ET",7.9,"ARI","PIT",8.05,8.6,8.59,NA,"x","5",2
"OF","Matt Kemp",4300,"ATL@MIA 07:10PM ET",10.476,"ATL","MIA",7.88,7.8,8.5,NA,"4","4",3
"1B","Miguel Cabrera",4200,"DET@LAA 09:07PM ET",7.375,"DET","LAA",8.54,8.1,9.77,NA,"3","3",0
"2B","Neil Walker",4200,"NYM@MIL 07:10PM ET",6.5,"NYM","MIL",7.32,8.7,8.18,NA,"4","4",17
"OF","Shin-Soo Choo",4200,"OAK@TEX 08:05PM ET",7.594,"TEX","OAK",6.95,6.8,9.09,NA,"8","1",4
"SS","Elvis Andrus",4200,"OAK@TEX 08:05PM ET",7.943,"TEX","OAK",7.2,7.4,8.83,NA,"4","2",19
