"Position","Name...ID","Name","ID","Salary","GameInfo","Team","Opponent","Projection","Projection_dfn","Actual_fpts","RankTargets","RollingTargetPctg","FreqInd","TierRank","ValueWR"
"RB","David Johnson (9446358)","David Johnson",9446358,10000,"ARI@IND 01:00PM ET","ARI","IND",0,0,0,0,0,0,0,0
"RB","Le'Veon Bell (9446339)","Le'Veon Bell",9446339,9800,"MIN@PIT 01:00PM ET","PIT","MIN",0,21.7,0,0,0,0,0,0
"WR","Antonio Brown (9446173)","Antonio Brown",9446173,9400,"MIN@PIT 01:00PM ET","PIT","MIN",0,20.3,0,0,0,0,0,0
"WR","Julio Jones (9446186)","Julio Jones",9446186,9200,"GB@ATL 08:30PM ET","ATL","GB",0,24.2,0,0,0,0,0,0
"RB","LeSean McCoy (9446134)","LeSean McCoy",9446134,8600,"BUF@CAR 01:00PM ET","BUF","CAR",0,16.3,0,0,0,0,0,0
"WR","Brandin Cooks (9446563)","Brandin Cooks",9446563,8200,"NE@NO 01:00PM ET","NE","NO",0,20.1,0,0,0,0,0,0
"WR","Amari Cooper (9446602)","Amari Cooper",9446602,8100,"NYJ@OAKI 04:05PM ET","OAK","NYJ",0,13.2,0,0,0,0,0,0
"WR","Odell Beckham Jr. (9446918)","Odell Beckham",9446918,8000,"DET@NYG 08:30PM ET","NYG","DET",0,17,0,0,0,0,0,0
"QB","Tom Brady (9445969)","Tom Brady",9445969,7900,"NE@NO 01:00PM ET","NE","NO",0,24.8,0,0,0,0,0,0
"WR","Jordy Nelson (9446000)","Jordy Nelson",9446000,7900,"GB@ATL 08:30PM ET","GB","ATL",0,16.7,0,0,0,0,0,0
"WR","A.J. Green (9446192)","AJ Green",9446192,7800,"HOU@CIN 08:25PM ET","CIN","HOU",0,19.1,0,0,0,0,0,0
"RB","Ezekiel Elliott (9446712)","Ezekiel Elliott",9446712,7800,"DAL@DEN 04:25PM ET","DAL","DEN",0,21,0,0,0,0,0,0
"QB","Drew Brees (9445970)","Drew Brees",9445970,7700,"NE@NO 01:00PM ET","NO","NE",0,19.7,0,0,0,0,0,0
"WR","Mike Evans (9446470)","Mike Evans",9446470,7700,"CHI@TB 01:00PM ET","TB","CHI",0,19.5,0,0,0,0,0,0
"WR","Michael Thomas (9446620)","Michael Thomas",9446620,7500,"NE@NO 01:00PM ET","NO","NE",0,16.3,0,0,0,0,0,0
"QB","Matt Ryan (9445991)","Matt Ryan",9445991,7500,"GB@ATL 08:30PM ET","ATL","GB",0,23,0,0,0,0,0,0
"QB","Aaron Rodgers (9445984)","Aaron Rodgers",9445984,7400,"GB@ATL 08:30PM ET","GB","ATL",0,22.2,0,0,0,0,0,0
"RB","Devonta Freeman (9446456)","Devonta Freeman",9446456,7300,"GB@ATL 08:30PM ET","ATL","GB",0,13.6,0,0,0,0,0,0
"QB","Derek Carr (9446260)","Derek Carr",9446260,7200,"NYJ@OAK 04:05PM ET","OAK","NYJ",0,18.6,0,0,0,0,0,0
"WR","Michael Crabtree (9446074)","Michael Crabtree",9446074,7100,"NYJ@OAK 04:05PM ET","OAK","NYJ",0,13.1,0,0,0,0,0,0
"RB","Melvin Gordon (9446539)","Melvin Gordon",9446539,7000,"MIA@LAC 04:05PM ET","LAC","MIA",0,19.3,0,0,0,0,0,0
"TE","Rob Gronkowski (9446115)","Rob Gronkowski",9446115,6900,"NE@NO 01:00PM ET","NE","NO",0,12.9,0,0,0,0,0,0
"RB","Kareem Hunt (9446769)","Kareem Hunt",9446769,6800,"PHI@KC 01:00PM ET","KC","PHI",0,15.2,0,0,0,0,0,0
"RB","Todd Gurley II (9446658)","Todd Gurley II",9446658,6800,"WAS@LAR 04:25PM ET","LAR","WAS",0,16,0,0,0,0,0,0
"QB","Russell Wilson (9446160)","Russell Wilson",9446160,6800,"SF@SEA 04:25PM ET","SEA","SF",0,19.8,0,0,0,0,0,0
"WR","Golden Tate (9446888)","Golden Tate",9446888,6800,"DET@NYG 08:30PM ET","DET","NYG",0,12.9,0,0,0,0,0,0
"QB","Ben Roethlisberger (9446017)","Ben Roethlisberger",9446017,6700,"MIN@PIT 01:00PM ET","PIT","MIN",0,18.2,0,0,0,0,0,0
"WR","Doug Baldwin (9446143)","Doug Baldwin",9446143,6700,"SF@SEA 04:25PM ET","SEA","SF",0,13.2,0,0,0,0,0,0
"WR","Dez Bryant (9446132)","Dez Bryant",9446132,6600,"DAL@DEN 04:25PM ET","DAL","DEN",0,13.6,0,0,0,0,0,0
