Position,Name + ID,Name,ID,Salary,GameInfo,TeamAbbrev 
RB,David Johnson (9446358),David Johnson,9446358,10000,ARI@IND 01:00PM ET,ARI
RB,Le'Veon Bell (9446339),Le'Veon Bell,9446339,9800,MIN@PIT 01:00PM ET,PIT
WR,Antonio Brown (9446173),Antonio Brown,9446173,9400,MIN@PIT 01:00PM ET,PIT
WR,Julio Jones (9446186),Julio Jones,9446186,9200,GB@ATL 08:30PM ET,ATL
RB,LeSean McCoy (9446134),LeSean McCoy,9446134,8600,BUF@CAR 01:00PM ET,BUF
WR,Brandin Cooks (9446563),Brandin Cooks,9446563,8200,NE@NO 01:00PM ET,NE
WR,Amari Cooper (9446602),Amari Cooper,9446602,8100,NYJ@OAKi 04:05PM ET,OAK
WR,Odell Beckham Jr. (9446918),Odell Beckham Jr.,9446918,8000,DET@NYG 08:30PM ET,NYG
QB,Tom Brady (9445969),Tom Brady,9445969,7900,NE@NO 01:00PM ET,NE
WR,Jordy Nelson (9446000),Jordy Nelson,9446000,7900,GB@ATL 08:30PM ET,GB
WR,A.J. Green (9446192),A.J. Green,9446192,7800,HOU@CIN 08:25PM ET,CIN
RB,Ezekiel Elliott (9446712),Ezekiel Elliott,9446712,7800,DAL@DEN 04:25PM ET,DAL
QB,Drew Brees (9445970),Drew Brees,9445970,7700,NE@NO 01:00PM ET,NO
WR,Mike Evans (9446470),Mike Evans,9446470,7700,CHI@TB 01:00PM ET,TB
WR,Michael Thomas (9446620),Michael Thomas,9446620,7500,NE@NO 01:00PM ET,NO
QB,Matt Ryan (9445991),Matt Ryan,9445991,7500,GB@ATL 08:30PM ET,ATL
QB,Aaron Rodgers (9445984),Aaron Rodgers,9445984,7400,GB@ATL 08:30PM ET,GB
RB,Devonta Freeman (9446456),Devonta Freeman,9446456,7300,GB@ATL 08:30PM ET,ATL
QB,Derek Carr (9446260),Derek Carr,9446260,7200,NYJ@OAK 04:05PM ET,OAK
WR,Michael Crabtree (9446074),Michael Crabtree,9446074,7100,NYJ@OAK 04:05PM ET,OAK
RB,Melvin Gordon (9446539),Melvin Gordon,9446539,7000,MIA@LAC 04:05PM ET,LAC
TE,Rob Gronkowski (9446115),Rob Gronkowski,9446115,6900,NE@NO 01:00PM ET,NE
RB,Kareem Hunt (9446769),Kareem Hunt,9446769,6800,PHI@KC 01:00PM ET,KC
RB,Todd Gurley II (9446658),Todd Gurley II,9446658,6800,WAS@LAR 04:25PM ET,LAR
QB,Russell Wilson (9446160),Russell Wilson,9446160,6800,SF@SEA 04:25PM ET,SEA
WR,Golden Tate (9446888),Golden Tate,9446888,6800,DET@NYG 08:30PM ET,DET
QB,Ben Roethlisberger (9446017),Ben Roethlisberger,9446017,6700,MIN@PIT 01:00PM ET,PIT
