Player,Pos,Team,Opp,Def v Pos,Salary,Floor,Ceiling,2015 Avg,FC Proj,My Proj,Exposure,Consistency,Value,Actual Score,Actual Val
Julio Jones,WR,ATL,@ NO,24th,9200,12.1,48.1,24.8,24.13,24.13,100,40,2.6,15.3,1.7
Odell Beckham Jr.,WR,NYG,@ PHI,31st,8900,10.7,44.9,22.9,22.06,22.06,100,21,2.5,19.1,2.1
Le'Veon Bell,RB,PIT,vs ARI,12th,8500,10.9,43,20,21.61,21.61,100,57,2.5,8.8,1
Antonio Brown,WR,PIT,vs ARI,30th,8300,13.1,38.9,26.1,21.74,21.74,100,63,2.6,5.4,0.7
Tom Brady,QB,NE,@ IND,20th,8100,15.4,42.4,23.4,24.36,24.36,100,72,3,26.48,3.3
Demaryius Thomas,WR,DEN,@ CLE,12th,7900,12.2,41.3,17.6,21.89,21.89,100,44,2.8,24.1,3.1
Aaron Rodgers,QB,GB,vs SD,9th,7700,14.3,40.1,20.1,22.88,22.88,100,61,3,19.6,2.5
DeAndre Hopkins,WR,HOU,@ JAC,6th,7700,13.8,39.6,21.8,22.41,22.41,100,40,2.9,39.8,5.2
Keenan Allen,WR,SD,@ GB,19th,7600,10.3,39.7,21.4,20.14,20.14,100,20,2.7,32.7,4.3
Andrew Luck,QB,IND,vs NE,16th,7600,12.8,38,21.4,21.19,21.19,100,63,2.8,30.98,4.1
A.J. Green,WR,CIN,@ BUF,21st,7600,10.7,46.1,17.9,22.52,22.52,100,44,3,7.6,1
Rob Gronkowski,TE,NE,@ IND,10th,7600,8.3,38.3,18,18.33,18.33,100,0,2.4,14,1.8
Julian Edelman,WR,NE,@ IND,26th,7600,15.5,38,19.6,22.97,22.97,100,25,3,17.2,2.3
Adrian Peterson,RB,MIN,vs KC,13th,7600,18.7,29.2,17.8,22.17,22.17,100,10,2.9,6.7,0.9
Emmanuel Sanders,WR,DEN,@ CLE,12th,7500,10.4,39.8,15.9,20.17,20.17,100,46,2.7,23.9,3.2
Calvin Johnson,WR,DET,vs CHI,11th,7300,7.9,43.3,16.8,19.67,19.67,100,0,2.7,31.6,4.3
Randall Cobb,WR,GB,vs SD,2nd,7300,10.3,37,12.9,19.24,19.24,100,28,2.6,5.8,0.8
