Player,Pos,Team,Opp,Def v Pos,Salary,Floor,Ceiling,2015 Avg,FC Proj,My Proj,Exposure,Consistency,Value,Actual Score,Actual Val
Julio Jones,WR,ATL,@ TEN,10th,9100,12.8,48.8,24.8,24.78,24.78,100,44,2.7,24.2,2.7
Odell Beckham Jr.,WR,NYG,vs DAL,12th,8700,12.6,46.8,22.9,24.02,24.02,100,41,2.8,7.5,0.9
DeAndre Hopkins,WR,HOU,@ MIA,20th,8600,15.4,41.2,21.8,24.05,24.05,100,41,2.8,11,1.3
Tom Brady,QB,NE,vs NYJ,2nd,8500,12.8,39.8,23.4,21.79,21.79,100,71,2.6,32.7,3.8
Le'Veon Bell,RB,PIT,@ KC,6th,8400,11.9,44,20,22.62,22.62,100,53,2.7,20.7,2.5
Julian Edelman,WR,NE,vs NYJ,5th,8200,15,37.5,19.6,22.46,22.46,100,23,2.7,10.4,1.3
Rob Gronkowski,TE,NE,vs NYJ,2nd,8100,8.6,38.6,18,18.55,18.55,100,25,2.3,30.8,3.8
Antonio Brown,WR,PIT,@ KC,31st,7900,11.8,37.6,26.1,20.43,20.43,100,59,2.6,22,2.8
Devonta Freeman,RB,ATL,@ TEN,32nd,7900,13.2,42.3,22.1,22.94,22.94,100,39,2.9,18,2.3
Brandon Marshall,WR,NYJ,@ NE,22nd,7800,13.6,37.9,23.2,21.66,21.66,100,45,2.8,10.7,1.4
Calvin Johnson,WR,DET,vs MIN,17th,7700,8.6,44,16.8,20.42,20.42,100,0,2.7,19.6,2.5
Keenan Allen,WR,SD,vs OAK,19th,7700,11,40.4,21.4,20.78,20.78,100,20,2.7,17.9,2.3
Andrew Luck,QB,IND,vs NO,29th,7600,11.9,37.1,21.4,20.29,20.29,100,63,2.7,29.02,3.8
Adrian Peterson,RB,MIN,@ DET,30th,7600,15.4,25.9,17.8,18.94,18.94,100,10,2.5,14,1.8
Arian Foster,RB,HOU,@ MIA,27th,7500,7.5,40.8,19.5,18.56,18.56,100,0,2.5,29.5,3.9
Larry Fitzgerald,WR,ARI,vs BAL,32nd,7400,13.5,36.9,18.2,21.34,21.34,100,57,2.9,6.9,0.9
Matt Ryan,QB,ATL,@ TEN,3rd,7200,12.2,34.7,16.9,19.66,19.66,100,72,2.7,11.74,1.6
Drew Brees,QB,NO,@ IND,24th,7000,13.9,37,23.1,21.56,21.56,100,70,3.1,12.8,1.8
Marshawn Lynch,RB,SEA,@ SF,24th,6900,6.2,35,12.2,15.82,15.82,100,0,2.3,21.2,3.1
Eli Manning,QB,NYG,vs DAL,21st,6800,13.4,35,20.2,20.64,20.64,100,59,3,6.4,0.9
Carson Palmer,QB,ARI,vs BAL,30th,6700,15.8,32.8,21.8,21.45,21.45,100,64,3.2,19.2,2.9
Cam Newton,QB,CAR,vs PHI,23rd,6600,12.9,35.1,25.9,20.29,20.29,100,69,3.1,16.88,2.6
Amari Cooper,WR,OAK,@ SD,2nd,6500,6.5,35.3,14.3,16.1,16.1,100,49,2.5,27.3,4.2
Dion Lewis,RB,NE,vs NYJ,2nd,6500,0.7,8.8,17.3,3.38,3.38,100,0,0.5,,
T.Y. Hilton,WR,IND,vs NO,24th,6500,8.5,40,13.6,19.01,19.01,100,46,2.9,34,5.2
Russell Wilson,QB,SEA,@ SF,31st,6500,11.2,38.5,21.9,20.28,20.28,100,42,3.1,13.4,2.1
Philip Rivers,QB,SD,vs OAK,25th,6500,13.2,34.5,20.2,20.29,20.29,100,65,3.1,30.44,4.7
Allen Robinson,WR,JAC,vs BUF,13th,6400,10.9,33.1,20.1,18.32,18.32,100,48,2.9,21.8,3.4
Mike Evans,WR,TB,@ WAS,14th,6400,3.5,33.5,15.1,13.46,13.46,100,52,2.1,33.4,5.2
Jordan Matthews,WR,PHI,@ CAR,8th,6400,6.3,31.5,15.2,14.68,14.68,100,41,2.3,4.4,0.7
DeMarco Murray,RB,PHI,@ CAR,20th,6400,9.9,31.5,12.6,17.13,17.13,100,68,2.7,9,1.4
Mark Ingram,RB,NO,@ IND,15th,6300,6.8,33.6,17.3,15.75,15.75,100,39,2.5,25.8,4.1
