Player,Pos,Team,Opp,Def v Pos,Salary,Floor,Ceiling,2015 Avg,FC Proj,My Proj,Exposure,Consistency,Value,Actual Score,Actual Val
Julio Jones,WR,ATL,vs PHI,15th,9300,11.9,47.9,24.8,23.94,23.94,100,0,2.6,38.1,4.1
Odell Beckham Jr.,WR,NYG,@ DAL,15th,9200,8.8,43,22.9,20.24,20.24,100,0,2.2,9.4,1
Demaryius Thomas,WR,DEN,vs BAL,15th,9100,4.6,33.7,17.6,14.32,14.32,100,0,1.6,13,1.4
Antonio Brown,WR,PIT,@ NE,15th,8900,15.8,41.6,26.1,24.4,24.4,100,0,2.7,31.3,3.5
Dez Bryant,WR,DAL,vs NYG,15th,8700,6.8,37.1,10.2,16.89,16.89,100,0,1.9,9.8,1.1
Aaron Rodgers,QB,GB,@ CHI,15th,8600,13.3,39.1,20.1,21.92,21.92,100,0,2.5,23.06,2.7
Calvin Johnson,WR,DET,@ SD,15th,8500,8.2,43.6,16.8,19.99,19.99,100,0,2.4,5.9,0.7
Jordy Nelson,WR,GB,@ CHI,15th,8400,4.8,36.6,,15.44,15.44,100,0,1.8,,
Alshon Jeffery,WR,CHI,vs GB,15th,8300,10.6,32.2,19,17.8,17.8,100,0,2.1,12.8,1.5
Andrew Luck,QB,IND,@ BUF,15th,8300,12.8,38,21.4,21.25,21.25,100,0,2.6,19.72,2.4
Peyton Manning,QB,DEN,vs BAL,15th,8200,11.6,37.1,11.4,20.08,20.08,100,0,2.4,5.9,0.7
Drew Brees,QB,NO,@ ARI,15th,8000,14.9,38,23.1,22.57,22.57,100,0,2.8,20.5,2.6
Randall Cobb,WR,GB,@ CHI,15th,8000,5.2,32,12.9,14.15,14.15,100,0,1.8,14.8,1.9
Jamaal Charles,RB,KC,@ HOU,15th,7900,0,28.1,21.2,8.13,8.13,100,0,1,21.3,2.7
Emmanuel Sanders,WR,DEN,vs BAL,15th,7900,3.4,32.8,15.9,13.21,13.21,100,0,1.7,14.5,1.8
Matt Forte,RB,CHI,vs GB,15th,7800,5.2,37.3,16.8,15.94,15.94,100,0,2,30.6,3.9
Russell Wilson,QB,SEA,@ STL,15th,7800,10.3,37.6,21.9,19.42,19.42,100,0,2.5,16.14,2.1
A.J. Green,WR,CIN,@ OAK,15th,7800,4.9,40.3,17.9,16.66,16.66,100,0,2.1,11.3,1.4
Adrian Peterson,RB,MIN,@ SF,15th,7700,4.7,15.2,17.8,8.22,8.22,100,0,1.1,8.2,1.1
Mike Evans,WR,TB,vs TEN,15th,7700,5.7,35.7,15.1,15.68,15.68,100,0,2,,
Tom Brady,QB,NE,vs PIT,15th,7700,13.8,40.8,23.4,22.81,22.81,100,0,3,27.62,3.6
Arian Foster,RB,HOU,vs KC,15th,7600,0,29.8,19.5,7.58,7.58,100,0,1,,
Cam Newton,QB,CAR,@ JAC,15th,7600,13.8,36,25.9,21.21,21.21,100,0,2.8,13.5,1.8
T.Y. Hilton,WR,IND,@ BUF,15th,7600,4.6,36,13.6,15.05,15.05,100,0,2,15.8,2.1
Eddie Lacy,RB,GB,@ CHI,15th,7500,5.6,31.1,10.1,14.09,14.09,100,0,1.9,17.9,2.4
Matt Ryan,QB,ATL,vs PHI,15th,7500,13.4,36,16.9,20.95,20.95,100,0,2.8,18.62,2.5
DeAndre Hopkins,WR,HOU,vs KC,15th,7400,11.2,37,21.8,19.81,19.81,100,0,2.7,32.8,4.4
Ryan Tannehill,QB,MIA,@ WAS,15th,7400,11.5,32.2,18.2,18.42,18.42,100,0,2.5,12.74,1.7
Eli Manning,QB,NYG,@ DAL,15th,7400,12.1,33.7,20.2,19.28,19.28,100,0,2.6,8.52,1.2
Ben Roethlisberger,QB,PIT,@ NE,15th,7300,12.2,41.6,22.3,22.02,22.02,100,0,3,22.04,3
Kelvin Benjamin,WR,CAR,@ JAC,15th,7300,7.9,32.8,,16.17,16.17,100,0,2.2,,
Tony Romo,QB,DAL,vs NYG,15th,7300,14.3,33.2,12.9,20.65,20.65,100,0,2.8,27.14,3.7
Marshawn Lynch,RB,SEA,@ STL,15th,7300,8.2,37,12.2,17.8,17.8,100,0,2.4,17.4,2.4
Jordan Matthews,WR,PHI,@ ATL,15th,7200,6.5,31.7,15.2,14.93,14.93,100,0,2.1,23.2,3.2
LeSean McCoy,RB,BUF,vs IND,15th,7200,4.1,33.5,15.8,13.92,13.92,100,0,1.9,11.7,1.6
Philip Rivers,QB,SD,vs DET,15th,7100,13.8,35.2,20.2,20.95,20.95,100,0,3,24.96,3.5
Keenan Allen,WR,SD,vs DET,15th,7100,3.9,33.3,21.4,13.66,13.66,100,0,1.9,34.6,4.9
Jeremy Hill,RB,CIN,@ OAK,15th,7100,2.6,27.8,10.8,10.98,10.98,100,0,1.5,18.3,2.6
Brandin Cooks,WR,NO,@ ARI,15th,7100,9.1,38.2,16.6,18.83,18.83,100,0,2.7,9.3,1.3
Matthew Stafford,QB,DET,@ SD,15th,7000,11.5,33.4,19.7,18.79,18.79,100,0,2.7,15.74,2.2
Rob Gronkowski,TE,NE,vs PIT,15th,7000,1.4,31.4,18,11.38,11.38,100,0,1.6,32.4,4.6
Colin Kaepernick,QB,SF,vs MIN,15th,7000,11,34.7,13.6,18.85,18.85,100,0,2.7,10.7,1.5
Sammy Watkins,WR,BUF,vs IND,15th,7000,2.8,31.6,18,12.38,12.38,100,0,1.8,0,
C.J. Anderson,RB,DEN,vs BAL,15th,7000,5.5,37.6,10,16.16,16.16,100,0,2.3,8.8,1.3
