Player,Pos,Team,Opp,Def v Pos,Salary,Floor,Ceiling,2015 Avg,FC Proj,My Proj,Exposure,Consistency,Value,Actual Score,Actual Val
Julio Jones,WR,ATL,@ TB,15th,9000,12.2,48.2,24.8,24.17,24.17,100,42,2.7,17.3,1.9
Odell Beckham Jr.,WR,NYG,vs NYJ,27th,8900,10.9,45.1,22.9,22.28,22.28,100,40,2.5,29.9,3.4
DeAndre Hopkins,WR,HOU,@ BUF,24th,8800,10.4,36.2,21.8,19.04,19.04,100,31,2.2,19.8,2.3
Antonio Brown,WR,PIT,vs IND,16th,8600,14.9,40.7,26.1,23.49,23.49,100,63,2.7,40.8,4.7
Tom Brady,QB,NE,vs PHI,32nd,8000,13,40,23.4,22.01,22.01,100,64,2.8,37.78,4.7
Devonta Freeman,RB,ATL,@ TB,8th,8000,11.3,40.4,22.1,20.98,20.98,100,40,2.6,20.3,2.5
A.J. Green,WR,CIN,@ CLE,25th,7600,7,42.4,17.9,18.76,18.76,100,40,2.5,26.8,3.5
Calvin Johnson,WR,DET,vs GB,26th,7600,7.2,42.6,16.8,19,19,100,0,2.5,13.4,1.8
Dez Bryant,WR,DAL,@ WAS,22nd,7500,4.9,35.2,10.2,14.98,14.98,100,36,2,9.2,1.2
Larry Fitzgerald,WR,ARI,@ STL,15th,7400,11.1,34.5,18.2,18.86,18.86,100,55,2.5,13.5,1.8
Cam Newton,QB,CAR,@ NO,31st,7400,16.3,38.5,25.9,23.66,23.66,100,64,3.2,40.14,5.4
Todd Gurley,RB,STL,vs ARI,22nd,7300,10.9,25.3,17.3,15.73,15.73,100,63,2.2,4.1,0.6
Allen Robinson,WR,JAC,@ TEN,12th,7300,9.9,32.1,20.1,17.34,17.34,100,47,2.4,46.3,6.3
Mike Evans,WR,TB,vs ATL,3rd,7300,5.6,35.6,15.1,15.57,15.57,100,56,2.1,17.1,2.3
Aaron Rodgers,QB,GB,@ DET,8th,7200,12.4,38.2,20.1,20.99,20.99,100,66,2.9,26.62,3.7
Demaryius Thomas,WR,DEN,@ SD,18th,7200,7.5,36.6,17.6,17.24,17.24,100,36,2.4,18.1,2.5
Brandon Marshall,WR,NYJ,@ NYG,29th,7100,13.4,37.8,23.2,21.55,21.55,100,37,3,34.1,4.8
Amari Cooper,WR,OAK,vs KC,19th,6900,7.5,36.3,14.3,17.09,17.09,100,45,2.5,10.2,1.5
