Player,Pos,Team,Opp,Def v Pos,Salary,Floor,Ceiling,2015 Avg,FC Proj,My Proj,Exposure,Consistency,Value,Actual Score,Actual Val
Antonio Brown,WR,PIT,@ CIN,17th,9600,14.8,40.6,26.1,23.42,23.42,100,60,2.4,21.9,2.3
DeAndre Hopkins,WR,HOU,vs KC,15th,8400,10.9,36.7,21.8,19.52,19.52,100,32,2.3,12.9,1.5
A.J. Green,WR,CIN,vs PIT,13th,7500,6.7,42.1,17.9,18.47,18.47,100,40,2.5,18.1,2.4
Adrian Peterson,RB,MIN,vs SEA,11th,7300,12.1,22.6,17.8,15.62,15.62,100,0,2.1,6.8,0.9
Ben Roethlisberger,QB,PIT,@ CIN,17th,7200,11.9,41.3,22.3,21.66,21.66,100,51,3,13.16,1.8
Russell Wilson,QB,SEA,@ MIN,6th,7000,11.5,38.8,21.9,20.63,20.63,100,50,2.9,10.78,1.5
Doug Baldwin,WR,SEA,@ MIN,6th,6700,6.1,33.7,17.4,15.27,15.27,100,44,2.3,15.2,2.3
Aaron Rodgers,QB,GB,@ WAS,15th,6400,10.4,36.2,20.1,18.96,18.96,100,66,3,18.3,2.9
Jeremy Maclin,WR,KC,@ HOU,25th,6400,5.2,35.8,16.9,15.45,15.45,100,0,2.4,5.9,0.9
Jordan Reed,TE,WAS,vs GB,26th,6300,6.1,31.8,18,14.65,14.65,100,39,2.3,30,4.8
Kirk Cousins,QB,WAS,vs GB,26th,5900,11.8,33.4,20.5,18.98,18.98,100,66,3.2,25.36,4.3
Randall Cobb,WR,GB,@ WAS,15th,5800,3,29.7,12.9,11.87,11.87,100,23,2,15.2,2.6
Charcandrick West,RB,KC,@ HOU,25th,5700,4.4,24.5,10.5,11.05,11.05,100,0,1.9,4.5,0.8
Martavis Bryant,WR,PIT,@ CIN,17th,5600,5.1,31.2,16.4,13.81,13.81,100,0,2.5,18.3,3.3
Brian Hoyer,QB,HOU,vs KC,15th,5400,7.2,28.8,16.2,14.39,14.39,100,53,2.7,0.34,0.1
Alex Smith,QB,KC,@ HOU,25th,5300,10.6,28,17.6,16.42,16.42,100,64,3.1,13.3,2.5
AJ McCarron,QB,CIN,vs PIT,13th,5200,4.1,24.8,8.3,16.53,16.53,100,0,3.2,11.38,2.2
Teddy Bridgewater,QB,MIN,vs SEA,11th,5100,7.3,25.3,13.7,13.29,13.29,100,0,2.6,5.84,1.1
Tyler Eifert,TE,CIN,vs PIT,13th,5000,3.7,29.2,15,12.21,12.21,100,33,2.4,10.8,2.2
Jeremy Hill,RB,CIN,vs PIT,13th,5000,4.9,30.1,10.8,13.26,13.26,100,31,2.7,15.7,3.1
Eddie Lacy,RB,GB,@ WAS,15th,4500,3.9,29.4,10.1,12.41,12.41,100,8,2.8,11.3,2.5
Travis Kelce,TE,KC,@ HOU,25th,4500,3.2,26,12.2,10.8,10.8,100,50,2.4,23.8,5.3
DeSean Jackson,WR,WAS,vs GB,26th,4500,5.9,30.8,12.1,14.25,14.25,100,36,3.2,3.7,0.8
Christine Michael,RB,SEA,@ MIN,6th,4400,2.7,24.3,4,9.87,9.87,100,23,2.2,9.4,2.1
