Player,Pos,Team,Opp,Def v Pos,Salary,Floor,Ceiling,2015 Avg,FC Proj,My Proj,Exposure,Consistency,Value,Actual Score,Actual Val
Julio Jones,WR,ATL,vs TB,29th,9200,13.8,49.8,24.8,25.83,25.83,100,47,2.8,36.2,3.9
DeAndre Hopkins,WR,HOU,vs TEN,7th,8700,15.8,41.6,21.8,24.37,24.37,100,37,2.8,23.4,2.7
Odell Beckham Jr.,WR,NYG,@ NO,26th,8500,13.1,47.3,22.9,24.51,24.51,100,37,2.9,42,4.9
Tom Brady,QB,NE,vs MIA,23rd,8300,14.7,41.7,23.4,23.68,23.68,100,67,2.9,33.34,4
Le'Veon Bell,RB,PIT,vs CIN,12th,8300,12.5,44.6,20,23.24,23.24,100,54,2.8,7.8,0.9
Julian Edelman,WR,NE,vs MIA,17th,8100,11,33.4,19.6,18.45,18.45,100,27,2.3,27.1,3.3
Devonta Freeman,RB,ATL,vs TB,14th,8000,13.5,42.6,22.1,23.18,23.18,100,39,2.9,19.1,2.4
Dez Bryant,WR,DAL,vs SEA,1st,8000,1,31.3,10.2,11.1,11.1,100,14,1.4,3.2,0.4
Rob Gronkowski,TE,NE,vs MIA,5th,8000,10.2,40.2,18,20.24,20.24,100,31,2.5,26.3,3.3
Calvin Johnson,WR,DET,@ KC,27th,7900,8,43.4,16.8,19.81,19.81,100,0,2.5,13.5,1.7
Antonio Brown,WR,PIT,vs CIN,25th,7800,14,39.8,26.1,22.65,22.65,100,59,2.9,16.7,2.1
Larry Fitzgerald,WR,ARI,@ CLE,14th,7700,14.7,38.1,18.2,22.52,22.52,100,56,2.9,22.4,2.9
Demaryius Thomas,WR,DEN,vs GB,18th,7700,8.4,37.5,17.6,18.11,18.11,100,38,2.4,27.8,3.6
Keenan Allen,WR,SD,@ BAL,32nd,7700,11.8,41.2,21.4,21.65,21.65,100,20,2.8,14.5,1.9
Brandon Marshall,WR,NYJ,@ OAK,19th,7600,14.3,38.6,23.2,22.39,22.39,100,40,2.9,22.8,3
A.J. Green,WR,CIN,@ PIT,11th,7600,10,45.4,17.9,21.85,21.85,100,47,2.9,31.8,4.2
Emmanuel Sanders,WR,DEN,vs GB,18th,7500,6.8,36.2,15.9,16.64,16.64,100,38,2.2,4.2,0.6
Aaron Rodgers,QB,GB,@ DEN,6th,7500,11.8,37.6,20.1,20.45,20.45,100,60,2.7,6.18,0.8
Adrian Peterson,RB,MIN,@ CHI,13th,7400,15.4,26,17.8,18.95,18.95,100,10,2.6,15.9,2.1
