"Player.Name","Likes","Inj","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Actual.FP","Opp.Rank","Opp.Pos.Rank","Wk.Lag1.Fpts","Wk.Lag2.Fpts","Wk.Lag3.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Ownership.Pctg"
"David Johnson",38,0,9800,23,-0.01,0.22,-0.04,17.7,19,20.9,3.5,4.4,11.3,8,5.7,1.1,7.3,36.5,28.2,41,19.7,36.8,24.5,18.1,23,14,38.5,33.1,38,67,98,4,0.220224719101124,2,2,2,25.647211839804
"Le'Veon Bell",34,0,9000,23.3,-0.05,0.09,-0.04,26.7,20,20.2,1.9,4.5,7,8.6,6.2,0.8,6.5,30.2,25.8,43,18.5,33,27.7,54.8,16,18,26.2,27.2,37.1,63,78,1,0.165605095541401,2,2,6,20.660617736623
"Mike Evans",32,0,8900,27,0.12,-0.08,0.07,0,0,0,0,0,10,11.3,11.4,1.3,7.8,20.6,21.5,18,11,32,21.8,8.2,27,19,8.8,33.4,19.5,80,140,10,0.3125,1,1,1,22.856388220567
"Antonio Brown",16,0,8700,23.3,-0.05,0.09,-0.04,0,0.3,0.3,0,3,7.7,10.6,10.4,0.8,8.3,21.7,22.7,17,13.1,32.3,22.9,12.8,16,13,17.4,32.1,15.6,90,134,11,0.284501061571125,1,1,1,6.39399131724034
"Ezekiel Elliott",23,0,8400,25.3,0.08,-0.14,-0.06,21.7,21.9,21.7,2.7,4.9,4,2.8,3,0.3,9.5,21.1,23.4,39,14.7,32.1,19.1,13.7,9,13,20.5,26,16.7,28,34,1,0.0921409214092141,5,5,6,13.3925797029395
"LeSean McCoy",20,0,8200,22.3,0.05,-0.14,0.16,13.7,15.8,15.6,2.5,5.5,4,3.7,4,0.4,5.8,24.7,21,34,10.5,31.6,15.7,22.8,9,28,29.1,32.4,12.5,36,42,1,0.117647058823529,3,4,3,13.1189129682076
"T.Y. Hilton",24,0,7500,27,-0.15,0.01,-0.12,0,0,0.2,0,0,8,9.5,8.9,0.9,9.5,18.6,18.3,15,7.2,29.4,19.1,29.5,6,4,26.6,8.4,20.7,73,124,6,0.271929824561404,1,1,2,11.8089526532134
"Amari Cooper",2,0,7500,21.3,0.06,0.14,0.2,0.3,0.1,0.3,0,0,5.3,8.7,8.9,0.9,9.4,11.9,17.2,14,6.9,27.5,18.3,7.9,18,32,13.9,6.2,15.7,71,116,4,0.241164241164241,1,2,2,0
"Melvin Gordon",22,1,7400,23.8,0.13,-0.13,-0.05,19.3,20.9,20.8,4.2,4,6,4.7,4.3,0.7,7.5,18.3,21.8,41,13,30.6,19,0.5,28,11,23.8,12.9,0,42,57,2,0.134433962264151,2,5,6,8.62105702389091
"Larry Fitzgerald",10,0,7100,23,-0.01,0.22,0.01,0,0.1,0,0,1,7.3,10.2,9.1,1.3,7.3,13.1,17.6,14,10.8,24.3,17.9,4.2,23,18,17.8,9.3,12.3,92,129,6,0.289887640449438,1,1,1,5.22940951907455
"DeMarco Murray",12,0,7000,23,-0.2,0.15,0.05,18.3,19.1,20.3,2.9,4.6,3.7,4.5,3.5,1.1,5.7,20.4,22.1,40,16.4,27.7,20.6,15.2,1,23,0,13.4,16.9,45,54,3,0.137055837563452,3,4,3,13.4624945621776
"Brandon Marshall",7,0,7000,19.8,-0.02,0.59,0.09,0,0,0,0,0,7.7,9.1,8.2,1.5,6.5,10.8,12.4,13,5.2,19.6,15.6,6.3,32,32,8.3,18.7,0,55,111,4,0.267469879518072,1,1,1,1.98114296367979
"Dez Bryant",11,0,6900,25.3,0.08,-0.14,-0.05,0,0,0,0,0,7,7.9,8.1,1.1,8.9,18.9,16.2,13,6.8,25.5,16.6,1,9,11,18.4,12.2,26,37,73,7,0.197831978319783,3,3,1,6.05618047355665
"Julian Edelman",10,0,6800,25.8,-0.08,-0.31,0.02,0.7,0.9,0.2,0.1,4.6,13.3,9.3,8.3,0.9,6.4,20.1,13.5,14,7.8,19.2,16,14.3,3,25,21.1,16.3,22.9,76,117,2,0.26410835214447,1,1,7,0
"Matt Forte",24,1,6800,19.8,-0.02,0.59,0.44,14,17.6,19,2.6,3.7,3.7,3.5,2.7,0.3,6.1,10.6,15.5,35,5.1,25.9,18.6,0.8,32,32,10.9,8,0,30,42,1,0.101204819277108,4,5,6,11.9476726120191
"Jordy Nelson",9,0,6800,22.3,-0.05,-0.07,-0.07,0,0,0,0,0,9,9.8,8.5,2,7.4,19.2,18.7,15,9.5,27.8,16.5,22.1,5,8,28.8,17.1,11.8,71,123,10,0.247983870967742,1,1,1,4.89226453119312
"Doug Baldwin",18,0,6800,25.3,0.05,-0.12,0.04,0,0.1,0,0,-4,6.7,7.1,6.3,0.8,9.8,15.3,16,12,6.8,25.1,14.5,10.6,17,22,13.5,10.4,22,70,95,5,0.245478036175711,1,1,1,6.93511013254969
"Golden Tate",19,0,6600,24.8,-0.09,0,0.05,0.3,0.7,0.4,0.1,-0.3,7,7.9,7.2,0.8,8,16.1,13.8,13,3.1,24.5,14.2,11.7,12,22,31.5,12.7,4.1,65,100,4,0.226244343891403,1,1,3,15.955458685867
"Russell Wilson",18,0,6600,25.3,0.05,-0.12,0.06,6.3,4.2,4.6,0.1,3.8,0.3,0.2,0,0.1,7,18.1,17.3,65,9.9,24.8,19.7,10.5,17,15,17,12,25.3,2,2,1,0.00516795865633075,12,13,3,3.56210659019683
"Stefon Diggs",6,0,6500,20.5,-0.2,0.08,-0.11,0,0.3,0.3,0.1,3.3,10,9.6,8.8,0.9,8.4,18.7,17.8,15,7.1,28.5,15.5,8.5,10,5,13.9,0,9.7,76,98,2,0.225806451612903,1,1,3,4.3975336701084
"Brandin Cooks",3,0,6400,25,0.02,0.08,-0.01,1,0.5,0.3,0.3,5,7.3,7.6,7.4,0.9,9.6,15.1,16.7,12,6.6,26.8,15.7,11.1,20,20,14.7,0,11.9,60,86,6,0.171314741035857,2,2,2,7.5346023065245
