"Player.Name","Likes","Inj","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Actual.FP","Opp.Rank","Opp.Pos.Rank","Wk.Lag1.Fpts","Wk.Lag2.Fpts","Wk.Lag3.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Ownership.Pctg"
"Le'Veon Bell",0,0,10400,22.5,0.01,0.36,0.21,27,21.8,0,2.5,4.9,5.7,7.8,0,0.7,6.6,34.9,28,0,17.2,38.9,0,0,31,31,31.7,18.1,54.8,76,97,2,0.170175438596491,2,2,5,1.21857800850931
"David Johnson",21,1,9800,23,-0.05,-0.04,-0.02,20,19.2,20.3,3.5,4.3,6.7,7.7,7.2,0.9,7.3,26.5,27.9,43,19.6,36.1,25.4,7.4,15,16,34.6,26.8,18.1,81,119,4,0.217550274223035,2,2,3,23.3249736523674
"LeSean McCoy",7,1,8900,23.3,0.01,-0.08,0.02,18.3,16.4,15.9,2.7,5.5,5.3,4.1,4.2,0.5,6.1,28.7,22.7,34,12.6,32.8,15.5,2.6,26,20,28.5,34.9,22.8,51,59,1,0.131403118040089,2,4,5,7.63081111674929
"Antonio Brown",0,0,8700,22.5,0.01,0.36,-0.01,0,0.2,0.3,0,3,9,10.3,0,1,8.3,15.7,21.3,0,11.7,30.9,0,0,31,23,25.6,8.8,12.8,110,164,13,0.287719298245614,1,1,1,0.744564580975058
"Julio Jones",17,0,8400,33,0.11,-0.09,0.05,0,0,0,0,0,7.7,9.2,8.8,0.5,10.9,12.9,19.9,14,6.1,33.6,22.5,22.6,30,16,10,0,0,78,123,5,0.240704500978474,1,1,2,15.665375307389
"Jordy Nelson",26,0,8100,26.8,0,-0.05,0.02,0,0,0,0,0,9.3,9.7,9.8,1.9,8.2,28,20.5,16,10.8,30.3,21.2,12.6,19,15,39.4,22.4,22.1,94,153,14,0.258445945945946,1,1,1,39.3970295483821
"Mike Evans",18,0,8000,24,0.13,-0.17,0.07,0,0,0,0,0,8,10.7,11.5,1.1,7.8,13.6,19.9,18,9.6,30.2,22.8,17.5,27,22,22.7,9.9,8.2,95,165,11,0.303308823529412,1,1,1,14.5431613255787
"T.Y. Hilton",10,0,7600,27,-0.14,-0.02,-0.1,0,0,0.3,0,0,9.7,9.5,8.2,0.9,9.5,18.8,18.4,14,7.7,29.1,17.1,15.5,10,6,19.5,7.5,29.5,89,152,7,0.271914132379249,1,1,2,7.26901908739607
"Ezekiel Elliott",1,0,7400,18.8,0.01,-0.03,-0.06,19.7,21.5,8.6,2.5,5.1,2,2.7,0.7,0.2,9.1,22.2,23.2,16,14.8,31.5,7.2,0,14,13,22.2,30.8,13.7,32,40,1,0.0856531049250535,5,5,6,1.69332331472735
"Doug Baldwin",21,0,7200,28.3,-0.03,0.57,0.05,0.7,0.2,0,0,0.7,12,8.1,7.1,0.9,9,21.6,17.1,11,6.7,27.4,16,6.4,32,27,39.7,14.5,10.6,94,129,7,0.26008064516129,1,1,1,15.5882840860299
