"","X","X2017.04.02","X2017.04.03","X2017.04.04","X2017.04.05","X2017.04.06","X2017.04.07","X2017.04.08","X2017.04.09"
"40","Aledmys Diaz_STL",18,NA,0,NA,NA,0,37,3
"41","Stephen Piscotty_STL",9,NA,4,NA,NA,2,NA,NA
"42","Billy Hamilton_CIN",NA,10,NA,7,NA,13,NA,7
"43","Odubel Herrera_PHI",NA,9,NA,8,NA,NA,11,3
"44","Dustin Garneau_COL",NA,NA,NA,NA,NA,NA,0,NA
"45","Javier Baez_CHC",3,NA,2,NA,NA,0,16,NA
"46","David Wright_NYM",NA,NA,NA,NA,NA,NA,NA,NA
"47","Asdrubal Cabrera_NYM",NA,18,NA,2,5,5,3,5
"48","Jayson Werth_WAS",NA,0,NA,6,NA,NA,10,6
"49","Willson Contreras_CHC",21,NA,7,NA,NA,3,11,NA
"50","Adrian Gonzalez_LAD",NA,13,3,11,NA,NA,8,11
"51","Addison Russell_CHC",3,NA,7,NA,NA,3,19,16
"52","Yasiel Puig_LAD",NA,11,0,17,NA,NA,8,0
"53","Lucas Duda_NYM",NA,13,NA,2,NA,NA,14,6
"54","Tommy Joseph_PHI",NA,0,NA,0,NA,NA,14,7
"55","Neil Walker_NYM",NA,4,NA,0,10,3,0,5
"56","Jay Bruce_NYM",NA,10,NA,22,4,2,3,16
"57","Christian Bethancourt_SD",NA,NA,NA,NA,NA,NA,NA,NA
"58","Austin Hedges_SD",NA,0,0,2,NA,NA,2,2
"59","Tom Murphy_COL",NA,NA,NA,NA,NA,NA,NA,NA
"60","Randal Grichuk_STL",23,NA,0,NA,NA,0,3,5
"61","Michael Taylor_WAS",NA,NA,NA,NA,NA,NA,NA,NA
"62","Logan Forsythe_LAD",NA,11,8,0,NA,NA,NA,19
"63","Joc Pederson_LAD",NA,22,NA,2,NA,NA,2,NA
"64","Jose Osuna_PIT",NA,NA,NA,NA,NA,NA,NA,NA
"65","Josh Harrison_PIT",NA,7,NA,3,NA,NA,5,NA
"66","Jose Peraza_CIN",NA,6,NA,0,NA,0,NA,9
"67","Michael Conforto_NYM",NA,NA,NA,NA,NA,NA,NA,18
"68","Ryan Zimmerman_WAS",NA,6,NA,18,NA,NA,2,NA
"69","Justin Turner_LAD",NA,19,3,13,NA,NA,0,16
"70","Scooter Gennett_CIN",NA,NA,NA,NA,NA,2,0,NA
"71","Scott Schebler_CIN",NA,7,NA,0,NA,16,NA,11
"72","Michael Saunders_PHI",NA,9,NA,NA,NA,NA,26,0
"73","Luis Sardinas_SD",NA,NA,NA,NA,NA,NA,3,NA
"74","Pat Valaika_COL",NA,NA,NA,NA,NA,NA,NA,NA
