"Rank","TRank","Price","Ratio","Value","Name","Team","Game","Pos","Order","R","HR","RBI","SB","AB","1B","2B","3B","BB","HBP","CS","W","SO","IP","CG","SHO","ER","H","BB__1","HBP__1"
1,1,2900,148.275862068966,43,"Thomas Pham","STL",NA,"OF",8,2,2,3,1,5,2,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2,3600,105.555555555556,38,"Jayson Werth","WAS",NA,"OF",2,3,2,3,0,5,1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,6800,52.4264705882353,35.65,"Scott Feldman","CIN",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,9,1,1,0,4,1,1
4,3,4300,79.0697674418605,34,"Andrew Benintendi","BOS",NA,"OF",4,3,1,2,1,4,0,1,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,4,2800,121.428571428571,34,"Sandy Leon","BOS",NA,"C",8,2,2,4,0,4,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,5,4200,76.1904761904762,32,"Giancarlo Stanton","MIA",NA,"OF",4,2,2,4,0,5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2,10300,27.9126213592233,28.75,"Jon Lester","CHC",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,7,0,0,1,3,2,0
8,3,8300,34.6385542168675,28.75,"Luis Severino","NYY",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,7,0,0,1,4,1,0
9,6,3100,90.3225806451613,28,"Yunel Escobar","LAA",NA,"3B",1,2,2,2,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,4,10900,25.2752293577982,27.55,"Johnny Cueto","SF",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10,7,0,0,2,6,1,0
11,7,4900,53.0612244897959,26,"Eric Thames","MIL",NA,"1B/OF",2,1,1,2,0,4,1,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,8,4800,52.0833333333333,25,"Freddie Freeman","ATL",NA,"1B/3B",3,1,1,2,0,5,0,1,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,9,3300,75.7575757575758,25,"Ryon Healy","OAK",NA,"1B/3B",4,2,1,2,0,3,1,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,10,4400,56.8181818181818,25,"Xander Bogaerts","BOS",NA,"SS",3,3,0,2,0,5,0,1,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,5,5500,45,24.75,"Tyler Chatwood","COL",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,7,0,0,1,2,3,0
16,6,12600,19.6031746031746,24.7,"Chris Sale","BOS",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,6,0,0,4,4,3,1
17,11,5300,45.2830188679245,24,"Mookie Betts","BOS",NA,"OF",1,2,1,1,0,6,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,12,3700,64.8648648648649,24,"Javier Baez","CHC",NA,"2B/SS",9,1,1,2,1,8,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,7,4900,48.469387755102,23.75,"Mike Clevinger","CLE",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5.66666666666667,0,0,0,1,4,0
20,8,7200,31.3194444444444,22.55,"Zach Davies","MIL",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,5.66666666666667,0,0,2,4,3,0
21,13,4400,47.7272727272727,21,"Jose Altuve","HOU",NA,"2B",3,1,1,3,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,14,4100,51.219512195122,21,"Kyle Seager","SEA",NA,"3B",5,2,1,1,0,3,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,15,3700,56.7567567567568,21,"Jacoby Ellsbury","NYY",NA,"OF",1,1,1,2,0,6,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,16,3000,70,21,"Jesus Aguilar","MIL",NA,"1B",9,1,1,2,0,2,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
