"Position","Name...ID","Name","ID","Salary","GameInfo","Team","Opponent","Projection","Projection_dfn","Actual_fpts","RankTargets","RollingTargetPctg","FreqInd","TierRank","ValueWR"
"WR","Julio Jones (9505532)","Julio Jones",9505532,9300,"ATL@DET 01:00PM ET","ATL","DET",19.93,22.2,0,0,0,0,0,0
"WR","Antonio Brown (9505519)","Antonio Brown",9505519,9000,"PIT@CHI 01:00PM ET","PIT","CHI",22.58,23.2,0,0,0,0,0,0
"RB","Le'Veon Bell (9505669)","Le'Veon Bell",9505669,8800,"PIT@CHI 01:00PM ET","PIT","CHI",24.77,22.3,0,0,0,0,0,0
"WR","Odell Beckham Jr. (9505758)","Odell Beckham",9505758,8600,"NYG@PHI 01:00PM ET","NYG","PHI",18.15,19.3,0,0,0,0,0,0
"WR","A.J. Green (9505536)","AJ Green",9505536,8100,"CIN@GB 04:25PM ET","CIN","GB",20.6,20,0,0,0,0,0,0
"RB","Kareem Hunt (9506082)","Kareem Hunt",9506082,8000,"KC@LAC 04:25PM ET","KC","LAC",22.35,16.8,0,0,0,0,0,0
"WR","Jordy Nelson (9505362)","Jordy Nelson",9505362,7800,"CIN@GB 04:25PM ET","GB","CIN",16.86,17.4,0,0,0,0,0,0
"QB","Tom Brady (9505333)","Tom Brady",9505333,7700,"HOU@NE 01:00PM ET","NE","HOU",20.71,19.2,0,0,0,0,0,0
"RB","Jay Ajayi (9505767)","Jay Ajayi",9505767,7700,"MIA@NYJ 01:00PM ET","MIA","NYJ",20.15,18.7,0,0,0,0,0,0
"RB","Melvin Gordon (9505858)","Melvin Gordon",9505858,7600,"KC@LAC 04:25PM ET","LAC","KC",20.14,15.2,0,0,0,0,0,0
"WR","Mike Evans (9505792)","Mike Evans",9505792,7500,"TB@MIN 01:00PM ET","TB","MIN",18.06,18.6,0,0,0,0,0,0
"WR","Michael Crabtree (9505435)","Michael Crabtree",9505435,7400,"OAK@WAS 08:30PM ET","OAK","WAS",15.44,12.6,0,0,0,0,0,0
"WR","Brandin Cooks (9505880)","Brandin Cooks",9505880,7300,"HOU@NE 01:00PM ET","NE","HOU",13.42,12.9,0,0,0,0,0,0
"QB","Aaron Rodgers (9505347)","Aaron Rodgers",9505347,7300,"CIN@GB 04:25PM ET","GB","CIN",22.62,23,0,0,0,0,0,0
"QB","Drew Brees (9505334)","Drew Brees",9505334,7200,"NO@CAR 01:00PM ET","NO","CAR",17.45,20.8,0,0,0,0,0,0
"WR","Keenan Allen (9505725)","Keenan Allen",9505725,7200,"KC@LAC 04:25PM ET","LAC","KC",17.09,16.7,0,0,0,0,0,0
"QB","Matt Ryan (9505353)","Matt Ryan",9505353,7100,"ATL@DET 01:00PM ET","ATL","DET",19.02,19.9,0,0,0,0,0,0
"WR","Amari Cooper (9505914)","Amari Cooper",9505914,7100,"OAK@WAS 08:30PM ET","OAK","WAS",19.35,15.1,0,0,0,0,0,0
"RB","LeSean McCoy (9505482)","LeSean McCoy",9505482,7000,"DEN@BUF 01:00PM ET","BUF","DEN",20.56,15.9,0,0,0,0,0,0
"WR","Michael Thomas (9505934)","Michael Thomas",9505934,7000,"NO@CAR 01:00PM ET","NO","CAR",17.16,16.3,0,0,0,0,0,0
"WR","Golden Tate (9505501)","Golden Tate",9505501,6900,"ATL@DET 01:00PM ET","DET","ATL",15.59,12.9,0,0,0,0,0,0
"RB","Ty Montgomery (9505801)","Ty Montgomery",9505801,6900,"CIN@GB 04:25PM ET","GB","CIN",19.83,16.3,0,0,0,0,0,0
"TE","Rob Gronkowski (9505468)","Rob Gronkowski",9505468,6800,"HOU@NE 01:00PM ET","NE","HOU",15.54,15.3,0,0,0,0,0,0
"WR","Jarvis Landry (9505760)","Jarvis Landry",9505760,6800,"MIA@NYJ 01:00PM ET","MIA","NYJ",15.58,13.3,0,0,0,0,0,0
"QB","Derek Carr (9505593)","Derek Carr",9505593,6800,"OAK@WAS 08:30PM ET","OAK","WAS",20.51,19.1,0,0,0,0,0,0
"WR","Kelvin Benjamin (9505843)","Kelvin Benjamin",9505843,6700,"NO@CAR 01:00PM ET","CAR","NO",17.18,17.6,0,0,0,0,0,0
"RB","Devonta Freeman (9505778)","Devonta Freeman",9505778,6700,"ATL@DET 01:00PM ET","ATL","DET",16.65,16.1,0,0,0,0,0,0
"QB","Cam Newton (9505467)","Cam Newton",9505467,6600,"NO@CAR 01:00PM ET","CAR","NO",19.74,22.3,0,0,0,0,0,0
"WR","Tyreek Hill (9506139)","Tyreek Hill",9506139,6600,"KC@LAC 04:25PM ET","KC","LAC",15.54,15.7,0,0,0,0,0,0
"WR","Stefon Diggs (9505977)","Stefon Diggs",9505977,6500,"TB@MIN 01:00PM ET","MIN","TB",13.83,11.4,0,0,0,0,0,0
"WR","Doug Baldwin (9505491)","Doug Baldwin",9505491,6400,"SEA@TEN 04:05PM ET","SEA","TEN",16.61,15.1,0,0,0,0,0,0
"QB","Philip Rivers (9505377)","Philip Rivers",9505377,6400,"KC@LAC 04:25PM ET","LAC","KC",16.77,17.6,0,0,0,0,0,0
"WR","DeVante Parker (9505819)","DeVante Parker",9505819,6300,"MIA@NYJ 01:00PM ET","MIA","NYJ",14.27,11.2,0,0,0,0,0,0
"QB","Russell Wilson (9505508)","Russell Wilson",9505508,6300,"SEA@TEN 04:05PM ET","SEA","TEN",16.86,19.7,0,0,0,0,0,0
"QB","Ben Roethlisberger (9505378)","Ben Roethlisberger",9505378,6200,"PIT@CHI 01:00PM ET","PIT","CHI",19.37,17.9,0,0,0,0,0,0
"QB","Matthew Stafford (9505428)","Matthew Stafford",9505428,6200,"ATL@DET 01:00PM ET","DET","ATL",18.28,19.1,0,0,0,0,0,0
"WR","DeAndre Hopkins (9505745)","DeAndre Hopkins",9505745,6200,"HOU@NE 01:00PM ET","HOU","NE",15.78,15.1,0,0,0,0,0,0
"RB","Christian McCaffrey (9506146)","Christian McCaffrey",9506146,6100,"NO@CAR 01:00PM ET","CAR","NO",17.71,11.6,0,0,0,0,0,0
"WR","Chris Hogan (9505754)","Chris Hogan",9505754,6100,"HOU@NE 01:00PM ET","NE","HOU",11.67,9.1,0,0,0,0,0,0
"QB","Jay Cutler (9505339)","Jay Cutler",9505339,6100,"MIA@NYJ 01:00PM ET","MIA","NYJ",17.35,16.1,0,0,0,0,0,0
"QB","Kirk Cousins (9505516)","Kirk Cousins",9505516,6100,"OAK@WAS 08:30PM ET","WAS","OAK",19.21,23.6,0,0,0,0,0,0
"RB","Leonard Fournette (9506133)","Leonard Fournette",9506133,6000,"BAL@JAX 09:30AM ET","JAX","BAL",16.54,14.4,0,0,0,0,0,0
"QB","Jameis Winston (9505954)","Jameis Winston",9505954,6000,"TB@MIN 01:00PM ET","TB","MIN",16.91,18.7,0,0,0,0,0,0
"QB","Marcus Mariota (9505877)","Marcus Mariota",9505877,6000,"SEA@TEN 04:05PM ET","TEN","SEA",17.28,18.9,0,0,0,0,0,0
"WR","Randall Cobb (9505569)","Randall Cobb",9505569,6000,"CIN@GB 04:25PM ET","GB","CIN",0,0,0,0,0,0,0,0
"TE","Travis Kelce (9505524)","Travis Kelce",9505524,6000,"KC@LAC 04:25PM ET","KC","LAC",15.25,13,0,0,0,0,0,0
"RB","Marshawn Lynch (9505395)","Marshawn Lynch",9505395,6000,"OAK@WAS 08:30PM ET","OAK","WAS",15.04,16.3,0,0,0,0,0,0
"WR","Demaryius Thomas (9505455)","Demaryius Thomas",9505455,5900,"DEN@BUF 01:00PM ET","DEN","BUF",15.77,17.8,0,0,0,0,0,0
"RB","Dalvin Cook (9506143)","Dalvin Cook",9506143,5900,"TB@MIN 01:00PM ET","MIN","TB",16.17,14.2,0,0,0,0,0,0
"WR","Alshon Jeffery (9505617)","Alshon Jeffery",9505617,5900,"NYG@PHI 01:00PM ET","PHI","NYG",15.82,14.3,0,0,0,0,0,0
"QB","Carson Wentz (9505903)","Carson Wentz",9505903,5900,"NYG@PHI 01:00PM ET","PHI","NYG",18.8,18.7,0,0,0,0,0,0
"QB","Alex Smith (9505357)","Alex Smith",9505357,5900,"KC@LAC 04:25PM ET","KC","LAC",17.72,16.8,0,0,0,0,0,0
"WR","Terrelle Pryor Sr. (9505534)","Terrelle Pryor",9505534,5900,"OAK@WAS 08:30PM ET","WAS","OAK",14.62,15.5,0,0,0,0,0,0
"WR","Emmanuel Sanders (9505431)","Emmanuel Sanders",9505431,5800,"DEN@BUF 01:00PM ET","DEN","BUF",15.4,15.5,0,0,0,0,0,0
"RB","C.J. Anderson (9505871)","CJ Anderson",9505871,5800,"DEN@BUF 01:00PM ET","DEN","BUF",16.85,15.4,0,0,0,0,0,0
"QB","Andrew Luck (9505544)","Andrew Luck",9505544,5800,"CLE@IND 01:00PM ET","IND","CLE",0,0,0,0,0,0,0,0
"WR","Martavis Bryant (9505813)","Martavis Bryant",9505813,5700,"PIT@CHI 01:00PM ET","PIT","CHI",13.31,14.6,0,0,0,0,0,0
"QB","Sam Bradford (9505444)","Sam Bradford",9505444,5700,"TB@MIN 01:00PM ET","MIN","TB",0,0,0,0,0,0,0,0
"WR","Adam Thielen (9506037)","Adam Thielen",9506037,5700,"TB@MIN 01:00PM ET","MIN","TB",13.94,11.7,0,0,0,0,0,0
"RB","Mike Gillislee (9505628)","Mike Gillislee",9505628,5700,"HOU@NE 01:00PM ET","NE","HOU",13.64,14,0,0,0,0,0,0
"RB","Tarik Cohen (9506113)","Tarik Cohen",9506113,5600,"PIT@CHI 01:00PM ET","CHI","PIT",13.38,14.2,0,0,0,0,0,0
"QB","Jimmy Garoppolo (9505706)","Jimmy Garoppolo",9505706,5600,"HOU@NE 01:00PM ET","NE","HOU",0,0,0,0,0,0,0,0
"WR","Davante Adams (9505897)","Davante Adams",9505897,5600,"CIN@GB 04:25PM ET","GB","CIN",15.66,12.2,0,0,0,0,0,0
"QB","Trevor Siemian (9505679)","Trevor Siemian",9505679,5500,"DEN@BUF 01:00PM ET","DEN","BUF",16.46,17.9,0,0,0,0,0,0
"RB","DeMarco Murray (9505442)","DeMarco Murray",9505442,5500,"SEA@TEN 04:05PM ET","TEN","SEA",10.89,9,0,0,0,0,0,0
"QB","Derek Anderson (9505340)","Derek Anderson",9505340,5400,"NO@CAR 01:00PM ET","CAR","NO",0,0,0,0,0,0,0,0
"WR","Danny Amendola (9505384)","Danny Amendola",9505384,5400,"HOU@NE 01:00PM ET","NE","HOU",8.35,8,0,0,0,0,0,0
"RB","James White (9505713)","James White",9505713,5400,"HOU@NE 01:00PM ET","NE","HOU",11.86,10.1,0,0,0,0,0,0
"TE","Jordan Reed (9505630)","Jordan Reed",9505630,5400,"OAK@WAS 08:30PM ET","WAS","OAK",15.84,0,0,0,0,0,0,0
"QB","Joe Flacco (9505356)","Joe Flacco",9505356,5300,"BAL@JAX 09:30AM ET","BAL","JAX",13.5,14.4,0,0,0,0,0,0
"RB","Tevin Coleman (9505989)","Tevin Coleman",9505989,5300,"ATL@DET 01:00PM ET","ATL","DET",13.17,9.5,0,0,0,0,0,0
"QB","Eli Manning (9505376)","Eli Manning",9505376,5300,"NYG@PHI 01:00PM ET","NYG","PHI",15.81,17.6,0,0,0,0,0,0
"RB","Derrick Henry (9506028)","Derrick Henry",9506028,5300,"SEA@TEN 04:05PM ET","TEN","SEA",11.19,14.9,0,0,0,0,0,0
"WR","Jeremy Maclin (9505447)","Jeremy Maclin",9505447,5200,"BAL@JAX 09:30AM ET","BAL","JAX",12.21,13.8,0,0,0,0,0,0
"WR","T.Y. Hilton (9505575)","TY Hilton",9505575,5200,"CLE@IND 01:00PM ET","IND","CLE",13.74,12.9,0,0,0,0,0,0
"RB","Theo Riddick (9505636)","Theo Riddick",9505636,5100,"ATL@DET 01:00PM ET","DET","ATL",12.7,11.3,0,0,0,0,0,0
"QB","Andy Dalton (9505427)","Andy Dalton",9505427,5100,"CIN@GB 04:25PM ET","CIN","GB",16.44,18.4,0,0,0,0,0,0
"RB","Javorius Allen (9505803)","Javorius Allen",9505803,5000,"BAL@JAX 09:30AM ET","BAL","JAX",15.25,12,0,0,0,0,0,0
"QB","DeShone Kizer (9506158)","DeShone Kizer",9506158,5000,"CLE@IND 01:00PM ET","CLE","IND",15.87,17.2,0,0,0,0,0,0
"RB","Lamar Miller (9505632)","Lamar Miller",9505632,5000,"HOU@NE 01:00PM ET","HOU","NE",13.15,11.1,0,0,0,0,0,0
"WR","Brandon Marshall (9505345)","Brandon Marshall",9505345,5000,"NYG@PHI 01:00PM ET","NYG","PHI",9.48,10.1,0,0,0,0,0,1
"TE","Zach Ertz (9505607)","Zach Ertz",9505607,5000,"NYG@PHI 01:00PM ET","PHI","NYG",14.12,11.9,0,0,0,0,0,0
"RB","Terrance West (9505796)","Terrance West",9505796,4900,"BAL@JAX 09:30AM ET","BAL","JAX",7.81,5.9,0,0,0,0,0,0
"QB","Tyrod Taylor (9505490)","Tyrod Taylor",9505490,4900,"DEN@BUF 01:00PM ET","BUF","DEN",13.92,16.4,0,0,0,0,0,0
"TE","Greg Olsen (9505366)","Greg Olsen",9505366,4900,"NO@CAR 01:00PM ET","CAR","NO",0,0,0,0,0,0,0,0
"RB","Jordan Howard (9506103)","Jordan Howard",9506103,4900,"PIT@CHI 01:00PM ET","CHI","PIT",13.13,10.7,0,0,0,0,0,0
"RB","Chris Carson (9506165)","Chris Carson",9506165,4900,"SEA@TEN 04:05PM ET","SEA","TEN",11.08,10.3,0,0,0,0,0,0
"WR","Jamison Crowder (9505809)","Jamison Crowder",9505809,4900,"OAK@WAS 08:30PM ET","WAS","OAK",14.05,13.7,0,0,0,0,0,1
"RB","Isaiah Crowell (9505866)","Isaiah Crowell",9505866,4800,"CLE@IND 01:00PM ET","CLE","IND",13.07,14.9,0,0,0,0,0,0
"QB","Jacoby Brissett (9505868)","Jacoby Brissett",9505868,4800,"CLE@IND 01:00PM ET","IND","CLE",14.8,14.6,0,0,0,0,0,0
"WR","Corey Coleman (9505987)","Corey Coleman",9505987,4800,"CLE@IND 01:00PM ET","CLE","IND",0,0,0,0,0,0,0,1
"RB","Jonathan Stewart (9505407)","Jonathan Stewart",9505407,4700,"NO@CAR 01:00PM ET","CAR","NO",9.88,8.3,0,0,0,0,0,0
"QB","Mike Glennon (9505558)","Mike Glennon",9505558,4700,"PIT@CHI 01:00PM ET","CHI","PIT",14.75,15.2,0,0,0,0,0,0
"RB","Ameer Abdullah (9505765)","Ameer Abdullah",9505765,4700,"ATL@DET 01:00PM ET","DET","ATL",13.75,12.6,0,0,0,0,0,0
"QB","Deshaun Watson (9506145)","Deshaun Watson",9506145,4700,"HOU@NE 01:00PM ET","HOU","NE",12.64,14.4,0,0,0,0,0,0
"WR","Sterling Shepard (9505946)","Sterling Shepard",9505946,4700,"NYG@PHI 01:00PM ET","NYG","PHI",9.74,11.6,0,0,0,0,0,1
"QB","AJ McCarron (9505627)","AJ McCarron",9505627,4700,"CIN@GB 04:25PM ET","CIN","GB",0,0,0,0,0,0,0,0
"QB","Patrick Mahomes II (9506157)","Patrick Mahomes II",9506157,4700,"KC@LAC 04:25PM ET","KC","LAC",0,0,0,0,0,0,0,0
"QB","Colt McCoy (9505426)","Colt McCoy",9505426,4700,"OAK@WAS 08:30PM ET","WAS","OAK",0,0,0,0,0,0,0,0
"WR","Allen Hurns (9505656)","Allen Hurns",9505656,4600,"BAL@JAX 09:30AM ET","JAX","BAL",10.16,10.7,0,0,0,0,0,1
"QB","Chase Daniel (9505415)","Chase Daniel",9505415,4600,"NO@CAR 01:00PM ET","NO","CAR",0,0,0,0,0,0,0,0
"WR","Kenny Golladay (9506001)","Kenny Golladay",9506001,4600,"ATL@DET 01:00PM ET","DET","ATL",9.73,6.7,0,0,0,0,0,1
