"Player.Name","Likes","Inj","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Actual.FP","Opp.Rank","Opp.Pos.Rank","Wk.Lag1.Fpts","Wk.Lag2.Fpts","Wk.Lag3.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Value"
"Antonio Brown",0,"0",8700,22.5,0.01,0.36,-0.01,0,0.2,0.3,0,3,9,10.3,0,1,8.3,15.7,21.3,0,11.7,30.9,0,0,31,23,25.6,8.8,12.8,110,164,13,0.287719298245614,1,1,1,0
"Julio Jones",17,"0",8400,33,0.11,-0.09,0.05,0,0,0,0,0,7.7,9.2,8.8,0.5,10.9,12.9,19.9,14,6.1,33.6,22.5,22.6,30,16,10,0,0,78,123,5,0.240704500978474,1,1,2,1
"Jordy Nelson",26,"0",8100,26.8,0,-0.05,0.02,0,0,0,0,0,9.3,9.7,9.8,1.9,8.2,28,20.5,16,10.8,30.3,21.2,12.6,19,15,39.4,22.4,22.1,94,153,14,0.258445945945946,1,1,1,0
"Mike Evans",18,"0",8000,24,0.13,-0.17,0.07,0,0,0,0,0,8,10.7,11.5,1.1,7.8,13.6,19.9,18,9.6,30.2,22.8,17.5,27,22,22.7,9.9,8.2,95,165,11,0.303308823529412,1,1,1,0
"T.Y. Hilton",10,"0",7600,27,-0.14,-0.02,-0.1,0,0,0.3,0,0,9.7,9.5,8.2,0.9,9.5,18.8,18.4,14,7.7,29.1,17.1,15.5,10,6,19.5,7.5,29.5,89,152,7,0.271914132379249,1,1,2,0
"Doug Baldwin",21,"0",7200,28.3,-0.03,0.57,0.05,0.7,0.2,0,0,0.7,12,8.1,7.1,0.9,9,21.6,17.1,11,6.7,27.4,16,6.4,32,27,39.7,14.5,10.6,94,129,7,0.26008064516129,1,1,1,0
"Brandin Cooks",12,"0",6900,25.5,0.08,-0.06,0.03,0,0.4,0.2,0.2,5,9,7.9,7.9,0.8,10.4,22.2,17.9,12,6.8,29,16.4,4.9,29,20,14.8,40.6,11.1,77,113,9,0.180223285486443,2,1,1,0
"Michael Thomas",12,"0",6700,25.5,0.08,-0.06,0.03,0,0,0,0,0,7.7,7.6,9.1,1.1,9.2,14.1,16.6,14,8.7,24.4,16.9,34.6,29,20,15.8,18.2,0,84,112,8,0.178628389154705,1,2,2,1
"Golden Tate",20,"0",6600,23.3,0.11,-0.11,0.16,0.3,0.6,0.4,0.1,-0.3,10,8.3,6.9,1.1,8,15.6,14.2,13,4.4,24,14.6,20.4,21,32,11.8,23.2,11.7,85,131,4,0.233096085409253,1,1,3,1
"DeAndre Hopkins",8,"0",6500,19.3,0.12,-0.16,0.2,0,0,0,0,0,9,9.3,8,0.6,5.9,9.8,12.1,13,5.9,18.3,13.4,22.3,22,30,7.3,16.7,5.3,72,149,4,0.271402550091075,1,1,1,1
