"Player.Name","Likes","Inj","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Actual.FP","Opp.Rank","Opp.Pos.Rank","Wk.Lag1.Fpts","Wk.Lag2.Fpts","Wk.Lag3.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Value"
"Antonio Brown",24,"0",9700,25.5,-0.11,-0.05,-0.07,0,0.2,0.2,0,9.3,13.3,12.4,13.8,1.4,8.6,24.2,24.2,23,8.7,40.6,28.4,22.4,5,7,29,7.9,35.6,24,40,2,0.344827586206897,1,1,1,1
"Julio Jones",8,"0",9200,23,-0.09,-0.17,-0.14,0,0,0,0,0,6.7,11.1,12.7,1.1,9.1,14.6,14.6,20,11.4,30.6,25.2,51,7,2,2.6,24.6,16.6,10,20,2,0.194174757281553,3,1,1,1
"A.J. Green",1,"0",8500,26.8,0.04,0.16,0.05,0,0,0,0,0,10.7,8.7,8,1,9,20.2,20.2,13,7.2,27.1,19.1,36.3,21,26,15.7,5.8,39,22,33,1,0.28448275862069,1,1,1,1
"DeAndre Hopkins",19,"0",8400,22,-0.03,0.03,0.09,0,0,0,0,0,9,11.3,9.3,1.5,8.2,17.8,17.8,15,11.3,30.2,18.3,1.4,10,14,9.6,27.3,16.4,16,26,2,0.242990654205607,1,1,1,0
"Allen Robinson",3,"0",8000,23.8,0.08,0.09,0.07,0,0,0,0,0,10.3,9.7,8.5,1.4,8.6,15.4,15.4,14,10.5,29.2,17,16.5,23,7,24.7,8.4,13.2,15,32,2,0.256,1,1,1,0
"Amari Cooper",12,"0",7600,20.8,-0.14,-0.04,-0.01,0,0.2,0.2,0,-1,9.7,8,8.6,0.6,8.2,15.7,15.7,15,3.8,23.2,16.7,9.8,3,10,10.2,12.1,24.7,16,34,0,0.276422764227642,2,1,5,0
"Alshon Jeffery",6,"0",7500,22.5,-0.05,0.04,-0.01,0,0,0,0,0,6.7,9.5,10.1,1.5,8.9,14.7,14.7,20,9.1,25.8,19.2,7.6,31,22,12,14.6,17.5,14,21,0,0.2,2,2,3,0
"Brandin Cooks",5,"0",7400,25,0.07,0.06,-0.07,0.7,0.5,0.2,0.1,4.4,8.7,8.3,7.2,0.8,8.9,18,18,12,7.2,28.4,16.2,6.1,25,16,3.9,13.8,36.4,15,27,2,0.194244604316547,2,1,1,0
"Marvin Jones",22,"0",7300,25.5,-0.07,0.12,-0.14,0,0.3,0,0.1,7.5,9.7,7.3,8.8,0.6,9.2,25.6,25.6,15,3.7,23,19.5,12.4,22,20,41.5,22.8,12.5,18,31,2,0.252032520325203,1,1,2,0
"Larry Fitzgerald",18,"0",7200,26.8,0.08,0.01,-0.03,0,0,0,0,0,11,9.4,7.9,1.3,7.3,20.4,20.4,12,10.3,22.3,17.2,11.3,12,11,13,20.1,28.1,21,33,4,0.266129032258065,1,1,1,0
"Kelvin Benjamin",10,"0",7100,25.5,0.01,0,-0.22,0,0,0,0,0,7.3,8.8,7.8,1.2,6.8,18,18,13,5.2,24,15.5,12.9,32,20,0,32.8,21.1,13,22,3,0.198198198198198,2,2,1,0
"T.Y. Hilton",5,"0",7000,25.8,0.03,0.02,0.01,0,0,0.2,0,0,11.3,8.8,8.8,1.1,8.5,18.8,18.8,15,4.8,24.7,17.6,17.2,16,23,34.4,8.1,13.9,18,37,1,0.291338582677165,1,1,2,0
"Brandon Marshall",0,"0",7000,19.5,-0.16,-0.27,-0.23,0,0,0,0,0,9,10.4,9.3,1.6,8.3,10.3,10.3,16,10.3,30.8,16.4,18.9,2,1,5.7,19.1,6.2,13,29,0,0.256637168141593,2,1,4,1
"Jarvis Landry",4,"0",6900,19.3,0,-0.1,-0.03,0.7,1,1,0,6.8,11.7,10.4,9.7,1.1,7.5,22.7,22.7,18,9.6,27.1,17.7,13.1,24,25,29.6,25.7,12.9,26,36,1,0.333333333333333,1,1,1,0
"Demaryius Thomas",11,"0",6700,23.3,0.02,-0.15,0.11,0,0,0,0,0,6.7,9.9,9.2,1.4,8,16.3,16.3,15,10.2,23.7,17.2,21.4,27,30,24,16,8.8,15,25,1,0.263157894736842,2,2,2,1
"Willie Snead",4,"0",6600,25,0.07,0.06,-0.07,0,0,0,0,0,7,7.3,7.2,0.7,9.9,19.4,25.8,12,6,23.4,16.5,3.3,25,16,0,16.4,35.2,14,17,2,0.122302158273381,3,5,1,0
"Mike Evans",7,"0",6500,19.8,-0.18,-0.15,-0.25,0,0,0,0,0,12.3,10.3,9.7,1.2,8.5,24,24,16,8.4,26.5,15,10.9,9,3,32.2,19,20.9,21,38,3,0.271428571428571,1,1,1,0
