P,P,C,1B,2B,3B,SS,OF,OF,OF
Clayton Kershaw,Wade Miley,Salvador Perez,Eric Hosmer,Jedd Gyorko,Mike Moustakas,Jorge Polanco,Lorenzo Cain,Manuel Margot,Mitch Haniger
Danny Duffy,Wade Miley,Salvador Perez,Eric Hosmer,Cory Spangenberg,Mike Moustakas,Trea Turner,Adam Eaton,Max Kepler,Lorenzo Cain
Clayton Kershaw,Wade Miley,Austin Hedges,Paul Goldschmidt,Cory Spangenberg,Mike Moustakas,Chris Owings,AJ Pollock,Yasmany Tomas,Jaff Decker
Gerrit Cole,Erasmo Ramirez,Austin Hedges,Ryan Zimmerman,Daniel Murphy,Mike Moustakas,Trea Turner,Bryce Harper,Adam Eaton,Lorenzo Cain
Clayton Kershaw,Michael Wacha,Salvador Perez,Eric Hosmer,Yangervis Solarte,Mike Moustakas,Jorge Polanco,Max Kepler,Lorenzo Cain,Jabari Blash
Clayton Kershaw,Scott Feldman,Chris Iannetta,Eric Hosmer,Christian Colon,Mike Moustakas,Trea Turner,AJ Pollock,Lorenzo Cain,Manuel Margot
Wade Miley,Scott Feldman,Austin Hedges,Ryan Zimmerman,Brian Dozier,Mike Moustakas,Trea Turner,Bryce Harper,Adam Eaton,Max Kepler
Wei-Yin Chen,JC Ramirez,Salvador Perez,Ryan Zimmerman,Daniel Murphy,Anthony Rendon,Trea Turner,Bryce Harper,AJ Pollock,Manuel Margot
Clayton Kershaw,Wade Miley,Austin Hedges,Ryon Healy,Jed Lowrie,Mike Moustakas,Trea Turner,Bryce Harper,Khris Davis,Jaff Decker
Clayton Kershaw,Joe Ross,Salvador Perez,Eric Hosmer,Kolten Wong,Mike Moustakas,Taylor Motter,Bryce Harper,Lorenzo Cain,Manuel Margot
Clayton Kershaw,Erasmo Ramirez,Salvador Perez,Eric Hosmer,Chris Taylor,Miguel Sano,Trea Turner,Lorenzo Cain,Alex Gordon,Manuel Margot
Clayton Kershaw,Michael Wacha,Austin Hedges,Wil Myers,Yangervis Solarte,Mike Moustakas,Nick Ahmed,Max Kepler,Brandon Moss,Hunter Renfroe
Clayton Kershaw,Wade Miley,Salvador Perez,Eric Hosmer,Yangervis Solarte,Mike Moustakas,Chris Owings,Lorenzo Cain,Brandon Moss,Kevin Pillar
Robert Gsellman,Wade Miley,Salvador Perez,Ryan Zimmerman,Daniel Murphy,Mike Moustakas,Trea Turner,Bryce Harper,Max Kepler,Brandon Moss
Clayton Kershaw,Michael Wacha,Austin Hedges,Wil Myers,Daniel Murphy,Mike Moustakas,Erick Aybar,Hunter Renfroe,Mitch Haniger,Jabari Blash
Danny Duffy,Michael Wacha,Austin Hedges,Wil Myers,Yangervis Solarte,Mike Moustakas,Trea Turner,Charlie Blackmon,Lorenzo Cain,Hunter Renfroe
Danny Duffy,Erasmo Ramirez,Jason Castro,Ryan Zimmerman,Cory Spangenberg,Mike Moustakas,Trea Turner,Bryce Harper,Adam Eaton,Hunter Renfroe
