"Rank","TRank","Price","Ratio","Value","Name","Team","Game","Pos","Order","R","HR","RBI","SB","AB","1B","2B","3B","BB","HBP","CS","W","SO","IP","CG","SHO","ER","H","BB__1","HBP__1"
1,1,2900,131.034482758621,38,"Aaron Hicks","NYY",NA,"OF",2,3,1,3,1,5,2,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2,3200,106.25,34,"Cody Bellinger","LAD",NA,"1B/OF",5,2,1,5,1,4,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,5000,62.6,31.3,"Tyler Anderson","COL",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,6,0,0,1,6,1,0
4,2,14200,21.9014084507042,31.1,"Clayton Kershaw","LAD",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,7.33333333333333,0,0,1,5,4,0
5,3,2900,103.448275862069,30,"Yonder Alonso","OAK",NA,"1B",4,2,2,3,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,4,3400,88.2352941176471,30,"Starlin Castro","NYY",NA,"2B",3,2,1,3,0,4,1,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,5,4200,69.0476190476191,29,"Billy Hamilton","CIN",NA,"OF",1,2,0,2,1,6,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,6,2700,103.703703703704,28,"Chris Young","BOS",NA,"OF",7,2,2,2,0,5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,3,7900,35.379746835443,27.95,"Jake Odorizzi","TB",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,7,0,0,1,3,0,0
10,4,9600,28.4895833333333,27.35,"Gerrit Cole","PIT",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,7,0,0,1,2,2,0
11,7,3300,81.8181818181818,27,"Logan Morrison","TB",NA,"1B",4,2,1,3,0,3,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,5,11000,23.2272727272727,25.55,"Rick Porcello","BOS",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,7,0,0,1,7,0,0
13,8,2600,96.1538461538462,25,"Patrick Kivlehan","CIN",NA,"OF",7,2,1,1,0,5,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,9,4400,56.8181818181818,25,"Ryan Zimmerman","WAS",NA,"1B",4,2,1,3,0,4,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,10,3500,65.7142857142857,23,"Trey Mancini","BAL",NA,"1B/OF",6,1,1,3,0,3,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,11,3700,62.1621621621622,23,"Eugenio Suarez","CIN",NA,"3B",5,2,1,2,0,4,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,12,4300,53.4883720930233,23,"Adam Duvall","CIN",NA,"OF",4,2,1,2,0,3,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,13,3100,70.9677419354839,22,"Sandy Leon","BOS",NA,"C",8,2,1,1,0,5,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,14,4300,51.1627906976744,22,"Dustin Pedroia","BOS",NA,"2B",2,1,0,3,1,4,0,1,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,15,5300,41.5094339622642,22,"Charlie Blackmon","COL",NA,"OF",1,2,0,1,0,5,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,6,11400,18.7280701754386,21.35,"Lance McCullers","HOU",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,7,0,0,0,2,2,0
22,7,7600,28.0263157894737,21.3,"Jason Vargas","KC",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,6,0,0,0,4,2,1
23,16,5200,40.3846153846154,21,"Nolan Arenado","COL",NA,"3B",3,2,1,2,0,5,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,17,3800,55.2631578947368,21,"Matt Carpenter","STL",NA,"1B",3,1,1,2,0,4,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,18,4800,43.75,21,"Manny Machado","BAL",NA,"3B",3,2,1,1,0,4,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,19,4000,50,20,"Anthony Rendon","WAS",NA,"3B",5,1,1,3,0,3,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,20,3500,54.2857142857143,19,"Mike Napoli","TEX",NA,"1B",7,1,1,1,0,4,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,21,4700,40.4255319148936,19,"Jose Abreu","CHW",NA,"1B",3,1,1,2,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,22,3400,55.8823529411765,19,"Marcell Ozuna","MIA",NA,"OF",3,1,1,2,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,23,3200,59.375,19,"Cameron Rupp","PHI",NA,"C",8,1,1,2,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,24,2800,67.8571428571429,19,"Matt Adams","ATL",NA,"1B",2,2,1,1,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,25,2100,85.7142857142857,18,"Andrew Romine","DET",NA,"2B/OF",1,2,0,2,0,4,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,26,3300,54.5454545454545,18,"Adonis Garcia","ATL",NA,"3B",6,1,1,3,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,27,3300,54.5454545454545,18,"Randal Grichuk","STL",NA,"OF",4,1,0,0,2,5,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,28,4000,45,18,"Jay Bruce","NYM",NA,"OF",3,1,0,3,0,5,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,29,3400,52.9411764705882,18,"Colby Rasmus","TB",NA,"OF",6,1,1,3,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,30,3600,50,18,"Zack Cozart","CIN",NA,"SS",2,2,0,2,0,3,1,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,31,4600,39.1304347826087,18,"Mark Reynolds","COL",NA,"1B",5,1,1,2,0,3,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,8,7700,23.3116883116883,17.95,"Josh Tomlin","CLE",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,7,0,0,1,3,0,0
40,32,3300,51.5151515151515,17,"Ryon Healy","OAK",NA,"1B/3B",5,1,1,1,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,33,4300,39.5348837209302,17,"Giancarlo Stanton","MIA",NA,"OF",4,1,1,1,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,34,4700,36.1702127659574,17,"Andrew Benintendi","BOS",NA,"OF",4,1,0,2,0,6,2,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,35,4500,37.7777777777778,17,"Carlos Santana","CLE",NA,"1B",1,1,1,1,0,5,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,36,3600,47.2222222222222,17,"Robbie Grossman","MIN",NA,"OF",1,1,1,1,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,9,6400,26.484375,16.95,"Matt Garza","MIL",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,7,0,0,1,8,0,0
46,10,7000,24,16.8,"Jordan Montgomery","NYY",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,6.66666666666667,0,0,2,3,4,0
47,37,4200,38.0952380952381,16,"Evan Longoria","TB",NA,"3B",3,3,0,0,0,3,1,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,38,3000,53.3333333333333,16,"Cody Asche","CHW",NA,"1B",6,1,1,1,0,3,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,11,8100,19.1975308641975,15.55,"Vincent Velasquez","PHI",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,7,0,0,6,7,0,0
50,12,6200,24.3548387096774,15.1,"Chase DeJong","SEA",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,6,0,0,1,4,0,0
51,39,4600,32.6086956521739,15,"Daniel Murphy","WAS",NA,"2B",3,2,0,0,0,4,2,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,13,8200,17.9878048780488,14.75,"Mike Leake","STL",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,7,0,0,3,3,2,0
53,14,4100,35.9756097560976,14.75,"Craig Stammen","SD",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,3,0,0,0,0,0,0
54,15,6700,21.9402985074627,14.7,"Martin Perez","TEX",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,6,0,0,2,8,0,0
55,40,2800,50,14,"Ezequiel Carrera","TOR",NA,"OF",2,1,1,1,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,41,3200,43.75,14,"Taylor Motter","SEA",NA,"2B/SS",7,1,0,1,0,4,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,42,4600,30.4347826086957,14,"Gary Sanchez","NYY",NA,"C",5,2,0,1,0,4,2,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,43,3200,43.75,14,"Joey Gallo","TEX",NA,"1B/3B",6,1,1,1,0,3,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,44,3600,38.8888888888889,14,"Ryan Schimpf","SD",NA,"3B",9,1,1,1,0,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,45,4800,29.1666666666667,14,"Joey Votto","CIN",NA,"1B",3,1,0,1,0,3,1,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,46,3200,43.75,14,"Hernan Perez","MIL",NA,"3B/OF",3,1,1,1,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,47,3800,36.8421052631579,14,"Javier Baez","CHC",NA,"2B/SS",7,2,0,1,0,4,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,48,4900,28.5714285714286,14,"Francisco Lindor","CLE",NA,"SS",2,1,1,1,0,5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,16,5400,25,13.5,"A.J. Cole","WAS",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,6,0,0,1,6,4,0
65,17,8400,15.8333333333333,13.3,"Dylan Bundy","BAL",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,6,0,0,3,6,1,0
66,49,3100,41.9354838709677,13,"Delino DeShields","TEX",NA,"OF",1,0,0,0,1,4,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,50,4800,27.0833333333333,13,"DJ LeMahieu","COL",NA,"2B",2,1,0,1,0,5,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,51,3800,34.2105263157895,13,"Justin Turner","LAD",NA,"3B",3,3,0,0,0,3,1,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,52,4700,27.6595744680851,13,"Xander Bogaerts","BOS",NA,"SS",3,1,0,0,0,6,2,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,53,4300,30.2325581395349,13,"Jean Segura","SEA",NA,"SS",1,2,0,0,0,5,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,54,3600,36.1111111111111,13,"Aledmys Diaz","STL",NA,"SS",5,0,0,2,0,4,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,18,10000,12.7,12.7,"Marco Estrada","TOR",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,6,0,0,5,6,2,0
