"Place_lo","Place_hi","Payout"
"1","1","8000"
"2","2","5000"
"3","3","3000"
"4","4","2000"
"5","5","1500"
"6","6","1250"
"7","8","1000"
"9","10","750"
"11","15","500"
"16","20","400"
"21","25","300"
"26","30","250"
"31","35","200"
"36","45","150"
"46","55","125"
"56","75","100"
"76","100","80"
"101","125","70"
"126","175","60"
"176","225","50"
"226","310","40"
"311","435","30"
"436","670","20"
"671","1070","15"
"1071","1770","12"
"1771","2730","10"
"2731","4075","8"
"4076","5845","7"
"5846","9095","6"
