"","2017-04-02","2017-04-03","2017-04-04","2017-04-05","2017-04-06","2017-04-07","2017-04-08"
"Corey Seager_LAD",NA,21,0,7,NA,NA,0
"Nolan Arenado_COL",NA,12,11,3,NA,NA,19
"Charlie Blackmon_COL",NA,7,10,4,NA,NA,11
"Mike Trout_LAA",NA,NA,10,10,NA,7,16
"Adrian Gonzalez_LAD",NA,13,3,11,NA,NA,8
"Carlos Gonzalez_COL",NA,0,7,0,NA,NA,NA
"Joc Pederson_LAD",NA,22,NA,2,NA,NA,2
"Paul Goldschmidt_ARI",8,NA,18,11,19,17,12
"Logan Forsythe_LAD",NA,11,8,0,NA,NA,NA
"Justin Turner_LAD",NA,19,3,13,NA,NA,0
"Trevor Story_COL",NA,7,18,7,NA,NA,5
"Yasiel Puig_LAD",NA,11,0,17,NA,NA,8
"Edwin Encarnacion_CLE",NA,NA,2,2,NA,5,0
"Michael Brantley_CLE",NA,NA,8,NA,NA,7,5
"Jason Kipnis_CLE",NA,NA,NA,NA,NA,NA,NA
"Mark Reynolds_COL",NA,27,12,10,NA,NA,19
"David Dahl_COL",NA,NA,NA,NA,NA,NA,NA
"Carlos Santana_CLE",NA,NA,21,11,NA,7,7
"Yasmani Grandal_LAD",NA,30,0,0,NA,NA,4
"Chase Utley_LAD",NA,NA,NA,NA,NA,NA,0
"DJ LeMahieu_COL",NA,0,5,4,NA,NA,0
"Franklin Gutierrez_LAD",NA,NA,3,NA,NA,NA,NA
"Ian Desmond_COL",NA,NA,NA,NA,NA,NA,NA
"Rougned Odor_TEX",NA,NA,3,3,NA,21,5
"Khris Davis_OAK",NA,NA,2,5,NA,14,7
"Francisco Lindor_CLE",NA,NA,2,46,NA,14,10
"Yoenis Cespedes_NYM",NA,4,NA,5,9,14,2
"Shin-Soo Choo_TEX",NA,NA,3,8,NA,12,0
"Stephen Cardullo_COL",NA,NA,NA,NA,NA,NA,0
"Adrian Beltre_TEX",NA,NA,NA,NA,NA,NA,NA
"Rajai Davis_OAK",NA,NA,17,0,NA,0,14
"Nomar Mazara_TEX",NA,NA,10,24,NA,32,0
"Cody Bellinger_LAD",NA,NA,NA,NA,NA,NA,NA
"Chris Taylor_LAD",NA,NA,NA,NA,NA,NA,NA
"Buster Posey_SF",2,NA,4,10,12,NA,5
"Wil Myers_SD",NA,2,10,8,NA,NA,0
"Nelson Cruz_SEA",NA,NA,0,7,2,5,2
"Jonathan Lucroy_TEX",NA,NA,NA,5,NA,3,0
"Jose Ramirez_CLE",NA,NA,2,7,NA,0,NA
"Trayce Thompson_LAD",NA,NA,NA,NA,NA,NA,NA
"Robinson Cano_SEA",NA,NA,7,2,3,3,3
"Jean Segura_SEA",NA,NA,0,19,13,7,13
"Giancarlo Stanton_MIA",NA,9,NA,0,NA,7,13
"Mike Napoli_TEX",NA,NA,9,0,NA,0,14
"Trevor Plouffe_OAK",NA,NA,0,3,NA,0,NA
"Carlos Gomez_TEX",NA,NA,0,4,NA,20,0
"Austin Barnes_LAD",NA,NA,NA,NA,NA,NA,NA
"Gerardo Parra_COL",NA,8,19,5,NA,NA,17
"Brandon Belt_SF",4,NA,10,24,9,NA,5
"Hunter Pence_SF",5,NA,11,15,4,NA,0
"Albert Pujols_LAA",NA,NA,0,5,NA,2,13
"Jose Reyes_NYM",NA,4,NA,0,5,0,NA
"Ryon Healy_OAK",NA,NA,19,0,NA,0,5
"Marcus Semien_OAK",NA,NA,9,3,NA,4,19
"Elvis Andrus_TEX",NA,NA,2,17,NA,7,0
"AJ Pollock_ARI",24,NA,10,17,11,0,NA
"Curtis Granderson_NYM",NA,5,NA,0,3,10,0
"Jake Lamb_ARI",0,NA,20,7,20,12,9
"Austin Jackson_CLE",NA,NA,10,0,NA,NA,NA
"Rob Segedin_LAD",NA,NA,NA,NA,NA,NA,NA
"Eduardo Nunez_SF",25,NA,10,13,2,NA,5
"Kyle Seager_SEA",NA,NA,5,8,5,0,7
"Dee Gordon_MIA",NA,0,NA,12,NA,10,NA
"Christian Yelich_MIA",NA,0,NA,8,NA,21,7
"Joey Gallo_TEX",NA,NA,19,4,NA,4,0
"Tyler Naquin_CLE",NA,NA,NA,NA,NA,12,0
"Yasmany Tomas_ARI",0,NA,0,10,NA,16,20
"Andre Ethier_LAD",NA,NA,NA,NA,NA,NA,NA
"Andrew Toles_LAD",NA,8,NA,2,NA,NA,14
"Brandon Crawford_SF",10,NA,21,7,7,NA,5
"Denard Span_SF",6,NA,NA,NA,NA,NA,2
"Kole Calhoun_LAA",NA,NA,7,11,NA,21,5
"David Wright_NYM",NA,NA,NA,NA,NA,NA,NA
"Asdrubal Cabrera_NYM",NA,18,NA,2,5,5,3
"Stephen Vogt_OAK",NA,NA,0,5,NA,5,2
"Delino DeShields_TEX",NA,NA,NA,0,NA,NA,NA
"Kike Hernandez_LAD",NA,NA,NA,NA,NA,NA,NA
"Scott Van Slyke_LAD",NA,NA,NA,NA,NA,NA,NA
"Joe Panik_SF",12,NA,17,5,NA,NA,3
"Cameron Maybin_LAA",NA,NA,8,7,NA,14,3
"Lucas Duda_NYM",NA,13,NA,2,NA,NA,14
"Neil Walker_NYM",NA,4,NA,0,10,3,0
"Jay Bruce_NYM",NA,10,NA,22,4,2,3
"David Peralta_ARI",0,NA,0,NA,25,6,16
"Dustin Garneau_COL",NA,NA,NA,NA,NA,NA,0
"CJ Cron_LAA",NA,NA,NA,8,NA,0,NA
"Michael Conforto_NYM",NA,NA,NA,NA,NA,NA,NA
"Josh Phegley_OAK",NA,NA,NA,NA,NA,NA,NA
"Mark Canha_OAK",NA,NA,NA,NA,NA,NA,0
"Jurickson Profar_TEX",NA,NA,NA,NA,NA,4,NA
"Lonnie Chisenhall_CLE",NA,NA,NA,NA,NA,NA,NA
"Abraham Almonte_CLE",NA,NA,NA,4,NA,NA,NA
"Tom Murphy_COL",NA,NA,NA,NA,NA,NA,NA
"Ryan Schimpf_SD",NA,17,5,0,NA,NA,NA
"Luis Valbuena_LAA",NA,NA,NA,NA,NA,NA,NA
"Jefry Marte_LAA",NA,NA,9,NA,NA,NA,5
"Mitch Haniger_SEA",NA,NA,7,11,21,5,16
"Yonder Alonso_OAK",NA,NA,7,3,NA,14,21
"Michael Martinez_CLE",NA,NA,NA,NA,NA,NA,NA
"Brandon Drury_ARI",3,NA,9,7,NA,15,21
"Chris Owings_ARI",8,NA,5,26,0,NA,7
"Brandon Guyer_CLE",NA,NA,5,2,NA,NA,NA
"Bradley Zimmer_CLE",NA,NA,NA,NA,NA,NA,NA
"Yangervis Solarte_SD",NA,5,19,0,NA,NA,2
"Robinson Chirinos_TEX",NA,NA,0,NA,NA,NA,NA
"Jed Lowrie_OAK",NA,NA,24,0,NA,4,15
"Pat Valaika_COL",NA,NA,NA,NA,NA,NA,NA
"Jarrett Parker_SF",0,NA,NA,0,NA,NA,0
"Manuel Margot_SD",NA,7,13,2,NA,NA,14
"Danny Valencia_SEA",NA,NA,8,0,2,3,5
"Yunel Escobar_LAA",NA,NA,5,4,NA,13,26
"Ben Revere_LAA",NA,NA,NA,NA,NA,NA,NA
"Wilmer Flores_NYM",NA,NA,NA,NA,16,5,0
"Marcell Ozuna_MIA",NA,5,NA,10,NA,15,23
"Brett Nicholas_TEX",NA,NA,NA,NA,NA,NA,NA
"Drew Robinson_TEX",NA,NA,NA,NA,NA,NA,NA
"Jake Smolinski_OAK",NA,NA,NA,NA,NA,NA,NA
"Yan Gomes_CLE",NA,NA,4,NA,NA,3,NA
"Jeremy Hazelbaker_ARI",NA,NA,NA,NA,NA,NA,13
"Tony Wolters_COL",NA,10,2,0,NA,NA,NA
"Nick Hundley_SF",NA,NA,NA,NA,NA,NA,NA
"Alex Dickerson_SD",NA,NA,NA,NA,NA,NA,NA
"Hunter Renfroe_SD",NA,0,3,14,NA,NA,10
"Taylor Motter_SEA",NA,NA,NA,NA,NA,NA,NA
"Andrelton Simmons_LAA",NA,NA,7,12,NA,11,3
"Leonys Martin_SEA",NA,NA,0,12,0,NA,0
"JT Realmuto_MIA",NA,10,NA,23,NA,NA,20
"Martin Prado_MIA",NA,NA,NA,NA,NA,NA,NA
"Chris Herrmann_ARI",NA,NA,NA,NA,10,NA,NA
"Giovanny Urshela_CLE",NA,NA,NA,NA,NA,NA,NA
"Cory Spangenberg_SD",NA,NA,NA,NA,NA,NA,NA
"Mac Williamson_SF",NA,NA,NA,NA,NA,NA,NA
"Danny Espinosa_LAA",NA,NA,18,9,NA,2,5
"Travis d'Arnaud_NYM",NA,NA,NA,3,9,NA,2
"Ryan Rua_TEX",NA,NA,2,NA,NA,NA,0
"Matt Joyce_OAK",NA,NA,0,3,NA,21,4
"Yandy Diaz_CLE",NA,NA,0,10,NA,4,3
"Socrates Brito_ARI",NA,NA,NA,NA,NA,NA,NA
"Kelby Tomlinson_SF",NA,NA,NA,NA,NA,NA,NA
"Jarrod Dyson_SEA",NA,NA,5,8,5,2,2
"Justin Bour_MIA",NA,0,NA,2,NA,9,4
"TJ Rivera_NYM",NA,NA,NA,NA,NA,NA,NA
