"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Actual_fpts"
"SS","Corey Seager",5100,"LAD@Col 03:10PM ET",10,"LAD",8.73,9.4,9.63,8.7,23
"3B","Nolan Arenado",5000,"LAD@Col 03:10PM ET",9.8,"Col",9.84,8.6,8.99,8.7,0
"OF","Charlie Blackmon",5000,"LAD@Col 03:10PM ET",4.6,"Col",9.37,9.5,9.25,9.2,23
"OF","Mike Trout",4900,"Sea@LAA 03:37PM ET",8.333,"LAA",9.02,9.3,11.07,9.4,6
"1B","Adrian Gonzalez",4800,"LAD@Col 03:10PM ET",5.667,"LAD",NA,7.7,7.72,7.2,11
"OF","Carlos Gonzalez",4800,"LAD@Col 03:10PM ET",3.6,"Col",9.49,9.8,8.86,8.6,2
"OF","Joc Pederson",4700,"LAD@Col 03:10PM ET",10.4,"LAD",6.29,0,1.92,2.4,8
"1B","Paul Goldschmidt",4600,"Cle@Ari 04:10PM ET",14.6,"Ari",7.37,7.9,9.35,9.6,8
"2B","Logan Forsythe",4600,"LAD@Col 03:10PM ET",3.5,"LAD",8.84,11.4,9.3,9.8,19
"3B","Justin Turner",4600,"LAD@Col 03:10PM ET",13,"LAD",9.71,9.9,9.56,8.6,16
"SS","Trevor Story",4600,"LAD@Col 03:10PM ET",6.4,"Col",7.88,7.7,8.64,8.3,2
"OF","Yasiel Puig",4600,"LAD@Col 03:10PM ET",13.5,"LAD",8.35,11.8,8.65,8.7,0
"1B","Edwin Encarnacion",4500,"Cle@Ari 04:10PM ET",7,"Cle",8.93,9.7,9.98,8.9,8
"OF","Michael Brantley",4500,"Cle@Ari 04:10PM ET",5,"Cle",6.91,0,9.8,7.8,0
"2B","Jason Kipnis",4400,"Cle@Ari 04:10PM ET",0,"Cle",NA,0,NA,0,0
"1B/3B","Mark Reynolds",4400,"LAD@Col 03:10PM ET",12.6,"Col",7.42,7.1,7.2,6.8,0
"OF","David Dahl",4400,"LAD@Col 03:10PM ET",0,"Col",NA,0,NA,0,0
"1B","Carlos Santana",4300,"Cle@Ari 04:10PM ET",13.75,"Cle",8.23,10.4,9.95,8.3,0
"C","Yasmani Grandal",4300,"LAD@Col 03:10PM ET",6.6,"LAD",7.1,0,1.88,2.5,0
"2B","Chase Utley",4300,"LAD@Col 03:10PM ET",2.8,"LAD",NA,0,1.67,2.2,0
"2B/3B","DJ LeMahieu",4300,"LAD@Col 03:10PM ET",2.8,"Col",8.13,0,1.74,2.4,15
"OF","Franklin Gutierrez",4300,"LAD@Col 03:10PM ET",1.5,"LAD",7.7,7.7,8.81,9.5,7
"OF","Ian Desmond",4300,"LAD@Col 03:10PM ET",0,"Col",NA,0,NA,0,0
"2B","Rougned Odor",4200,"Oak@Tex 03:05PM ET",14.75,"Tex",7.38,7.8,8.3,7.6,2
"OF","Khris Davis",4200,"Oak@Tex 03:05PM ET",12.6,"Oak",8.07,9.5,9.3,8.4,8
"SS","Francisco Lindor",4200,"Cle@Ari 04:10PM ET",16.5,"Cle",8.72,10.2,9.92,8.4,3
"OF","Yoenis Cespedes",4100,"Mia@NYM 08:08PM ET",8,"NYM",8.6,7.5,8.15,8.7,5
"OF","Shin-soo Choo",4100,"Oak@Tex 03:05PM ET",6.5,"Tex",NA,NA,NA,NA,NA
"1B","Stephen Cardullo",4100,"LAD@Col 03:10PM ET",1.5,"Col",NA,0,1.77,2,0
"3B","Adrian Beltre",4000,"Oak@Tex 03:05PM ET",0,"Tex",NA,0,NA,2.5,0
"OF","Rajai Davis",4000,"Oak@Tex 03:05PM ET",3.4,"Oak",6.28,9.7,10.25,9.8,4
"OF","Nomar Mazara",4000,"Oak@Tex 03:05PM ET",19,"Tex",6.36,6.7,8.12,5.7,6
"1B","Cody Bellinger",4000,"LAD@Col 03:10PM ET",2,"LAD",NA,0,NA,0,0
"2B/SS","Chris Taylor",4000,"LAD@Col 03:10PM ET",0,"LAD",NA,0,NA,0,0
"1B/C","Buster Posey",4000,"SF@SD 04:40PM ET",7,"SF",8.31,8.9,8.21,8.1,21
"1B/OF","Wil Myers",4000,"SF@SD 04:40PM ET",9.6,"SD",6.45,7.3,7.65,7,19
"OF","Nelson Cruz",3900,"Sea@LAA 03:37PM ET",3.2,"Sea",7.74,7.7,8.94,7.7,2
"C","Jonathan Lucroy",3900,"Oak@Tex 03:05PM ET",2.667,"Tex",7.35,0,1.92,2.5,0
"3B/OF","Jose Ramirez",3900,"Cle@Ari 04:10PM ET",6.75,"Cle",7.48,9.3,8.72,8,0
"OF","Trayce Thompson",3900,"LAD@Col 03:10PM ET",0,"LAD",NA,0,NA,0,0
"2B","Robinson Cano",3800,"Sea@LAA 03:37PM ET",3.6,"Sea",7.99,7.8,8.54,8.2,27
"2B/SS","Jean Segura",3800,"Sea@LAA 03:37PM ET",9,"Sea",7.28,7.8,8.42,7.9,16
"OF","Giancarlo Stanton",3800,"Mia@NYM 08:08PM ET",5.5,"Mia",6.48,7,7.54,8.6,0
"1B","Mike Napoli",3800,"Oak@Tex 03:05PM ET",3.25,"Tex",7.33,8.7,8.28,7.3,2
"3B","Trevor Plouffe",3800,"Oak@Tex 03:05PM ET",2.6,"Oak",6.24,8.1,7.36,8,3
"OF","Carlos Gomez",3800,"Oak@Tex 03:05PM ET",10,"Tex",7.79,8.7,8.93,7.9,2
"2B/C","Austin Barnes",3800,"LAD@Col 03:10PM ET",2.667,"LAD",NA,8.6,6.71,6.2,18
"OF","Gerardo Parra",3800,"LAD@Col 03:10PM ET",6.4,"Col",8.1,8.3,7.93,7.3,11
"1B","Brandon Belt",3800,"SF@SD 04:40PM ET",16.2,"SF",6.55,7.4,8.48,8,6
"OF","Hunter Pence",3800,"SF@SD 04:40PM ET",7,"SF",7.49,8.5,8.05,8.2,16
"1B","Albert Pujols",3700,"Sea@LAA 03:37PM ET",4.5,"LAA",6.83,7.2,8.15,7.3,21
"3B/SS","Jose Reyes",3700,"Mia@NYM 08:08PM ET",2.25,"NYM",7.1,6.9,7.02,8,0
"1B/3B","Ryon Healy",3700,"Oak@Tex 03:05PM ET",7,"Oak",7.07,8.9,8.86,8.4,0
"3B/SS","Marcus Semien",3700,"Oak@Tex 03:05PM ET",6.4,"Oak",5.63,10.2,9.03,8.3,3
"SS","Elvis Andrus",3700,"Oak@Tex 03:05PM ET",9.75,"Tex",6.03,8.7,8.57,7.2,5
"OF","AJ. Pollock",3700,"Cle@Ari 04:10PM ET",12.4,"Ari",6.75,7.9,NA,9.6,0
"OF","Curtis Granderson",3600,"Mia@NYM 08:08PM ET",4.5,"NYM",5.92,0,7.31,7.7,0
"3B","Jake Lamb",3600,"Cle@Ari 04:10PM ET",11.8,"Ari",7.05,8.1,7.62,9,5
