Rk,ID,Player,Pos,Week,Team,Opp,Pass Yds,TD,Int,Rush Yds,TD,Rec,Yds,TD,Fantasy Points
69,14005,TY Hilton,WR,12,IND,ARI,0,0,0,0,0,6,86,0,14.60
70,11101,Garrett Graham,TE,12,HOU,JAX,0,0,0,0,0,6,85,0,14.50
71,15076,Keenan Allen,WR,12,SD,KC,0,0,0,0,0,6,85,0,14.50
72,7635,Heath Miller,TE,12,PIT,CLE,0,0,0,0,0,8,64,0,14.40
73,204,Roddy White,WR,12,ATL,NO,0,0,0,0,0,7,72,0,14.20
74,11859,Jason Campbell,QB,12,CLE,PIT,224,1,0,11,0,0,0,0,14.06
75,5054,Kellen Clemens,QB,12,LA,CHI,237,1,1,14,0,0,0,0,13.88
76,11463,Brandon LaFell,WR,12,CAR,MIA,0,0,0,0,0,7,67,0,13.70
77,15138,Eddie Lacy,RB,12,GB,MIN,0,0,0,90,0,3,16,0,13.60
78,5571,Larry Fitzgerald,WR,12,ARI,IND,0,0,0,1,0,6,75,0,13.60
79,8438,Brian Leonard,RB,12,TB,DET,0,0,0,35,0,6,41,0,13.60
80,12861,Jordan Cameron,TE,12,CLE,PIT,0,0,0,0,0,7,66,0,13.60
81,11982,Nate Burleson,WR,12,DET,TB,0,0,0,3,0,6,72,0,13.50
82,12774,Stevan Ridley,RB,12,NE,DEN,0,0,0,57,1,1,3,0,13
83,6739,Alex Smith,QB,12,KC,SD,228,0,0,37,0,0,0,0,12.82
84,13124,DeMarco Murray,RB,12,DAL,NYG,0,0,0,69,0,4,19,0,12.80
85,11063,Emmanuel Sanders,WR,12,PIT,CLE,0,0,0,7,0,6,60,0,12.70
86,13406,Rob Housler,TE,12,ARI,IND,0,0,0,0,0,6,65,0,12.50
87,13799,Ryan Tannehill,QB,12,MIA,CAR,215,1,1,8,0,0,0,0,12.40
88,5820,Frank Gore,RB,12,SF,WAS,0,0,0,88,0,2,16,0,12.40
89,13902,Trent Richardson,RB,12,IND,ARI,0,0,0,44,0,4,40,0,12.40
90,12317,Danny Woodhead,RB,12,SD,KC,0,0,0,29,0,5,45,0,12.40
91,8564,Nate Washington,WR,12,TEN,OAK,0,0,0,0,0,5,74,0,12.40
92,7308,Maurice Jones-Drew,RB,12,JAX,HOU,0,0,0,57,0,4,26,0,12.30
93,14111,Rod Streater,WR,12,OAK,TEN,0,0,0,2,0,5,71,0,12.30
94,15019,Ace Sanders,WR,12,JAX,HOU,0,0,0,0,0,6,63,0,12.30
95,3878,John Carlson,TE,12,MIN,GB,0,0,0,0,0,6,62,0,12.20
96,1652,Steven Jackson,RB,12,ATL,NO,0,0,0,45,0,5,26,0,12.10
97,12780,Shane Vereen,RB,12,NE,DEN,0,0,0,38,0,4,42,0,12
98,6828,Chris Johnson,RB,12,TEN,OAK,0,0,0,60,0,3,27,0,11.70
99,9588,Brandon Pettigrew,TE,12,DET,TB,0,0,0,0,0,6,57,0,11.70
100,8355,Julian Edelman,WR,12,NE,DEN,0,0,0,0,0,6,56,0,11.60
101,14405,Chris Givens,WR,12,LA,CHI,0,0,0,5,0,4,69,0,11.40
102,3382,Marcel Reece,FB,12,OAK,TEN,0,0,0,10,0,5,53,0,11.30
103,3330,Miles Austin,WR,12,DAL,NYG,0,0,0,0,0,6,53,0,11.30
104,2640,Fred Davis,TE,12,WAS,SF,0,0,0,0,0,5,62,0,11.20
105,13788,Rishard Matthews,WR,12,MIA,CAR,0,0,0,0,0,5,61,0,11.10
106,14986,DeAndre Hopkins,WR,12,HOU,JAX,0,0,0,0,0,4,69,0,10.90
107,14478,Michael Floyd,WR,12,ARI,IND,0,0,0,0,0,4,68,0,10.80
108,15224,Andre Ellington,RB,12,ARI,IND,0,0,0,59,0,3,17,0,10.60
109,1904,Mario Manningham,WR,12,SF,WAS,0,0,0,0,0,5,54,0,10.40
110,13791,Lamar Miller,RB,12,MIA,CAR,0,0,0,56,0,3,17,0,10.30
111,11697,Santonio Holmes,WR,12,NYJ,BAL,0,0,0,0,0,3,73,0,10.30
112,5084,Vernon Davis,TE,12,SF,WAS,0,0,0,0,0,4,63,0,10.30
113,11220,Dexter McCluster,RB,12,KC,SD,0,0,0,2,0,5,51,0,10.30
114,13299,Jacquizz Rodgers,RB,12,ATL,NO,0,0,0,23,0,5,29,0,10.20
115,13463,Kris Durham,WR,12,DET,TB,0,0,0,0,0,5,52,0,10.20
116,6768,Lance Moore,WR,12,NO,ATL,0,0,0,0,0,5,52,0,10.20
117,7175,Delanie Walker,TE,12,TEN,OAK,0,0,0,0,0,5,52,0,10.20
118,6302,James Jones,WR,12,GB,MIN,0,0,0,0,0,3,71,0,10.10
119,2730,Donnie Avery,WR,12,KC,SD,0,0,0,1,0,4,60,0,10.10
120,14886,Aaron Dobson,WR,12,NE,DEN,0,0,0,0,0,4,61,0,10.10
121,1181,Martellus Bennett,TE,12,CHI,LA,0,0,0,0,0,5,51,0,10.10
122,12751,Charles Clay,TE,12,MIA,CAR,0,0,0,3,0,5,48,0,10.10
123,11400,Andrew Quarless,TE,12,GB,MIN,0,0,0,0,0,6,41,0,10.10
124,10946,David Nelson,WR,12,NYJ,BAL,0,0,0,0,0,4,56,0,9.60
125,8778,Brandon Myers,TE,12,NYG,DAL,0,0,0,0,0,4,54,0,9.40
126,3061,Marcedes Lewis,TE,12,JAX,HOU,0,0,0,0,0,4,52,0,9.20
127,8534,Jared Cook,TE,12,LA,CHI,0,0,0,0,0,4,52,0,9.20
128,15150,Cordarrelle Patterson,WR,12,MIN,GB,0,0,0,0,0,5,42,0,9.20
129,13078,Vincent Brown,WR,12,SD,KC,0,0,0,0,0,4,51,0,9.10
130,1658,Greg Olsen,TE,12,CAR,MIA,0,0,0,0,0,4,50,0,9
131,13270,Christian Ponder,QB,12,MIN,GB,183,0,1,25,0,0,0,0,8.82
132,11256,Ryan Mathews,RB,12,SD,KC,0,0,0,72,0,1,3,0,8.50
