"Elvis Andrus_TEX","Adrian Beltre_TEX","Carlos Gomez_TEX","Jose Abreu_CWS","Miguel Sano_MIN","Eddie Rosario_MIN","Shin-Soo Choo_TEX","Delino DeShields_TEX","Joe Mauer_MIN","Brian Dozier_MIN","Nomar Mazara_TEX","Salvador Perez_KC","Daniel Palka_MIN","Mike Napoli_TEX","Robinson Chirinos_TEX","Melky Cabrera_CWS","Todd Frazier_CWS","Mike Moustakas_KC","Eric Hosmer_KC","Jorge Bonifacio_KC","Joey Gallo_TEX","Yoan Moncada_CWS","Lorenzo Cain_KC","Eduardo Escobar_MIN","Whit Merrifield_KC","Max Kepler_MIN","Tyler Saladino_CWS","Robbie Grossman_MIN","Jorge Polanco_MIN","Jonathan Lucroy_TEX","Alen Hanson_CWS","Jurickson Profar_TEX","Yolmer Sanchez_CWS","Rougned Odor_TEX","Adam Engel_CWS","Alcides Escobar_KC","Jason Castro_MIN","Avisail Garcia_CWS","Chris Gimenez_MIN","Kennys Vargas_MIN","Jorge Soler_KC","Pete Kozma_TEX","Brett Nicholas_TEX","Jared Hoying_TEX","Charlie Tilson_CWS","Tim Anderson_CWS","Alex Gordon_KC","Paulo Orlando_KC","Cheslor Cuthbert_KC","Matt Davidson_CWS","Ryan Rua_TEX","Andy Ibanez_TEX","Billy Burns_KC","Ryan O'Hearn_KC","Brandon Moss_KC","Terrance Gore_KC","Leury Garcia_CWS","Jacob May_CWS","Hanser Alberto_TEX","Ronald Guzman_TEX","Drew Stubbs_TEX","Cody Asche_CWS","Willy Garcia_CWS","Kevan Smith_CWS","Drew Butera_KC","Ehire Adrianza_MIN","Geovany Soto_CWS","Raul Mondesi_KC","Byron Buxton_MIN","Drew Robinson_TEX","Omar Narvaez_CWS","Ramon Torres_KC","Hunter Dozier_KC","Grant Green_CWS","Zack Collins_CWS"
73,24,46,0,0,0,65,45,0,0,63,0,0,57,27,0,0,0,0,0,65,0,0,0,0,0,0,0,0,53,0,13,0,73,0,0,0,0,0,0,0,6,0,13,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,25,11,0,0,0,24,14,0,0,21,0,0,15,12,0,0,0,0,0,19,0,0,0,0,0,0,0,0,18,0,2,0,25,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,11,47,0,0,0,41,24,0,0,40,0,0,43,17,0,0,0,0,0,41,0,0,0,0,0,0,0,0,32,0,12,0,47,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,63,57,0,0,0,0,0,0,0,0,0,25,0,0,0,7,0,33,0,13,0,0,62,0,0,0,0,0,0,0,57,0,0,0,48,0,0,0,0,0,0,42,8,0,0,0,13,18,27,0,0,9,0,0,0,33,0,0,0,0
0,0,0,0,58,47,0,0,49,55,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,49,0,43,45,0,0,0,0,0,0,0,39,0,20,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,52,0,0,0,0,0,0
0,0,0,0,47,53,0,0,44,50,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,44,0,35,44,0,0,0,0,0,0,0,37,0,18,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,45,0,0,0,0,0,0
65,24,41,0,0,0,67,39,0,0,57,0,0,50,25,0,0,0,0,0,60,0,0,0,0,0,0,0,0,47,0,15,0,67,0,0,0,0,0,0,0,5,0,14,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,14,24,0,0,0,39,47,0,0,37,0,0,35,18,0,0,0,0,0,39,0,0,0,0,0,0,0,0,35,0,4,0,47,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,49,44,0,0,56,53,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,51,0,39,43,0,0,0,0,0,0,0,42,0,15,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,48,0,0,0,0,0,0
0,0,0,0,55,50,0,0,53,62,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,53,0,46,47,0,0,0,0,0,0,0,44,0,20,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,53,0,0,0,0,0,0
