"Likes","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","S.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Opp.Rank","Opp.Pos.Rank","Wk.Lag1.Fpts","Wk.Lag2.Fpts","Wk.Lag3.Fpts","Wk.Lag4.Fpts","Wk.Lag5.Fpts","Wk.Lag6.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Value"
8,5000,25.8,0.08,-0.14,0.1,0,0,0,10,8.5,0.8,7.5,13,13.8,6.9,20.6,18.4,29,32,10.9,13.3,14.8,23.5,4,10.5,53,87,3,0.247159090909091,1,1,1,0
2,5000,26,-0.15,0.06,-0.06,0,0,0,5.5,5.5,0.5,5.7,6.2,6.2,3.1,9.2,9.6,15,9,0,0,0,0,0,0,6,10,0,0.033112582781457,9,9,7,0
1,4900,24,-0.16,0.05,-0.22,0.1,0,-1,5,6.6,0.8,8.7,8.1,12.4,2.9,21.8,9.1,8,3,0,0,1.5,13.4,9.4,3.7,39,61,3,0.163538873994638,2,3,4,0
5,4800,23.8,0.04,-0.21,0.06,0,0,0,7,6.9,0.8,7.5,10.5,10.6,4.3,17,12.7,11,16,15.1,0,0,7.8,8.5,9.5,34,68,2,0.171284634760705,4,3,3,1
1,4800,18.3,-0.2,0.16,-0.38,1,0.1,6.5,7.7,4.6,0.7,8.2,12.1,10.4,3.9,16.9,12.3,2,1,10.1,20.1,6.2,21.5,13.1,4,36,45,4,0.125,2,4,1,1
3,4700,17.5,0.09,-0.14,0.21,0.1,0.1,6,2.7,5.6,0.6,9.6,8.1,11.6,0.9,22.3,10.7,19,21,8.9,12,0,3.4,2.2,25.3,34,52,2,0.145658263305322,3,3,2,0
16,4700,25.8,-0.01,0.68,0.11,0,0,0,7.3,6.4,0.6,8.4,14.3,11.6,4.1,19.2,11.8,32,30,21.9,18.3,2.8,0,5,7.8,39,58,2,0.192691029900332,2,2,2,0
1,4700,28.5,0.04,-0.2,0.06,0.1,0,2,3,3.3,0.2,13,7.5,8,0.2,15.9,6.3,18,19,0,0,0,19.1,3.5,4.9,19,35,2,0.101744186046512,5,5,5,0
0,4700,21.3,-0.07,-0.01,-0.02,3.1,0.7,5.2,3,3.8,0.9,7.1,7.8,7.3,-1.6,16.1,7.4,6,19,7.4,4,12.1,0,22.6,19.4,30,36,1,0.0837209302325581,4,5,5,0
4,4600,19.3,-0.1,-0.29,0.06,0.1,0,-2,4.3,5.5,0.9,7.6,3.6,9.9,2.1,17.6,11.5,5,29,7.2,1.9,0,1.6,18.3,9.3,33,57,4,0.155313351498638,3,2,1,0
