"Likes","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","S.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Opp.Rank","Opp.Pos.Rank","Wk.Lag1.Fpts","Wk.Lag2.Fpts","Wk.Lag3.Fpts","Wk.Lag4.Fpts","Wk.Lag5.Fpts","Wk.Lag6.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Value"
0,5000,21.5,-0.17,0.05,-0.1,0,0,0,7.3,9,0.5,6,10.7,12.1,5.7,18.5,13.1,10,5,5.3,14.8,12,10.8,9.8,0,60,123,4,0.265086206896552,1,1,1,0
7,4900,32.5,-0.01,0.59,0.08,0.1,0.1,5,4.3,5.8,0.9,7.4,7.7,10,2.9,17.2,14.1,32,31,0,4.6,15,0,3.4,12.4,51,75,3,0.165562913907285,2,2,3,0
7,4800,23,-0.01,-0.06,0.09,0.4,0,6.2,6.3,7.8,0.7,8.9,10.2,14.4,8.3,20.5,11.5,12,30,10.2,11.9,8.6,12.5,9.9,25.4,63,103,4,0.187272727272727,2,1,1,0
10,4800,22.8,-0.09,0,0.06,3.7,0.6,5.2,3,3.6,0.8,7.3,9.5,7.8,-0.4,16.1,11.6,11,24,17.6,7.6,3.4,7.4,4,12.1,37,45,1,0.0860420650095602,4,4,5,1
8,4800,24.8,0.07,0.07,-0.01,0.1,0,11,8.3,5.8,0.5,10.1,15,12,5.4,18.5,13.4,29,14,17.1,14.6,13.3,17.5,12.2,10.8,57,76,3,0.16135881104034,3,3,2,0
3,4700,24.5,0.14,-0.19,0.2,0.1,0,-1,4.7,6.6,0.7,6.6,5.3,9.1,3.6,14.6,12.2,23,32,2.6,0,0,0,0,0,31,58,2,0.12719298245614,4,4,3,0
3,4700,23.3,-0.22,0.18,-0.37,0,0,0,7.3,4.2,0.9,8.5,17.2,8.8,0.7,16.9,10.8,1,1,14.1,16.2,21.2,19.8,2.3,0,29,44,4,0.0912863070539419,5,5,2,0
1,4700,21.3,0.04,-0.16,-0.1,0.1,0,-2,7.3,5.9,1.1,7.5,10.8,10.1,2.5,17.6,11.2,9,3,5.2,20.5,6.8,7.2,1.9,0,44,81,5,0.170526315789474,4,2,1,0
3,4700,28.8,0.13,-0.16,0.09,0,0,0,6.3,7,0.9,8.5,13.3,12.5,6.6,18.4,13.9,28,27,16.9,14.8,8.3,26.6,14.1,0,65,95,3,0.18664047151277,1,1,4,0
0,4700,19.3,0.06,-0.14,-0.05,0.1,0,3,6,6.8,0.8,9.7,7.5,13,2.4,23.6,11.9,7,7,10.7,0,9.4,2.5,0,1.5,46,95,4,0.198329853862213,4,2,3,0
1,4700,21,0.03,-0.05,0.06,0,0,0,4.3,5.9,0.7,8.4,8.4,10.8,3.9,17.7,11.2,24,17,3.4,12.4,9.4,21.9,18.3,2.8,47,70,4,0.178117048346056,2,2,2,0
3,4600,18.5,0.02,0.15,0.16,0,0,0,7.7,5.8,0.6,9.1,14.4,12.6,6,19.2,11.9,15,28,3.6,0,15.4,24.2,15.3,24.3,51,78,8,0.1875,2,2,1,0
2,4600,21.3,0.04,-0.16,-0.1,0.2,0,14.3,7,5.5,0.6,7.4,12.2,8.5,3.3,13.6,11.3,9,3,14.9,10.6,11.2,17.4,3.2,0,49,72,1,0.151578947368421,2,3,4,0
0,4600,12.3,-0.04,-0.08,0.03,0,0,0,9.3,7.6,0.8,9.5,15.4,14.7,7.4,22.1,11.7,5,20,15.2,14.7,16.2,9.3,20.9,14.9,64,102,5,0.226666666666667,1,1,1,0
0,4600,22.8,-0.09,0,0.06,0.8,0.2,3.3,4.3,6.9,1.1,7.3,9.1,12.6,5.5,19.8,11.1,11,24,6.3,10.9,10.1,11.4,7.1,9.4,62,88,5,0.168260038240918,3,3,3,0
1,4600,23.3,0.02,-0.09,-0.02,0.1,0,22,4,6.5,0.6,6.4,7.1,11.2,5.1,17.3,12.4,18,8,6.9,12.1,2.2,16,15.2,14,54,86,6,0.173387096774194,2,2,2,0
2,4500,21.8,0.07,0.05,-0.01,0.9,0.1,6.2,6.7,5.5,0.2,8.3,16.7,9.9,2.9,16.9,9.3,25,13,4.6,19.6,25.8,14.9,9.5,9,44,72,4,0.156862745098039,3,3,2,0
0,4500,19.3,0.06,-0.14,-0.05,0,0,0,7,6,1.3,6.2,13.9,11.2,6,16.3,12.4,7,7,13.9,8,19.9,9.7,0,9,58,83,8,0.173277661795407,2,3,1,0
7,4400,18,-0.13,-0.02,-0.1,0,0,0,5.7,9.1,1.2,5.4,4.4,12.5,3.8,21.1,12.2,6,6,2.7,6.1,4.4,10.8,30.7,20.6,57,125,6,0.234082397003745,1,1,1,0
