"Nelson Cruz_Sea","Robinson Cano_Sea","Jean Segura_Sea","Rougned Odor_Tex","Giancarlo Stanton_Mia","Shin-Soo Choo_Tex","Kyle Seager_Sea","Adrian Beltre_Tex","Khris Davis_Oak","Jonathan Lucroy_Tex","Christian Yelich_Mia","Mike Napoli_Tex","Rajai Davis_Oak","Carlos Gomez_Tex","Dee Gordon_Mia","Elvis Andrus_Tex","Trevor Plouffe_Oak","Nomar Mazara_Tex","Mitch Haniger_Sea","Ryon Healy_Oak","Joey Gallo_Tex","Marcus Semien_Oak","Delino DeShields_Tex","Danny Valencia_Sea","Stephen Vogt_Oak","Yonder Alonso_Oak","Taylor Motter_Sea","Leonys Martin_Sea","Marcell Ozuna_Mia","Jurickson Profar_Tex","JT Realmuto_Mia","Josh Phegley_Oak","Mark Canha_Oak","Martin Prado_Mia","Jarrod Dyson_Sea","Robinson Chirinos_Tex","Mike Zunino_Sea","Ben Gamel_Sea","Brett Nicholas_Tex","Jed Lowrie_Oak","Justin Bour_Mia","Ryan Rua_Tex","Jake Smolinski_Oak","Derek Dietrich_Mia","Guillermo Heredia_Sea","Shawn O'Malley_Sea","Hanser Alberto_Tex","Matt Joyce_Oak","Carlos Ruiz_Sea","Destin Hood_Mia","Adam Rosales_Oak","Tyler Moore_Mia","Ichiro Suzuki_Mia","Adeiny Hechavarria_Mia","AJ Ellis_Mia","Chad Pinder_Oak","Drew Robinson_Tex","Jaff Decker_Oak","Mike Freeman_Sea","JT Riddle_Mia","Miguel Rojas_Mia"
13,13,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,12,0,0,7,10,0,0,0,0,0,0,12,0,9,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
13,13,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,12,0,0,7,10,0,0,0,0,0,0,12,0,9,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
6,6,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,12,0,11,0,0,0,10,0,12,0,12,0,12,0,12,0,0,12,0,2,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,11,0,0,0,0,0,11,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,8,0,0,0,0,0,0,0,0,0,10,0,0,9,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,3,6
0,0,0,11,0,11,0,0,0,9,0,11,0,11,0,11,0,11,0,0,11,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,12,0,0,7,10,0,0,0,0,0,0,12,0,9,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,11,0,0,0,9,0,0,0,10,0,0,9,0,8,0,0,10,9,0,0,0,0,0,0,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,9,0,0,5,0,0,0,0,0,0,0,0,0,0
0,0,0,10,0,9,0,0,0,10,0,10,0,10,0,10,0,10,0,0,10,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
