"Nelson Cruz_SEA","Robinson Cano_SEA","Jean Segura_SEA","Rougned Odor_TEX","Giancarlo Stanton_MIA","Shin-Soo Choo_TEX","Kyle Seager_SEA","Adrian Beltre_TEX","Khris Davis_OAK","Jonathan Lucroy_TEX","Christian Yelich_MIA","Mike Napoli_TEX","Rajai Davis_OAK","Carlos Gomez_TEX","Dee Gordon_MIA","Elvis Andrus_TEX","Trevor Plouffe_OAK","Nomar Mazara_TEX","Mitch Haniger_SEA","Ryon Healy_OAK","Joey Gallo_TEX","Marcus Semien_OAK","Delino DeShields_TEX","Danny Valencia_SEA","Stephen Vogt_OAK","Yonder Alonso_OAK","Taylor Motter_SEA","Leonys Martin_SEA","Marcell Ozuna_MIA","Jurickson Profar_TEX","JT Realmuto_MIA","Josh Phegley_OAK","Mark Canha_OAK","Martin Prado_MIA","Jarrod Dyson_SEA","Robinson Chirinos_TEX","Mike Zunino_SEA","Ben Gamel_SEA","Brett Nicholas_TEX","Jed Lowrie_OAK","Justin Bour_MIA","Ryan Rua_TEX","Jake Smolinski_OAK","Derek Dietrich_MIA","Guillermo Heredia_SEA","Shawn O'Malley_SEA","Hanser Alberto_TEX","Matt Joyce_OAK","Carlos Ruiz_SEA","Destin Hood_MIA","Adam Rosales_OAK","Tyler Moore_MIA","Ichiro Suzuki_MIA","Adeiny Hechavarria_MIA","AJ Ellis_MIA","Chad Pinder_OAK","Drew Robinson_TEX","Jaff Decker_OAK","Mike Freeman_SEA","JT Riddle_MIA","Miguel Rojas_MIA"
30.8791208791209,3.20879120879121,-11.4285714285714,0,0,0,7.85714285714286,0,0,0,0,0,0,0,0,0,0,0,-7.54945054945055,0,0,0,0,-0.147435897435897,0,0,1.07142857142857,21.1363636363636,0,0,0,0,0,0,15.9090909090909,0,-2.80555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.20879120879121,64.2197802197802,4.16666666666667,0,0,0,-8.49450549450549,0,0,0,0,0,0,0,0,0,0,0,-1.89010989010989,0,0,0,0,-5.37179487179487,0,0,7.21428571428571,3.71818181818182,0,0,0,0,0,0,15.2727272727273,0,-5.45833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-11.4285714285714,4.16666666666667,57.2380952380952,0,0,0,-3.23809523809524,0,0,0,0,0,0,0,0,0,0,0,23.1190476190476,0,0,0,0,-11.6190476190476,0,0,0,8.43333333333333,0,0,0,0,0,0,-2.33333333333333,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,32.4102564102564,0,14.4181818181818,0,0,0,3.06666666666667,0,7.95512820512821,0,25.6153846153846,0,2.69871794871795,0,32.1923076923077,0,0,-3.03205128205128,0,0,0,0,0,0,0,0,-2.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,93.4772727272727,0,0,0,0,0,-17.7045454545455,0,0,0,-12.9090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,-8,0,0,0,0,0,0,0,0,0,5.6,0,0,-6.93333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.0238095238095
0,0,0,14.4181818181818,0,70.2909090909091,0,0,0,21.8611111111111,0,-9.13636363636364,0,9.65454545454545,0,-18.1909090909091,0,52.6727272727273,0,0,-12.1,0,0,0,0,0,0,0,0,11.5238095238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.85714285714286,-8.49450549450549,-3.23809523809524,0,0,0,10.5549450549451,0,0,0,0,0,0,0,0,0,0,0,4.90659340659341,0,0,0,0,3.34615384615385,0,0,10.2857142857143,2.64545454545455,0,0,0,0,0,0,4.68181818181818,0,4.13888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,49.2424242424242,0,0,0,-16.7777777777778,0,0,0,23.8909090909091,0,0,-19.2666666666667,0,-2.16666666666667,0,0,15.5333333333333,16.0277777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.8181818181818,0,0,0,0,0,0,0,18.4027777777778,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3.06666666666667,0,21.8611111111111,0,0,0,56.4555555555556,0,10.3,0,-16.7777777777778,0,26.7444444444444,0,3.33333333333333,0,0,-0.555555555555556,0,0,0,0,0,0,0,0,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
