"","2017-04-02","2017-04-03","2017-04-04","2017-04-05","2017-04-06","2017-04-07","2017-04-08","2017-04-09","2017-04-10","2017-04-11"
"Wil Myers_SD",NA,2,10,8,NA,NA,0,19,34,10
"Nolan Arenado_COL",NA,12,11,3,NA,NA,19,0,6,14
"Carlos Gonzalez_COL",NA,0,7,0,NA,NA,NA,2,3,14
"Charlie Blackmon_COL",NA,7,10,4,NA,NA,11,23,3,16
"Mark Reynolds_COL",NA,27,12,10,NA,NA,19,0,18,2
"Bryce Harper_WAS",NA,16,NA,14,NA,NA,5,0,26,15
"Edwin Encarnacion_CLE",NA,NA,2,2,NA,5,0,8,NA,NA
"Michael Brantley_CLE",NA,NA,8,NA,NA,7,5,NA,NA,NA
"David Dahl_COL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlos Santana_CLE",NA,NA,21,11,NA,7,7,0,NA,NA
"Francisco Lindor_CLE",NA,NA,2,46,NA,14,10,3,NA,NA
"Austin Jackson_CLE",NA,NA,10,0,NA,NA,NA,5,NA,NA
"Yangervis Solarte_SD",NA,5,19,0,NA,NA,2,20,2,2
"DJ LeMahieu_COL",NA,0,5,4,NA,NA,0,NA,21,0
"Miguel Cabrera_DET",NA,NA,NA,NA,NA,NA,2,6,0,NA
"Jose Abreu_CWS",NA,NA,NA,NA,NA,5,0,5,NA,NA
"Todd Frazier_CWS",NA,NA,NA,NA,NA,0,14,4,NA,NA
"Jason Kipnis_CLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cody Asche_CWS",NA,NA,NA,NA,NA,0,NA,3,NA,NA
"Jacob May_CWS",NA,NA,NA,NA,NA,NA,2,0,NA,NA
"Trevor Story_COL",NA,7,18,7,NA,NA,5,2,2,NA
"Ryan Schimpf_SD",NA,17,5,0,NA,NA,NA,4,4,2
"Ian Desmond_COL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Manuel Margot_SD",NA,7,13,2,NA,NA,14,3,10,19
"Trea Turner_WAS",NA,10,NA,0,NA,NA,8,NA,NA,NA
"Alex Dickerson_SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hunter Renfroe_SD",NA,0,3,14,NA,NA,10,0,19,0
"Daniel Murphy_WAS",NA,8,NA,10,NA,NA,17,3,3,37
"Jose Ramirez_CLE",NA,NA,2,7,NA,0,NA,NA,NA,NA
"Melky Cabrera_CWS",NA,NA,NA,NA,NA,6,2,4,NA,NA
"Evan Longoria_TB",21,NA,7,2,7,20,5,0,5,NA
"Hector Sanchez_SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cory Spangenberg_SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JD Martinez_DET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gary Sanchez_NYY",0,NA,0,3,NA,21,0,NA,NA,NA
"Ian Kinsler_DET",NA,NA,NA,NA,NA,NA,5,14,16,NA
"Erick Aybar_SD",NA,NA,15,2,NA,NA,NA,3,0,3
"Allen Cordoba_SD",NA,NA,NA,NA,NA,NA,5,NA,NA,NA
"Gerardo Parra_COL",NA,8,19,5,NA,NA,17,11,5,0
"Jabari Blash_SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brian Dozier_MIN",NA,7,NA,NA,NA,2,8,5,NA,NA
"Geovany Soto_CWS",NA,NA,NA,NA,NA,2,14,NA,NA,NA
"Michael Martinez_CLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tim Anderson_CWS",NA,NA,NA,NA,NA,10,3,3,NA,NA
"Stephen Cardullo_COL",NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Travis Jankowski_SD",NA,5,4,2,NA,NA,NA,6,0,3
"Adam Eaton_WAS",NA,16,NA,11,NA,NA,2,5,23,5
"Justin Upton_DET",NA,NA,NA,NA,NA,NA,0,5,NA,NA
"Chris Carter_NYY",NA,NA,NA,NA,NA,NA,0,7,12,NA
"Pete Kozma_NYY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mallex Smith_TB",3,NA,NA,10,0,NA,26,0,0,NA
"Luis Torrens_SD",NA,NA,NA,NA,NA,NA,NA,NA,2,NA
"Dexter Fowler_STL",7,NA,3,NA,NA,2,11,0,9,7
"Brad Miller_TB",8,NA,0,0,7,11,11,6,0,NA
"Matt Carpenter_STL",5,NA,0,NA,NA,2,4,5,8,NA
"Anthony Rendon_WAS",NA,NA,NA,0,NA,NA,6,0,2,NA
"Tyler Saladino_CWS",NA,NA,NA,NA,NA,3,16,NA,NA,NA
"Tyler Naquin_CLE",NA,NA,NA,NA,NA,12,0,NA,NA,NA
"Matt Holliday_NYY",0,NA,9,3,NA,25,6,10,12,NA
"Steven Souza_TB",2,NA,6,5,13,13,10,24,0,NA
"Avisail Garcia_CWS",NA,NA,NA,NA,NA,5,31,7,NA,NA
"Wilson Ramos_TB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brett Gardner_NYY",3,NA,9,5,NA,27,10,2,17,NA
"Kevin Kiermaier_TB",21,NA,3,3,2,12,2,16,0,NA
"Dustin Garneau_COL",NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Christian Bethancourt_SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austin Hedges_SD",NA,0,0,2,NA,NA,2,2,NA,0
"Aledmys Diaz_STL",18,NA,0,NA,NA,0,37,3,0,17
"Stephen Piscotty_STL",9,NA,4,NA,NA,2,NA,NA,10,0
"Nicholas Castellanos_DET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miguel Sano_MIN",NA,20,NA,NA,NA,7,2,21,NA,NA
"Lonnie Chisenhall_CLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abraham Almonte_CLE",NA,NA,NA,4,NA,NA,NA,NA,NA,NA
"Colby Rasmus_TB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jacoby Ellsbury_NYY",2,NA,10,20,NA,3,5,NA,7,NA
"Corey Dickerson_TB",5,NA,NA,19,8,NA,7,16,0,NA
"Aaron Judge_NYY",7,NA,5,0,NA,2,NA,23,17,NA
"Tom Murphy_COL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jayson Werth_WAS",NA,0,NA,6,NA,NA,10,6,12,14
"Victor Martinez_DET",NA,NA,NA,NA,NA,NA,2,8,3,NA
"Brandon Guyer_CLE",NA,NA,5,2,NA,NA,NA,0,NA,NA
"Bradley Zimmer_CLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Logan Morrison_TB",24,NA,NA,8,5,NA,0,0,14,NA
"Matt Duffy_TB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Michael Taylor_WAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Matt Davidson_CWS",NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"Charlie Tilson_CWS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Starlin Castro_NYY",11,NA,0,0,NA,6,8,7,16,NA
"Didi Gregorius_NYY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luis Sardinas_SD",NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"Ryan Zimmerman_WAS",NA,6,NA,18,NA,NA,2,NA,22,3
"Randal Grichuk_STL",23,NA,0,NA,NA,0,3,5,0,14
"Joe Mauer_MIN",NA,6,NA,NA,NA,NA,5,5,NA,NA
"Max Kepler_MIN",NA,5,NA,NA,NA,0,3,0,NA,NA
"Greg Bird_NYY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pat Valaika_COL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kennys Vargas_MIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Robbie Grossman_MIN",NA,8,NA,NA,NA,12,NA,10,NA,NA
"Yan Gomes_CLE",NA,NA,4,NA,NA,3,NA,6,NA,NA
"Tony Wolters_COL",NA,10,2,0,NA,NA,NA,14,0,5
"Matt Wieters_WAS",NA,5,NA,17,NA,NA,0,NA,14,21
"Adam Lind_WAS",NA,NA,NA,NA,NA,NA,NA,10,NA,NA
"Jedd Gyorko_STL",0,NA,NA,NA,NA,NA,18,0,NA,3
"Eddie Rosario_MIN",NA,3,NA,NA,NA,0,5,0,NA,NA
"Byron Buxton_MIN",NA,0,NA,NA,NA,0,5,0,NA,NA
"Giovanny Urshela_CLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jake Bauers_TB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tim Beckham_TB",7,NA,3,0,0,7,0,NA,0,NA
"Chase Headley_NYY",13,NA,24,10,NA,0,6,4,21,NA
"Yadier Molina_STL",10,NA,3,NA,NA,0,9,3,10,4
"Jorge Polanco_MIN",NA,12,NA,NA,NA,0,7,17,NA,NA
"Leury Garcia_CWS",NA,NA,NA,NA,NA,5,NA,NA,NA,NA
"Yandy Diaz_CLE",NA,NA,0,10,NA,4,3,5,NA,NA
"Cristhian Adames_COL",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Alex Avila_DET",NA,NA,NA,NA,NA,NA,NA,7,NA,NA
"Aaron Hicks_NYY",NA,NA,NA,NA,NA,NA,11,3,NA,NA
"Alexi Amarista_COL",NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"Matt Adams_STL",NA,NA,NA,NA,NA,NA,6,3,NA,NA
"Jhonny Peralta_STL",3,NA,3,NA,NA,0,NA,0,5,0
