"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts","RankTargets","RollingTargetPctg","FreqInd","ValueWR","TierRank"
"RB","Le'Veon Bell",9800,"PIT@CLE 01:00PM ET",26.293,"PIT","CLE",0,26.293,0,0,0,0,0,0
"RB","David Johnson",9400,"ARI@DET 01:00PM ET",26.613,"ARI","DET",0,26.613,0,0,0,0,0,0
"WR","Antonio Brown",8800,"PIT@CLE 01:00PM ET",21.456,"PIT","CLE",0,21.456,0,0,0,0,0,0
"WR","Julio Jones",8500,"ATL@CHI 01:00PM ET",20.094,"ATL","CHI",0,20.094,0,0,0,0,0,0
"WR","Odell Beckham",8300,"NYG@DAL 08:30PM ET",18.612,"NYG","DAL",0,18.612,0,0,0,0,0,0
"RB","LeSean McCoy",8200,"NYJ@BUF 01:00PM ET",21.287,"BUF","NYJ",0,21.287,0,0,0,0,0,0
"RB","Ezekiel Elliott",8100,"NYG@DAL 08:30PM ET",22.731,"DAL","NYG",0,22.731,0,0,0,0,0,0
"WR","AJ Green",8000,"BAL@CIN 01:00PM ET",19.84,"CIN","BAL",0,19.84,0,0,0,0,0,0
"WR","Mike Evans",7800,"TB@MIA 01:00PM ET",19.756,"TB","MIA",0,19.756,0,0,0,0,0,0
"WR","Jordy Nelson",7600,"SEA@GB 04:25PM ET",18.983,"GB","SEA",0,18.983,0,0,0,0,0,0
"WR","Dez Bryant",7500,"NYG@DAL 08:30PM ET",16.229,"DAL","NYG",0,16.229,0,0,0,0,0,0
"RB","DeMarco Murray",7400,"OAK@TEN 01:00PM ET",19.363,"TEN","OAK",0,19.363,0,0,0,0,0,0
"QB","Ben Roethlisberger",7300,"PIT@CLE 01:00PM ET",18.98,"PIT","CLE",0,18.98,0,0,0,0,0,0
"WR","Amari Cooper",7200,"OAK@TEN 01:00PM ET",14.547,"OAK","TEN",0,14.547,0,0,0,0,0,0
"QB","Cam Newton",7100,"CAR@SF 04:25PM ET",18.617,"CAR","SF",0,18.617,0,0,0,0,0,0
"RB","Devonta Freeman",7000,"ATL@CHI 01:00PM ET",18.444,"ATL","CHI",0,18.444,0,0,0,0,0,0
"QB","Aaron Rodgers",7000,"SEA@GB 04:25PM ET",26.073,"GB","SEA",0,26.073,0,0,0,0,0,0
"QB","Matt Ryan",6900,"ATL@CHI 01:00PM ET",24.759,"ATL","CHI",0,24.759,0,0,0,0,0,0
"WR","TY Hilton",6900,"IND@LAR 04:05PM ET",18.238,"IND","LAR",0,18.238,0,0,0,0,0,0
