"Corey Seager_LAD","Kurt Suzuki_ATL","Joc Pederson_LAD","Cody Bellinger_LAD","Tommy Pham_STL","Travis Shaw_MIL","Kike Hernandez_LAD","Chris Taylor_LAD","Dexter Fowler_STL","Freddie Freeman_ATL","Yasiel Puig_LAD","Domingo Santana_MIL","Justin Turner_LAD","Austin Barnes_LAD","Matt Carpenter_STL","Stephen Piscotty_STL","Aledmys Diaz_STL","Brandon Phillips_ATL","Ryan Braun_MIL","Paul DeJong_STL","Adrian Gonzalez_LAD","Chase Utley_LAD","Matt Kemp_ATL","Yasmani Grandal_LAD","Eric Thames_MIL","Matt Adams_ATL","Keon Broxton_MIL","Manny Pina_MIL","Franklin Gutierrez_LAD","Peter O'Brien_LAD","Jonathan Villar_MIL","Tyler Flowers_ATL","Ender Inciarte_ATL","Yadier Molina_STL","Randal Grichuk_STL","Hernan Perez_MIL","Jedd Gyorko_STL","Jose Martinez_STL","Jesus Aguilar_MIL","Nick Markakis_ATL","Trayce Thompson_LAD","Danny Santana_ATL","Adonis Garcia_ATL","Stephen Vogt_MIL","Orlando Arcia_MIL","Andrew Toles_LAD","Johan Camargo_ATL","Dansby Swanson_ATL","Willie Calhoun_LAD","Rob Segedin_LAD","Alex Verdugo_LAD","Kolten Wong_STL","Jace Peterson_ATL","Michael Reed_MIL","Harrison Bader_STL","Andre Ethier_LAD","Eric Sogard_MIL","Kirk Nieuwenhuis_MIL","Andrew Susac_MIL","Lewis Brinson_MIL","Logan Forsythe_LAD","Micah Johnson_ATL","Greg Garcia_STL","Magneuris Sierra_STL","Jacob Nottingham_MIL","Rio Ruiz_ATL","Travis Demeritte_ATL","Carson Kelly_STL","Brett Phillips_MIL","Corey Ray_MIL","Eric Fryer_STL","Mike Freeman_LAD","Luke Voit_STL","Yadiel Rivera_MIL","Jett Bandy_MIL","Ryan Cordell_MIL","Sean Rodriguez_ATL","Kyle Farmer_LAD","Ronald Acuna_ATL","Brett Eibner_LAD","Alex Mejia_STL","Lane Adams_ATL"
88,0,46,69,0,0,0,61,0,0,75,0,62,22,0,0,0,0,0,0,38,49,0,67,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
0,39,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,33,0,0,0,0,33,0,0,20,0,0,0,0,0,2,39,0,0,0,0,0,0,39,0,5,14,0,0,0,16,31,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,52,40,0,0,0,35,0,0,45,0,43,9,0,0,0,0,0,0,13,33,0,44,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,40,77,0,0,0,65,0,0,62,0,52,21,0,0,0,0,0,0,25,47,0,58,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
0,0,0,0,63,0,0,0,37,0,0,0,0,0,58,29,36,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,51,31,0,52,17,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,5,0,0,0,0,0,0,0,22,10,0,0,0,0,0,0,10,0,13,0,0,0,0,0,0,0,2,0
0,0,0,0,0,85,0,0,0,0,0,71,0,0,0,0,0,0,41,0,0,0,0,0,69,0,61,45,0,0,59,0,0,0,0,53,0,0,26,0,0,0,0,6,76,0,0,0,0,0,0,0,0,0,0,0,24,5,0,10,0,0,0,0,0,0,0,0,7,0,0,0,0,0,34,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,35,65,0,0,0,70,0,0,56,0,46,24,0,0,0,0,0,0,19,36,0,48,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
0,0,0,0,37,0,0,0,68,0,0,0,0,0,61,44,51,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,58,36,0,55,16,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,18,7,0,0,0,0,0,0,10,0,6,0,0,0,0,0,0,0,0,0
0,23,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,48,0,0,0,0,44,0,0,14,0,0,0,0,0,33,56,0,0,0,0,0,0,55,0,6,32,0,0,0,19,42,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
75,0,45,62,0,0,0,56,0,0,83,0,60,18,0,0,0,0,0,0,36,47,0,65,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
0,0,0,0,0,71,0,0,0,0,0,85,0,0,0,0,0,0,39,0,0,0,0,0,66,0,64,46,0,0,59,0,0,0,0,55,0,0,29,0,0,0,0,5,74,0,0,0,0,0,0,0,0,0,0,0,29,2,0,9,0,0,0,0,0,0,0,0,8,0,0,0,0,0,34,0,0,0,0,0,0,0
62,0,43,52,0,0,0,46,0,0,60,0,70,22,0,0,0,0,0,0,21,30,0,49,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
22,0,9,21,0,0,0,24,0,0,18,0,22,28,0,0,0,0,0,0,5,3,0,2,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
0,0,0,0,58,0,0,0,61,0,0,0,0,0,89,53,57,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,73,53,0,72,24,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,6,0,0,0,0,0,0,0,28,11,0,0,0,0,0,0,14,0,12,0,0,0,0,0,0,0,0,0
