"Likes","Inj","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Opp.Rank","Opp.Pos.Rank","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Week8","Week9","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Value"
6,"0",5000,22.3,-0.14,-0.14,-0.29,0.3,0.1,0,0,-9,8.7,7.1,6.5,1.3,8.7,20.9,15.6,11,8.4,22.8,13.1,2,2,11.8,15.9,17.8,4.1,12.5,13.3,20.8,28.7,0,40,56,4,0.169184290030211,2,4,1,0
9,"0",4900,20,0.08,-0.25,0.18,0,0,0,0,0,7.3,6.8,6.7,0.6,10.8,19.3,14.4,12,5.3,23.5,11.1,21,21,10.7,15.4,6.8,12.2,12.5,35.6,7.3,0,14.9,38,58,3,0.204225352112676,1,2,1,1
3,"0",4900,30.3,-0.08,0.79,-0.01,0,0,0.3,0,0,5,7,4.7,0.6,7.1,9.1,10.3,7,1,19.6,9.8,31,27,1.8,2.4,13,27.4,2.1,10.4,0,14.9,0,28,51,1,0.152694610778443,3,3,4,0
0,"0",4700,19,-0.06,-0.08,0.04,0,0,0,0,0,6.3,7,6.7,0.9,8.4,12.7,12,11,6.5,17.4,8.9,10,18,18.4,15.2,7.7,12,9.1,7.2,15.3,19.3,3.5,37,65,3,0.205047318611987,2,2,1,0
2,"0",4600,23.3,-0.1,-0.01,-0.07,0,0,0,0,0,7,6.3,5.7,1.1,7.3,13.1,10.8,10,3.2,18.4,11.5,7,14,21,4.9,6.1,4.2,6.3,15.7,3.6,23.4,12.4,39,61,3,0.190625,2,2,2,0
0,"0",4500,28.5,-0.03,-0.08,-0.06,0,0.1,0,0,2,2.3,3.4,3.9,0.3,14.5,9.2,9,6,1.3,16.8,6.7,6,9,15,9.9,1.3,0,18.6,4.9,3.5,19.1,0,19,32,2,0.118518518518519,5,4,5,0
6,"0",4500,23.5,0.04,0.08,-0.14,0,0,0,0,0,7,6.8,6.4,0.4,7.1,9.6,11.7,11,5.1,18.3,11.6,24,6,13.3,22.7,18.3,7,3.4,6.5,8.2,0,14,36,55,3,0.17515923566879,2,2,2,0
1,"0",4400,22.5,-0.23,0.17,-0.27,0,0,0,0,0,7.3,7.5,5.9,1.4,7.4,10.4,10.9,11,4.6,17.2,10.3,5,3,11.5,11.4,8,12.7,0,12.4,8.5,22.8,0,31,63,2,0.184210526315789,3,2,3,0
3,"0",4400,23.8,0.12,0.09,0.1,0,0.2,0,0.2,6,6.3,6.5,6.1,0.8,8.5,10.3,12,10,-0.7,24.6,11.9,29,30,0,0,3.4,6.8,30.6,25.3,2.2,3.4,0,29,43,1,0.14527027027027,4,3,3,0
3,"0",4300,22.3,0.12,-0.21,0.1,0,0,0,0,0,5,5.7,6,0.4,7.6,5.2,9.2,10,2.5,15.8,11.3,22,17,0,21.6,14.1,4,9,7.8,5,0,2.8,25,39,1,0.161825726141079,2,2,3,0
18,"0",4200,30.3,-0.08,0.79,-0.01,1,0.5,0.3,0.2,9,7,4.2,6.3,0.5,8.6,15.2,8.5,10,-1.8,18.8,12.6,31,27,2.1,0,0,3.4,0,5.9,11.8,27.9,0,16,27,2,0.0808383233532934,5,5,3,0
