"Place_lo","Place_hi","Payout"
"1","1","100"
"2","2","60"
"3","3","40"
"4","4","30"
"5","5","20"
"6","6","12"
"7","7","10"
"8","8","8"
"9","9","6"
"10",NA,"4"
"11","20","2.5"
"21","50","2"
"51","100","1.5"
"101","150","1"
