"Place_lo","Place_hi","Payout"
"1","1","300"
"2","2","150"
"3","3","100"
"4","4","75"
"5","5","60"
"6","6","50"
"7","8","40"
"9","10","30"
"11","15","20"
"16","20","15"
"21","25","10"
"26","35","8"
"36","45","6"
"46","60","5"
"61","80","4"
"81","130","3"
"131","205","2.5"
"206","305","2"
"306","455","1.5"
"456","680","1.25"
"681","980","1"
"981","1380","0.75"
"1381","2080","0.5"
"2081","3680","0.4"
"3681","7280","0.3"
"7281","14645","0.25"
"14646","29895","0.2"
