"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Projection_fc"
"WR","Antonio Brown (7572050)","Antonio Brown",7572050,10000,"Pit@Mia 01:00PM ET","Pit","Antonio","Brown","Mia",24.54,22.2143538586951,23.66
"WR","Julio Jones (7572084)","Julio Jones",7572084,8900,"Atl@Sea 04:25PM ET","Atl","Julio","Jones","Sea",18.09,18.0092503115409,17.42
"WR","Odell Beckham Jr. (7572011)","Odell Beckham",7572011,8800,"Bal@NYG 01:00PM ET","NYG","Odell","Beckham","Bal",19.14,16.6303554449368,18.68
"WR","A.J. Green (7572063)","A.J. Green",7572063,8600,"Cin@NE 01:00PM ET","Cin","A.J.","Green","NE",19.24,28.0448278501863,18.68
"QB","Cam Newton (7571815)","Cam Newton",7571815,8100,"Car@NO 01:00PM ET","Car","Cam","Newton","NO",27.67,26.6614149933251,22.2
"WR","Kelvin Benjamin (7572022)","Kelvin Benjamin",7572022,8100,"Car@NO 01:00PM ET","Car","Kelvin","Benjamin","NO",20,23.4818210757942,17.06
"WR","Jordy Nelson (7572092)","Jordy Nelson",7572092,8000,"Dal@GB 04:25PM ET","GB","Jordy","Nelson","Dal",18.9,17.7619116305613,20.33
"QB","Drew Brees (7571811)","Drew Brees",7571811,7900,"Car@NO 01:00PM ET","NO","Drew","Brees","Car",27.41,24.3799800986372,18.74
"RB","Le'Veon Bell (7571921)","Le'Veon Bell",7571921,7900,"Pit@Mia 01:00PM ET","Pit","Le'Veon","Bell","Mia",23.58,29.7,18.33
"WR","Allen Robinson (7572037)","Allen Robinson",7572037,7800,"Jax@Chi 01:00PM ET","Jax","Allen","Robinson","Chi",19.94,15.8379075663606,19.59
"RB","DeMarco Murray (7571874)","DeMarco Murray",7571874,7700,"Cle@Ten 01:00PM ET","Ten","DeMarco","Murray","Cle",21.4,22.3163244995855,18.15
"QB","Tom Brady (7571833)","Tom Brady",7571833,7700,"Cin@NE 01:00PM ET","NE","Tom","Brady","Cin",25.09,22.2,19.47
"WR","T.Y. Hilton (7572104)","T.Y. Hilton",7572104,7700,"Ind@Hou 08:30PM ET","Ind","T.Y.","Hilton","Hou",20.88,0.67648765282971,16.89
"WR","Brandin Cooks (7572023)","Brandin Cooks",7572023,7600,"Car@NO 01:00PM ET","NO","Brandin","Cooks","Car",17.56,7.98300279623274,15.16
"QB","Ben Roethlisberger (7571829)","Ben Roethlisberger",7571829,7500,"Pit@Mia 01:00PM ET","Pit","Ben","Roethlisberger","Mia",24.48,17.5268706693182,20.07
"WR","Amari Cooper (7572076)","Amari Cooper",7572076,7500,"KC@Oak 04:05PM ET","Oak","Amari","Cooper","KC",17.85,15.8205931487061,17.2
"WR","DeAndre Hopkins (7572107)","DeAndre Hopkins",7572107,7500,"Ind@Hou 08:30PM ET","Hou","DeAndre","Hopkins","Ind",18.56,18.5600123016121,17.05
"WR","Dez Bryant (7572093)","Dez Bryant",7572093,7400,"Dal@GB 04:25PM ET","Dal","Dez","Bryant","GB",0,12.6311288811076,0
"QB","Aaron Rodgers (7571848)","Aaron Rodgers",7571848,7300,"Dal@GB 04:25PM ET","GB","Aaron","Rodgers","Dal",22.87,20.5922715036221,21.31
"WR","Marvin Jones Jr. (7572043)","Marvin Jones",7572043,7200,"LA@Det 01:00PM ET","Det","Marvin","Jones","LA",18.25,17.7,15.66
"WR","Alshon Jeffery (7572031)","Alshon Jeffery",7572031,7100,"Jax@Chi 01:00PM ET","Chi","Alshon","Jeffery","Jax",14.97,15.8,13.53
