"Aaron Judge_NYY","Gary Sanchez_NYY","Brett Gardner_NYY","Matt Holliday_NYY","Jose Abreu_CWS","Chris Carter_NYY","Todd Frazier_CWS","Freddie Freeman_ATL","Matt Adams_ATL","Wil Myers_SD","Ender Inciarte_ATL","Nick Markakis_ATL","Melky Cabrera_CWS","Brandon Phillips_ATL","Matt Kemp_ATL","Chase Headley_NYY","Yoan Moncada_CWS","Jacoby Ellsbury_NYY","Aaron Hicks_NYY","Didi Gregorius_NYY","Tyler Flowers_ATL","Starlin Castro_NYY","Tyler Saladino_CWS","Alen Hanson_CWS","Jose Pirela_SD","Ryan Schimpf_SD","Greg Bird_NYY","Yangervis Solarte_SD","Adonis Garcia_ATL","Matt Davidson_CWS","Avisail Garcia_CWS","Mason Williams_NYY","Kurt Suzuki_ATL","Alex Dickerson_SD","Franchy Cordero_SD","Tyler Austin_NYY","Charlie Tilson_CWS","Rob Refsnyder_NYY","Tim Anderson_CWS","Erick Aybar_SD","Cory Spangenberg_SD","Austin Hedges_SD","Manuel Margot_SD","Yolmer Sanchez_CWS","Adam Engel_CWS","Danny Santana_ATL","Travis Jankowski_SD","Leury Garcia_CWS","Jacob May_CWS","Matt Szczur_SD","Hunter Renfroe_SD","Micah Johnson_ATL","Dansby Swanson_ATL","Ronald Acuna_ATL","Austin Romine_NYY","Ronald Torreyes_NYY","Cody Asche_CWS","Kevan Smith_CWS","Gleyber Torres_NYY","Chase d'Arnaud_SD","Rio Ruiz_ATL","Travis Demeritte_ATL","Willy Garcia_CWS","Jorge Mateo_NYY","Miguel Andujar_NYY","Tyler Wade_NYY","Christian Bethancourt_SD","Jose Rondon_SD","Luis Urias_SD","Geovany Soto_CWS","Jace Peterson_ATL","Johan Camargo_ATL","Kyle Higashioka_NYY","Omar Narvaez_CWS","Jabari Blash_SD","Carlos Asuaje_SD","Anthony Recker_ATL","Hector Sanchez_SD","Emilio Bonifacio_ATL","Grant Green_CWS","Zack Collins_CWS","Lane Adams_ATL","Allen Cordoba_SD","Luis Torrens_SD"
0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,0,33,0,0,0,0,0,0,14,0,0,0,0,27,39,31,18,0,0,0,0,0,0,12,36,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,18,8
0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,34,0,52,0,0,0,0,0,0,13,0,0,0,0,39,31,56,34,0,0,0,11,0,0,13,54,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,24,0
0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,40,0,0,0,0,0,0,0,0,0,0,0,37,18,34,42,0,0,0,12,0,0,6,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,10,7
0,0,0,0,31,0,29,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,27,30,0,0,0,0,0,0,0,30,0,0,0,0,31,9,0,0,14,0,0,0,0,0,0,0,0,0,19,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
0,0,0,0,11,0,10,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,11,0,0,0,0,0,0,0,11,0,0,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,3,9,0,12,11,0,8,9,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,11,0,11,12,0,0,0,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,42,0,35,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,30,40,0,0,0,0,0,0,0,36,0,0,0,0,14,0,0,0,43,4,0,0,0,0,0,0,0,11,12,0,0,0,0,7,0,0,0,0,0,0,9,0,0,0,22,0,0,0,0,0,0,0,0,0,0
0,0,0,0,8,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,14,0,0,0,0,0,0,3,0,0,0,0,12,12,13,6,0,0,0,0,0,0,16,14,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4
0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,41,0,62,0,0,0,0,0,0,18,0,0,0,0,49,36,54,41,0,0,0,13,0,0,14,68,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,2,0,0,0,0,30,13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
