Rk,ID,Player,Pos,Week,Team,Opp,Opp Rank,Opp Pos Rank,Salary,Projection
134,13987,Dwayne Allen,TE,1,IND,DET,23,28,3200,9.6
135,12,Green Bay Packers,DST,1,GB,JAX,--,--,2800,9.5
136,8529,Mike Wallace,WR,1,BAL,BUF,15,23,4200,9.4
137,17916,Will Fuller,WR,1,HOU,CHI,17,10,3700,9.4
138,18058,Tajae Sharpe,WR,1,TEN,MIN,12,14,3000,9.4
139,26,Philadelphia Eagles,DST,1,PHI,CLE,--,--,3300,9.4
140,12800,Bilal Powell,RB,1,NYJ,CIN,5,13,4300,9.4
141,16127,Isaiah Crowell,RB,1,CLE,PHI,30,28,4200,9.2
142,12780,Shane Vereen,RB,1,NYG,DAL,14,26,3800,9.2
143,67,Minnesota Vikings,DST,1,MIN,TEN,--,--,3100,9.2
144,1,Arizona Cardinals,DST,1,ARI,NE,--,--,3500,9.1
145,17960,Michael Thomas,WR,1,NO,OAK,20,11,4000,9.1
146,12751,Charles Clay,TE,1,BUF,BAL,19,4,3400,9
147,13887,Travis Benjamin,WR,1,SD,KC,7,24,4100,8.9
148,8534,Jared Cook,TE,1,GB,JAX,29,27,2900,8.9
149,6198,Darren Sproles,RB,1,PHI,CLE,28,19,4200,8.8
150,15196,Kenny Stills,WR,1,MIA,SEA,1,3,3200,8.8
151,16802,Devin Funchess,WR,1,CAR,DEN,2,1,4800,8.7
152,55,Kansas City Chiefs,DST,1,KC,SD,--,--,3600,8.6
153,16307,Charcandrick West,RB,1,KC,SD,16,29,3500,8.6
154,16768,Kevin White,WR,1,CHI,HOU,4,6,5200,8.6
155,14749,Jermaine Kearse,WR,1,SEA,MIA,26,19,3500,8.5
156,7,Cincinnati Bengals,DST,1,CIN,NYJ,--,--,3000,8.5
157,16829,Clive Walford,TE,1,OAK,NO,32,32,3000,8.4
158,12861,Jordan Cameron,TE,1,MIA,SEA,1,24,3000,8.4
159,11488,Jimmy Graham,TE,1,SEA,MIA,26,7,3800,8.2
160,11463,Brandon LaFell,WR,1,CIN,NYJ,6,17,3900,8.2
161,14828,Chris Hogan,WR,1,NE,ARI,8,8,3600,8.2
162,8532,Kenny Britt,WR,1,LA,SF,25,18,3900,8.2
163,15088,Terrance Williams,WR,1,DAL,NYG,31,20,3300,8.1
164,32,Los Angeles Rams,DST,1,LA,SF,--,--,3800,8.1
165,16846,Tyler Kroft,TE,1,CIN,NYJ,6,3,2700,8
166,11712,Anquan Boldin,WR,1,DET,IND,27,26,4500,8
167,17480,Eli Rogers,WR,1,PIT,WAS,24,29,4200,8
168,17986,Tyler Boyd,WR,1,CIN,NYJ,6,17,3600,8
169,14871,Robert Woods,WR,1,BUF,BAL,19,28,4600,8
170,12506,James Starks,RB,1,GB,JAX,29,24,4800,7.9
171,17959,Derrick Henry,RB,1,TEN,MIN,12,7,4000,7.8
172,49,Denver Broncos,DST,1,DEN,CAR,--,--,3700,7.8
173,16083,Crockett Gillmore,TE,1,BAL,BUF,15,12,2600,7.8
174,13275,Kyle Rudolph,TE,1,MIN,TEN,22,26,3000,7.7
175,34,Tennessee Titans,DST,1,TEN,MIN,--,--,2600,7.6
176,13693,Terrelle Pryor,WR,1,CLE,PHI,30,32,3000,7.6
177,15239,Vance McDonald,TE,1,SF,LA,13,20,3100,7.6
178,16920,Jesse James,TE,1,PIT,WAS,24,15,3400,7.6
179,16866,Jamison Crowder,WR,1,WAS,PIT,18,30,3800,7.6
180,16848,Sammie Coates,WR,1,PIT,WAS,24,29,3700,7.5
181,17914,Laquon Treadwell,WR,1,MIN,TEN,22,21,4500,7.4
182,37,Buffalo Bills,DST,1,BUF,BAL,--,--,2900,7.2
183,36,Baltimore Ravens,DST,1,BAL,BUF,--,--,2700,7.2
184,17050,Thomas Rawls,RB,1,SEA,MIA,26,32,6000,7.2
185,12296,LeGarrette Blount,RB,1,NE,ARI,8,7,3700,7.2
186,16834,Tevin Coleman,RB,1,ATL,TB,21,14,4200,7.1
187,15102,Chris Thompson,RB,1,WAS,PIT,18,3,4000,7.1
188,7389,Eddie Royal,WR,1,CHI,HOU,4,6,3200,7.1
189,12109,Ted Ginn,WR,1,CAR,DEN,2,1,4100,7
190,82,New York Jets,DST,1,NYJ,CIN,--,--,3400,7
191,93,San Francisco 49ers,DST,1,SF,LA,--,--,3100,7
192,8,Cleveland Browns,DST,1,CLE,PHI,--,--,2300,7
193,14141,Cole Beasley,WR,1,DAL,NYG,31,20,3200,6.9
194,28,Pittsburgh Steelers,DST,1,PIT,WAS,--,--,2900,6.9
195,52,Jacksonville Jaguars,DST,1,JAX,GB,--,--,2400,6.9
196,13016,Virgil Green,TE,1,DEN,CAR,3,9,2900,6.9
197,16837,Chris Conley,WR,1,KC,SD,16,4,3700,6.8
198,21,New England Patriots,DST,1,NE,ARI,--,--,2900,6.8
199,11,Detroit Lions,DST,1,DET,IND,--,--,2500,6.8
200,16470,Davante Adams,WR,1,GB,JAX,29,15,4300,6.8
201,12246,Victor Cruz,WR,1,NYG,DAL,14,7,4000,6.7
202,75,New York Giants,DST,1,NYG,DAL,--,--,2700,6.6
203,38,Chicago Bears,DST,1,CHI,HOU,--,--,2500,6.6
204,16142,Terrance West,RB,1,BAL,BUF,15,16,4100,6.6
205,852,Jacob Tamme,TE,1,ATL,TB,21,13,2800,6.6
206,18061,Deandre Washington,RB,1,OAK,NO,32,30,3700,6.6
207,17964,Braxton Miller,WR,1,HOU,CHI,17,10,3000,6.5
208,15207,Benjamin Cunningham,RB,1,LA,SF,25,31,3700,6.5
209,97,Washington Redskins,DST,1,WAS,PIT,--,--,2700,6.5
210,16781,Nelson Agholor,WR,1,PHI,CLE,28,31,3500,6.4
211,95,Tampa Bay Buccaneers,DST,1,TB,ATL,--,--,2600,6.4
212,16326,Seth Roberts,WR,1,OAK,NO,32,27,3800,6.3
213,17754,Will Tye,TE,1,NYG,DAL,14,2,3300,6.2
214,9906,Danny Amendola,WR,1,NE,ARI,8,8,4200,6.2
215,17970,Devontae Booker,RB,1,DEN,CAR,3,12,3300,6.1
216,15241,Quinton Patton,WR,1,SF,LA,13,4,4000,6.1
217,48,Dallas Cowboys,DST,1,DAL,NYG,--,--,2500,6
218,16593,Cameron Brate,TE,1,TB,ATL,10,29,2900,6
219,13158,Shaun Draughn,RB,1,SF,LA,13,20,3700,6
220,13386,Lance Kendricks,TE,1,LA,SF,25,10,3200,6
221,12847,Andrew Hawkins,WR,1,CLE,PHI,30,32,3800,5.9
222,64,Miami Dolphins,DST,1,MIA,SEA,--,--,2200,5.9
223,14,Indianapolis Colts,DST,1,IND,DET,--,--,2700,5.8
224,16608,Austin Seferian-Jenkins,TE,1,TB,ATL,10,29,2800,5.7
225,16510,Jerick McKinnon,RB,1,MIN,TEN,22,9,4600,5.7
226,14985,Ryan Griffin,TE,1,HOU,CHI,17,17,2600,5.4
227,16831,Jaelen Strong,WR,1,HOU,CHI,17,10,3800,5.4
228,17965,CJ Prosise,RB,1,SEA,MIA,26,32,3900,5.4
229,16868,Justin Hardy,WR,1,ATL,TB,21,25,3100,5.3
230,4640,Reggie Bush,RB,1,BUF,BAL,19,6,3500,5.3
231,2,Atlanta Falcons,DST,1,ATL,TB,--,--,2800,5.3
232,16308,Albert Wilson,WR,1,KC,SD,16,4,3600,5.3
233,83,Oakland Raiders,DST,1,OAK,NO,--,--,2400,5.2
234,16801,Dorial Green-Beckham,WR,1,PHI,CLE,28,31,4500,5.2
235,15866,Josh Hill,TE,1,NO,OAK,20,30,2500,5.1
236,84,San Diego Chargers,DST,1,SD,KC,--,--,2500,5.1
237,15141,Charles Johnson,WR,1,MIN,TEN,22,21,3000,5
238,14269,Alfred Morris,RB,1,DAL,NYG,31,25,3800,5
239,16787,Breshad Perriman,WR,1,BAL,BUF,15,23,3700,4.9
240,69,New Orleans Saints,DST,1,NO,OAK,--,--,2300,4.9
241,16728,Dontrelle Inman,WR,1,SD,KC,7,24,3400,4.9
242,16816,Maxx Williams,TE,1,BAL,BUF,15,12,2600,4.9
243,17939,Josh Doctson,WR,1,WAS,PIT,18,30,3000,4.8
244,12794,Jeremy Kerley,WR,1,SF,LA,13,4,3000,4.7
245,1545,Anthony Fasano,TE,1,TEN,MIN,12,16,2500,4.6
246,6828,Chris Johnson,RB,1,ARI,NE,11,5,3700,4.6
247,16258,Marqise Lee,WR,1,JAX,GB,9,13,3100,4.6
248,2262,Tim Hightower,RB,1,NO,OAK,20,18,4300,4.5
249,15782,Larry Donnell,TE,1,NYG,DAL,14,2,2900,4.5
250,8771,Darrius Heyward-Bey,WR,1,PIT,WAS,24,29,3600,4.5
251,12153,Ed Dickson,TE,1,CAR,DEN,2,22,2500,4.4
252,2429,Andre Johnson,WR,1,TEN,MIN,12,14,3900,4.4
253,13170,Niles Paul,TE,1,WAS,PIT,18,25,2500,4.4
254,15247,Darren Fells,TE,1,ARI,NE,11,5,2700,4.3
255,11527,Sam Bradford,QB,1,MIN,TEN,22,27,6400,4.3
256,16111,Ryan Hewitt,TE,1,CIN,NYJ,6,3,2500,4.3
257,4738,Mike Tolbert,FB,1,CAR,DEN,2,11,3000,4.2
