Rk,ID,Player,Pos,Week,Team,Opp,Opp Rank,Opp Pos Rank,Salary,Projection
1,3807,Ben Roethlisberger,QB,5,PIT,NYJ,22,27,7200,23.8
2,4314,Tom Brady,QB,5,NE,CLE,27,21,7500,21.6
3,2593,Aaron Rodgers,QB,5,GB,NYG,14,11,7700,21.4
4,11056,Antonio Brown,WR,5,PIT,NYJ,22,22,9800,21.2
5,14967,Le'Veon Bell,RB,5,PIT,NYJ,22,9,7500,20.8
6,14008,Andrew Luck,QB,5,IND,CHI,12,13,7300,20.2
7,12845,AJ Green,WR,5,CIN,DAL,14,8,8900,18.8
8,12841,Andy Dalton,QB,5,CIN,DAL,14,19,5900,18.8
9,16847,David Johnson,RB,5,ARI,SF,22,21,7900,18.6
10,8244,Philip Rivers,QB,5,SD,OAK,31,30,6900,18.4
11,16311,Derek Carr,QB,5,OAK,SD,25,22,6800,18.4
12,16776,Melvin Gordon,RB,5,SD,OAK,31,28,7000,18.2
13,13124,DeMarco Murray,RB,5,TEN,MIA,19,14,7200,18.1
14,13291,Julio Jones,WR,5,ATL,DEN,3,1,9600,18
15,17920,Carson Wentz,QB,5,PHI,DET,30,31,6400,17.7
16,16389,Odell Beckham Jr,WR,5,NYG,GB,23,30,8500,17.7
17,16763,Marcus Mariota,QB,5,TEN,MIA,19,14,5400,17.3
18,4932,Eli Manning,QB,5,NYG,GB,23,28,6000,17.1
19,18055,Dak Prescott,QB,5,DAL,CIN,13,20,5600,17.1
20,732,Matt Ryan,QB,5,ATL,DEN,3,5,7100,17
21,11197,Demaryius Thomas,WR,5,DEN,ATL,32,26,6900,17
22,9038,Matthew Stafford,QB,5,DET,PHI,1,1,6600,17
23,15020,CJ Anderson,RB,5,DEN,ATL,32,27,6900,16.9
24,13799,Ryan Tannehill,QB,5,MIA,TEN,9,6,5700,16.8
25,611,Joe Flacco,QB,5,BAL,WAS,26,16,6200,16.8
26,16020,Jarvis Landry,WR,5,MIA,TEN,9,10,7000,16.8
27,5571,Larry Fitzgerald,WR,5,ARI,SF,22,18,7200,16.6
28,12831,Tyrod Taylor,QB,5,BUF,LA,11,12,5200,16.6
29,4556,Jordy Nelson,WR,5,GB,NYG,14,15,7900,16.6
30,16771,Todd Gurley,RB,5,LA,BUF,8,21,6500,16.5
31,15100,Jordan Reed,TE,5,WAS,BAL,6,7,6600,16.3
32,12083,Derek Anderson,QB,5,CAR,TB,27,27,5500,16.3
33,5820,Frank Gore,RB,5,IND,CHI,12,19,5700,16.3
34,18067,Jordan Howard,RB,5,CHI,IND,23,29,5200,16.2
35,16597,Mike Evans,WR,5,TB,CAR,21,12,7500,16.2
36,17923,Ezekiel Elliott,RB,5,DAL,CIN,13,6,6800,16.1
37,17929,Paxton Lynch,QB,5,DEN,ATL,32,32,5200,16
38,16550,Kelvin Benjamin,WR,5,CAR,TB,27,32,7300,16
39,11667,Brandon Marshall,WR,5,NYJ,PIT,17,7,7100,16
40,15126,Theo Riddick,RB,5,DET,PHI,1,2,4900,15.9
41,14252,Kirk Cousins,QB,5,WAS,BAL,6,7,6100,15.6
42,8283,Ryan Fitzpatrick,QB,5,NYJ,PIT,17,18,5100,15.6
43,14005,TY Hilton,WR,5,IND,CHI,12,14,7400,15.4
44,11932,LeSean McCoy,RB,5,BUF,LA,11,18,6600,15.4
45,16765,Amari Cooper,WR,5,OAK,SD,25,12,7200,15.2
46,8355,Julian Edelman,WR,5,NE,CLE,27,20,6700,15
47,14986,DeAndre Hopkins,WR,5,HOU,MIN,4,2,7700,14.9
48,8358,Brian Hoyer,QB,5,CHI,IND,23,24,5500,14.9
49,11063,Emmanuel Sanders,WR,5,DEN,ATL,32,26,6800,14.9
50,14187,Alshon Jeffery,WR,5,CHI,IND,23,6,7800,14.8
51,15974,Jordan Matthews,WR,5,PHI,DET,30,27,6800,14.7
52,2699,Matt Forte,RB,5,NYJ,PIT,17,24,6200,14.7
53,13870,Marvin Jones,WR,5,DET,PHI,1,5,7600,14.6
54,12296,LeGarrette Blount,RB,5,NE,CLE,27,25,5600,14.6
55,16762,Jameis Winston,QB,5,TB,CAR,21,24,5800,14.3
56,13791,Lamar Miller,RB,5,HOU,MIN,4,17,6300,14.3
57,11527,Sam Bradford,QB,5,MIN,HOU,5,2,5100,13.9
58,4358,Steve Smith,WR,5,BAL,WAS,26,28,5300,13.7
59,14053,Brock Osweiler,QB,5,HOU,MIN,4,8,5300,13.6
60,9331,Michael Crabtree,WR,5,OAK,SD,25,12,6900,13.5
61,13887,Travis Benjamin,WR,5,SD,OAK,31,31,6500,13.5
62,12982,Blaine Gabbert,QB,5,SF,ARI,7,6,5000,13.4
63,13227,Randall Cobb,WR,5,GB,NYG,14,15,6200,13.4
64,1658,Greg Olsen,TE,5,CAR,TB,27,5,6300,13.4
65,16524,Devonta Freeman,RB,5,ATL,DEN,3,13,5000,13.1
66,17966,Cody Kessler,QB,5,CLE,NE,10,17,5000,12.9
67,4737,Drew Stanton,QB,5,ARI,SF,22,19,5000,12.8
68,7175,Delanie Walker,TE,5,TEN,MIA,19,24,4700,12.8
69,15694,Case Keenum,QB,5,LA,BUF,8,4,5000,12.7
70,16510,Jerick McKinnon,RB,5,MIN,HOU,5,20,4000,12.6
71,10974,Rob Gronkowski,TE,5,NE,CLE,27,27,6500,12.6
72,14856,Zach Ertz,TE,5,PHI,DET,30,31,3500,12.5
73,16142,Terrance West,RB,5,BAL,WAS,26,31,4800,12.3
74,15138,Eddie Lacy,RB,5,GB,NYG,14,7,5900,12.3
75,16063,Quincy Enunwa,WR,5,NYJ,PIT,17,7,4600,12.3
76,14916,Giovani Bernard,RB,5,CIN,DAL,14,12,4400,12.1
77,16668,Carlos Hyde,RB,5,SF,ARI,7,6,4800,12
78,3943,DeSean Jackson,WR,5,WAS,BAL,6,19,5900,11.9
79,17916,Will Fuller,WR,5,HOU,MIN,4,2,5800,11.8
80,16593,Cameron Brate,TE,5,TB,CAR,21,29,2900,11.7
