Rk,ID,Player,Pos,Week,Team,Opp,Opp Rank,Opp Pos Rank,Salary,Projection
1,13291,Julio Jones,WR,3,ATL,NO,26,29,9500,26.7
2,16389,Odell Beckham Jr,WR,3,NYG,WAS,28,26,9100,24.8
3,7242,Drew Brees,QB,3,NO,ATL,32,31,7900,24.5
4,732,Matt Ryan,QB,3,ATL,NO,26,19,7400,23.5
5,2593,Aaron Rodgers,QB,3,GB,DET,29,31,7700,22.3
6,7580,DeAngelo Williams,RB,3,PIT,PHI,1,10,7500,21.9
7,13320,Cam Newton,QB,3,CAR,MIN,6,18,7800,21.2
8,11056,Antonio Brown,WR,3,PIT,PHI,1,6,9600,21
9,2428,Carson Palmer,QB,3,ARI,BUF,21,16,7200,20.5
10,14536,Russell Wilson,QB,3,SEA,SF,14,14,7100,19.9
11,3807,Ben Roethlisberger,QB,3,PIT,PHI,1,1,7300,19.7
12,14008,Andrew Luck,QB,3,IND,SD,24,27,7600,19.5
13,4932,Eli Manning,QB,3,NYG,WAS,28,25,7000,19.3
14,14986,DeAndre Hopkins,WR,3,HOU,NE,20,27,8600,19.2
15,16847,David Johnson,RB,3,ARI,BUF,21,24,7700,19.1
16,5571,Larry Fitzgerald,WR,3,ARI,BUF,21,29,6900,19
17,8244,Philip Rivers,QB,3,SD,IND,27,23,6700,18.7
18,9038,Matthew Stafford,QB,3,DET,GB,15,17,6800,18.5
19,13799,Ryan Tannehill,QB,3,MIA,CLE,23,21,6200,18.4
20,16311,Derek Carr,QB,3,OAK,TEN,8,9,6900,18.2
21,12845,AJ Green,WR,3,CIN,DEN,9,3,8100,18.2
22,16763,Marcus Mariota,QB,3,TEN,OAK,32,32,5900,18.2
23,15100,Jordan Reed,TE,3,WAS,NYG,10,15,6500,18.1
24,14252,Kirk Cousins,QB,3,WAS,NYG,10,5,6400,17.5
25,16245,Blake Bortles,QB,3,JAX,BAL,3,3,6500,17.5
26,16020,Jarvis Landry,WR,3,MIA,CLE,23,25,6600,17.2
27,611,Joe Flacco,QB,3,BAL,JAX,26,28,6100,17
28,14053,Brock Osweiler,QB,3,HOU,NE,20,26,6000,16.7
29,2699,Matt Forte,RB,3,NYJ,KC,17,30,7000,16.6
30,16776,Melvin Gordon,RB,3,SD,IND,27,32,5800,16.4
31,18055,Dak Prescott,QB,3,DAL,CHI,16,10,5700,16.3
32,16771,Todd Gurley,RB,3,LA,TB,30,27,7100,16.3
33,4556,Jordy Nelson,WR,3,GB,DET,29,14,7400,16.3
34,16762,Jameis Winston,QB,3,TB,LA,5,7,6000,16.1
35,12841,Andy Dalton,QB,3,CIN,DEN,9,13,5700,16.1
36,15020,CJ Anderson,RB,3,DEN,CIN,18,26,7300,16
37,11932,LeSean McCoy,RB,3,BUF,ARI,7,5,6500,16
38,14187,Alshon Jeffery,WR,3,CHI,DAL,19,20,8000,15.9
39,16263,Allen Robinson,WR,3,JAX,BAL,3,8,7500,15.8
40,16568,Brandin Cooks,WR,3,NO,ATL,32,19,7900,15.7
41,17920,Carson Wentz,QB,3,PHI,PIT,13,11,5500,15.7
42,16550,Kelvin Benjamin,WR,3,CAR,MIN,6,7,7200,15.6
43,13227,Randall Cobb,WR,3,GB,DET,29,14,7300,15.6
44,6739,Alex Smith,QB,3,KC,NYJ,25,26,5800,15.5
45,13337,Mark Ingram,RB,3,NO,ATL,32,29,5900,15.4
46,13791,Lamar Miller,RB,3,HOU,NE,20,11,7200,15.4
47,12831,Tyrod Taylor,QB,3,BUF,ARI,7,2,5800,15.3
48,8358,Brian Hoyer,QB,3,CHI,DAL,19,22,5000,15.3
49,8283,Ryan Fitzpatrick,QB,3,NYJ,KC,17,6,5900,15.3
50,13124,DeMarco Murray,RB,3,TEN,OAK,32,22,6300,15.3
51,8914,Jeremy Maclin,WR,3,KC,NYJ,25,31,6000,15.2
52,17923,Ezekiel Elliott,RB,3,DAL,CHI,16,18,6900,15.1
53,16609,Charles Sims,RB,3,TB,LA,5,20,4900,15
54,14005,TY Hilton,WR,3,IND,SD,24,15,6800,15
55,16906,Stefon Diggs,WR,3,MIN,CAR,11,2,5100,15
56,16524,Devonta Freeman,RB,3,ATL,NO,26,28,5800,14.7
57,15974,Jordan Matthews,WR,3,PHI,PIT,13,11,7100,14.7
58,16597,Mike Evans,WR,3,TB,LA,5,4,7000,14.7
59,10974,Rob Gronkowski,TE,3,NE,HOU,3,4,6800,14.6
60,11270,Dez Bryant,WR,3,DAL,CHI,16,22,8400,14.5
61,15261,Spencer Ware,RB,3,KC,NYJ,25,8,5700,14.4
62,13870,Marvin Jones,WR,3,DET,GB,15,18,6200,14.4
63,8355,Julian Edelman,WR,3,NE,HOU,3,8,6400,14.3
64,13887,Travis Benjamin,WR,3,SD,IND,27,10,5200,14.3
65,5820,Frank Gore,RB,3,IND,SD,24,24,5000,14.2
66,16765,Amari Cooper,WR,3,OAK,TEN,8,13,7700,14.2
67,18058,Tajae Sharpe,WR,3,TEN,OAK,32,32,4700,14
68,15256,Christine Michael,RB,3,SEA,SF,14,3,5000,13.9
69,12780,Shane Vereen,RB,3,NYG,WAS,28,31,3700,13.9
70,15126,Theo Riddick,RB,3,DET,GB,15,2,4900,13.7
71,18018,Jacoby Brissett,QB,3,NE,HOU,3,2,5000,13.6
72,15138,Eddie Lacy,RB,3,GB,DET,29,11,6100,13.6
73,17009,Trevor Siemian,QB,3,DEN,CIN,18,20,5100,13.5
74,11182,Eric Decker,WR,3,NYJ,KC,17,16,6900,13.5
75,11527,Sam Bradford,QB,3,MIN,CAR,11,12,5300,13.3
76,11197,Demaryius Thomas,WR,3,DEN,CIN,18,12,6400,13.3
77,16790,Phillip Dorsett,WR,3,IND,SD,24,15,4400,13.2
78,9331,Michael Crabtree,WR,3,OAK,TEN,8,13,6000,13.1
79,3943,DeSean Jackson,WR,3,WAS,NYG,10,9,5900,13.1
80,15694,Case Keenum,QB,3,LA,TB,30,29,5000,13
81,15071,Latavius Murray,RB,3,OAK,TEN,8,1,5700,13
82,11611,Golden Tate,WR,3,DET,GB,15,18,5900,12.9
83,11063,Emmanuel Sanders,WR,3,DEN,CIN,18,12,6000,12.9
84,16834,Tevin Coleman,RB,3,ATL,NO,26,28,4500,12.8
85,16867,Jeremy Langford,RB,3,CHI,DAL,19,14,5200,12.8
86,1658,Greg Olsen,TE,3,CAR,MIN,6,12,5800,12.7
87,13460,Doug Baldwin,WR,3,SEA,SF,14,17,6300,12.6
88,17966,Cody Kessler,QB,3,CLE,MIA,20,24,5000,12.4
89,17916,Will Fuller,WR,3,HOU,NE,20,27,4800,11.8
90,16127,Isaiah Crowell,RB,3,CLE,MIA,20,18,4700,11.7
91,16510,Jerick McKinnon,RB,3,MIN,CAR,11,23,3800,11.7
92,17961,Sterling Shepard,WR,3,NYG,WAS,28,26,5500,11.2
93,14871,Robert Woods,WR,3,BUF,ARI,7,24,3200,11.2
94,9369,Justin Forsett,RB,3,BAL,JAX,26,11,3900,11.2
95,16775,Devante Parker,WR,3,MIA,CLE,23,25,4900,11.1
96,12982,Blaine Gabbert,QB,3,SF,SEA,2,8,5000,11.1
97,16451,Eric Ebron,TE,3,DET,GB,15,30,3700,11.1
98,16797,TJ Yeldon,RB,3,JAX,BAL,3,21,5600,10.9
99,15048,Travis Kelce,TE,3,KC,NYJ,25,10,4700,10.8
100,722,Jason Witten,TE,3,DAL,CHI,16,5,4300,10.8
101,16668,Carlos Hyde,RB,3,SF,SEA,2,4,4400,10.7
102,14916,Giovani Bernard,RB,3,CIN,DEN,9,13,4300,10.7
103,12296,LeGarrette Blount,RB,3,NE,HOU,3,7,4400,10.5
104,6198,Darren Sproles,RB,3,PHI,PIT,13,17,3700,10.5
105,13693,Terrelle Pryor,WR,3,CLE,MIA,20,23,3400,10.5
106,16142,Terrance West,RB,3,BAL,JAX,26,11,3500,10.4
107,14478,Michael Floyd,WR,3,ARI,BUF,21,29,5800,10.4
