P,P,C,1B,2B,3B,SS,OF,OF,OF
Gerrit Cole,Trevor Bauer,Evan Gattis,Mark Reynolds,Jose Altuve,Nolan Arenado,Pat Valaika,Charlie Blackmon,Bradley Zimmer,Carlos Gonzalez
Jacob deGrom,Mike Leake,Yasmani Grandal,Joey Votto,Jose Peraza,Eugenio Suarez,Zack Cozart,Scott Schebler,Bradley Zimmer,Carlos Gonzalez
Alex Wood,Trevor Bauer,Ryan Hanigan,Mark Reynolds,Scooter Gennett,Nolan Arenado,Alexi Amarista,Raimel Tapia,Shin-Soo Choo,Hunter Pence
Gerrit Cole,Trevor Bauer,James McCann,Joey Votto,Rougned Odor,Nolan Arenado,Alexi Amarista,Charlie Blackmon,Raimel Tapia,Carlos Gonzalez
Jacob deGrom,Zack Godley,Tucker Barnhart,Mark Reynolds,Jose Peraza,Manny Machado,Zack Cozart,Billy Hamilton,Scott Schebler,Kole Calhoun
Alex Wood,Trevor Bauer,James McCann,Victor Martinez,Scooter Gennett,Nicholas Castellanos,Jose Iglesias,Charlie Blackmon,Justin Upton,Carlos Gonzalez
Alex Wood,Ariel Miranda,Tucker Barnhart,Miguel Cabrera,Scooter Gennett,Eugenio Suarez,Zack Cozart,Billy Hamilton,Raimel Tapia,Seth Smith
Alex Wood,Parker Bridwell,Tucker Barnhart,Joey Votto,Rougned Odor,Eugenio Suarez,Zack Cozart,Charlie Blackmon,Billy Hamilton,Kole Calhoun
Alex Wood,Trevor Bauer,Tyler Flowers,Freddie Freeman,Brandon Phillips,Nolan Arenado,Zack Cozart,Ender Inciarte,Carlos Gonzalez,Nick Markakis
Jacob deGrom,Ben Lively,Tucker Barnhart,Joey Votto,Scooter Gennett,Nicholas Castellanos,Zack Cozart,Scott Schebler,Seth Smith,Carlos Gonzalez
Zack Godley,Trevor Bauer,Tucker Barnhart,Miguel Cabrera,Jose Altuve,Eugenio Suarez,Zack Cozart,Mookie Betts,Billy Hamilton,Scott Schebler
Alex Wood,Trevor Bauer,Jonathan Lucroy,Mark Reynolds,Rougned Odor,Adrian Beltre,Zack Cozart,Shin-Soo Choo,Nomar Mazara,Carlos Gonzalez
Alex Wood,Zack Godley,Ryan Hanigan,Mark Reynolds,Jose Peraza,David Freese,Francisco Lindor,Charlie Blackmon,Raimel Tapia,Carlos Gonzalez
Jacob deGrom,Mike Leake,Tucker Barnhart,Mark Reynolds,Jose Peraza,Nolan Arenado,Pat Valaika,Charlie Blackmon,Seth Smith,Carlos Gonzalez
Zack Godley,Trevor Bauer,Ryan Hanigan,Joey Votto,Ian Kinsler,Nolan Arenado,Pat Valaika,Charlie Blackmon,George Springer,Carlos Gonzalez
Gerrit Cole,Trevor Bauer,Tucker Barnhart,Joey Votto,Jose Peraza,Nicholas Castellanos,Zack Cozart,Mookie Betts,Michael Brantley,Scott Schebler
Alex Wood,Ben Lively,Tucker Barnhart,Albert Pujols,Scooter Gennett,Nolan Arenado,Pat Valaika,Charlie Blackmon,Raimel Tapia,Carlos Gonzalez
Alex Wood,Gerrit Cole,Tucker Barnhart,Buster Posey,Jose Peraza,Eugenio Suarez,Pat Valaika,Billy Hamilton,Scott Schebler,Bradley Zimmer
Alex Wood,Parker Bridwell,Evan Gattis,Joey Votto,Scooter Gennett,Manny Machado,Zack Cozart,Billy Hamilton,Scott Schebler,Hunter Pence
Jacob deGrom,Edinson Volquez,Ryan Hanigan,Mark Reynolds,Jose Peraza,Nolan Arenado,Zack Cozart,George Springer,Raimel Tapia,Carlos Gonzalez
Gerrit Cole,Trevor Bauer,Tucker Barnhart,Joey Votto,Scooter Gennett,Eugenio Suarez,Francisco Lindor,Billy Hamilton,Michael Brantley,Ender Inciarte
Alex Wood,Trevor Bauer,Welington Castillo,Mark Reynolds,Jonathan Schoop,Manny Machado,Zack Cozart,Mark Trumbo,Seth Smith,Carlos Gonzalez
Trevor Bauer,Mike Leake,Manny Pina,Joey Votto,Scooter Gennett,Nicholas Castellanos,Zack Cozart,Charlie Blackmon,Billy Hamilton,Scott Schebler
Alex Wood,Trevor Bauer,Nick Hundley,Buster Posey,Scooter Gennett,Nolan Arenado,Zack Cozart,Hunter Pence,Gorkys Hernandez,Austin Slater
Alex Wood,Ben Lively,Tucker Barnhart,Joey Votto,Ian Kinsler,Eugenio Suarez,Zack Cozart,Ryan Braun,Raimel Tapia,Scott Schebler
Alex Wood,Gerrit Cole,Yasmani Grandal,Mark Reynolds,Brandon Phillips,Nolan Arenado,Alexi Amarista,Raimel Tapia,Bradley Zimmer,Carlos Gonzalez
Alex Wood,Zack Godley,Tucker Barnhart,Freddie Freeman,Scooter Gennett,Eugenio Suarez,Zack Cozart,Scott Schebler,Kole Calhoun,Byron Buxton
Alex Wood,Trevor Bauer,James McCann,Miguel Cabrera,Jose Peraza,Nicholas Castellanos,Jose Iglesias,George Springer,Billy Hamilton,JD Martinez
Alex Wood,Trevor Bauer,Ryan Hanigan,Mark Reynolds,Brandon Phillips,Nolan Arenado,Pat Valaika,Charlie Blackmon,Scott Schebler,Kole Calhoun
Alex Wood,Mike Leake,Tucker Barnhart,Joey Votto,Jose Peraza,Eugenio Suarez,Alexi Amarista,Billy Hamilton,Michael Brantley,Raimel Tapia
Jacob deGrom,Trevor Bauer,Tucker Barnhart,Joey Votto,Brandon Phillips,Eugenio Suarez,Jose Iglesias,Billy Hamilton,Scott Schebler,Hunter Pence
Jacob deGrom,Ben Lively,Tucker Barnhart,Joey Votto,Jose Peraza,Nolan Arenado,Zack Cozart,Billy Hamilton,Hunter Pence,Gorkys Hernandez
Alex Wood,Ben Lively,Jason Castro,Mark Reynolds,Jose Peraza,Nolan Arenado,Alexi Amarista,Charlie Blackmon,George Springer,Raimel Tapia
Alex Wood,Trevor Bauer,James McCann,Miguel Cabrera,Ian Kinsler,Nicholas Castellanos,Francisco Lindor,Charlie Blackmon,Bradley Zimmer,Mikie Mahtook
Gerrit Cole,Zack Godley,Tucker Barnhart,Joey Votto,Jose Peraza,Eugenio Suarez,Francisco Lindor,Charlie Blackmon,Justin Upton,Scott Schebler
Alex Wood,Mike Leake,Tucker Barnhart,Miguel Cabrera,Jose Peraza,Nicholas Castellanos,Zack Cozart,Billy Hamilton,Ryan Braun,Scott Schebler
Alex Wood,Ariel Miranda,Francisco Cervelli,Joey Votto,Dee Gordon,Eugenio Suarez,Zack Cozart,Billy Hamilton,Shin-Soo Choo,Scott Schebler
Gerrit Cole,Trevor Bauer,Ryan Hanigan,Mark Reynolds,Ian Kinsler,Nolan Arenado,Francisco Lindor,Charlie Blackmon,Billy Hamilton,Raimel Tapia
Jacob deGrom,Edinson Volquez,Tucker Barnhart,Mark Reynolds,Scooter Gennett,Eugenio Suarez,Zack Cozart,Raimel Tapia,Shin-Soo Choo,Scott Schebler
Trevor Bauer,Ariel Miranda,James McCann,Joey Votto,Scooter Gennett,Eugenio Suarez,Zack Cozart,Mookie Betts,Billy Hamilton,Ryan Braun
Alex Wood,Zack Godley,Ryan Hanigan,Albert Pujols,Ian Kinsler,Nolan Arenado,Alexi Amarista,Billy Hamilton,Raimel Tapia,Carlos Gonzalez
Jacob deGrom,Trevor Bauer,Ryan Hanigan,Mark Reynolds,Rougned Odor,Nolan Arenado,Pat Valaika,Michael Brantley,Hunter Pence,Carlos Gonzalez
Alex Wood,Trevor Bauer,Jason Castro,Mark Reynolds,Brian Dozier,Miguel Sano,Zack Cozart,Max Kepler,Carlos Gonzalez,Byron Buxton
Jacob deGrom,Alex Wood,Nick Hundley,Buster Posey,Jose Peraza,Eugenio Suarez,Brandon Crawford,Hunter Pence,Carlos Gonzalez,Austin Slater
Zack Godley,Trevor Bauer,Tyler Flowers,Joey Votto,Scooter Gennett,Eugenio Suarez,Xander Bogaerts,Billy Hamilton,Raimel Tapia,Scott Schebler
Alex Wood,Trevor Bauer,Tucker Barnhart,Joey Votto,Ian Kinsler,Nicholas Castellanos,Jose Iglesias,JD Martinez,Justin Upton,Bradley Zimmer
Jacob deGrom,Parker Bridwell,Jonathan Lucroy,Joey Votto,Scooter Gennett,Eugenio Suarez,Francisco Lindor,Billy Hamilton,Scott Schebler,Carlos Gonzalez
Alex Wood,Ben Lively,Tucker Barnhart,Joey Votto,Jose Peraza,Miguel Sano,Brandon Crawford,Charlie Blackmon,Billy Hamilton,Scott Schebler
Jacob deGrom,Edinson Volquez,Tucker Barnhart,Miguel Cabrera,Jose Peraza,Eugenio Suarez,Zack Cozart,Charlie Blackmon,Billy Hamilton,Keon Broxton
Jacob deGrom,Edinson Volquez,Tucker Barnhart,Joey Votto,Jose Peraza,Nicholas Castellanos,Francisco Lindor,Billy Hamilton,Scott Schebler,Bradley Zimmer
Jacob deGrom,Trevor Bauer,Ryan Hanigan,Mark Reynolds,Jose Peraza,Manny Machado,Pat Valaika,Charlie Blackmon,Raimel Tapia,Bradley Zimmer
Alex Wood,Gerrit Cole,Tucker Barnhart,Joey Votto,Jose Peraza,Eugenio Suarez,Zack Cozart,JD Martinez,Gorkys Hernandez,Byron Buxton
Jacob deGrom,Trevor Bauer,Ryan Hanigan,Albert Pujols,Dee Gordon,Nolan Arenado,Brandon Crawford,Charlie Blackmon,Raimel Tapia,Carlos Gonzalez
Alex Wood,Trevor Bauer,Evan Gattis,Yuli Gurriel,Jose Altuve,Alex Bregman,Zack Cozart,George Springer,Carlos Gonzalez,Austin Slater
Zack Godley,Ariel Miranda,Tucker Barnhart,Joey Votto,Jose Peraza,Nicholas Castellanos,Zack Cozart,Charlie Blackmon,George Springer,Billy Hamilton
Alex Wood,Ariel Miranda,Yasmani Grandal,Mark Reynolds,Dee Gordon,Nolan Arenado,Pat Valaika,Charlie Blackmon,Justin Upton,Carlos Gonzalez
Gerrit Cole,Zack Godley,Tyler Flowers,Mark Reynolds,Jose Peraza,Nolan Arenado,Alexi Amarista,Mookie Betts,Charlie Blackmon,Carlos Gonzalez
Alex Wood,Trevor Bauer,Evan Gattis,Edwin Encarnacion,Jose Peraza,Manny Machado,Francisco Lindor,Michael Brantley,Abraham Almonte,Bradley Zimmer
Alex Wood,Ben Lively,Yasmani Grandal,Joey Votto,Scooter Gennett,Eugenio Suarez,Pat Valaika,Billy Hamilton,Scott Schebler,Seth Smith
Alex Wood,Trevor Bauer,James McCann,Freddie Freeman,Ian Kinsler,Nolan Arenado,Jose Iglesias,Billy Hamilton,Justin Upton,Mikie Mahtook
Jacob deGrom,Parker Bridwell,James McCann,Joey Votto,Jose Peraza,Eugenio Suarez,Zack Cozart,Billy Hamilton,Michael Brantley,Shin-Soo Choo
Jacob deGrom,Ben Lively,James McCann,Mark Reynolds,Jose Ramirez,Nolan Arenado,Alexi Amarista,Charlie Blackmon,Bradley Zimmer,Carlos Gonzalez
Gerrit Cole,Zack Godley,James McCann,Joey Votto,Rougned Odor,Eugenio Suarez,Zack Cozart,Billy Hamilton,Scott Schebler,Bradley Zimmer
Alex Wood,Zack Godley,Tucker Barnhart,Joey Votto,Scooter Gennett,Eugenio Suarez,Tzu-Wei Lin,Billy Hamilton,Gorkys Hernandez,Austin Slater
Alex Wood,Mike Leake,Tyler Flowers,Mark Reynolds,Brian Dozier,Nolan Arenado,Brandon Crawford,Charlie Blackmon,Raimel Tapia,Carlos Gonzalez
Gerrit Cole,Ariel Miranda,JT Realmuto,Joey Votto,Scooter Gennett,Eugenio Suarez,Zack Cozart,Charlie Blackmon,Scott Schebler,Carlos Gonzalez
Zack Godley,Trevor Bauer,Tucker Barnhart,Edwin Encarnacion,Jose Ramirez,Nolan Arenado,Francisco Lindor,Billy Hamilton,Michael Brantley,Bradley Zimmer
Alex Wood,Trevor Bauer,Martin Maldonado,Albert Pujols,Scooter Gennett,Yunel Escobar,Zack Cozart,Charlie Blackmon,Cameron Maybin,Kole Calhoun
Jacob deGrom,Ben Lively,Jason Castro,Freddie Freeman,Scooter Gennett,Eugenio Suarez,Zack Cozart,Billy Hamilton,Scott Schebler,Hunter Pence
Alex Wood,Trevor Bauer,Manny Pina,Eric Thames,Jonathan Villar,Manny Machado,Zack Cozart,Ryan Braun,Carlos Gonzalez,Keon Broxton
Alex Wood,Trevor Bauer,Francisco Cervelli,Josh Bell,Josh Harrison,David Freese,Zack Cozart,Charlie Blackmon,Andrew McCutchen,Carlos Gonzalez
Zack Godley,Mike Leake,Tucker Barnhart,Joey Votto,Scooter Gennett,Nolan Arenado,Francisco Lindor,Billy Hamilton,Shin-Soo Choo,Scott Schebler
Jacob deGrom,Trevor Bauer,Yasmani Grandal,Miguel Cabrera,Ian Kinsler,Nicholas Castellanos,Jose Iglesias,Billy Hamilton,Justin Upton,Carlos Gonzalez
Alex Wood,Trevor Bauer,Christian Vazquez,Mitch Moreland,Jose Peraza,Eugenio Suarez,Tzu-Wei Lin,Mookie Betts,Jackie Bradley,Carlos Gonzalez
Jacob deGrom,Trevor Bauer,James McCann,Victor Martinez,Jose Peraza,Nicholas Castellanos,Zack Cozart,JD Martinez,Shin-Soo Choo,Justin Upton
Alex Wood,Zack Godley,James McCann,Victor Martinez,Ian Kinsler,Nicholas Castellanos,Zack Cozart,Billy Hamilton,Carlos Gonzalez,Mikie Mahtook
Jacob deGrom,Matt Garza,Evan Gattis,Buster Posey,Jose Peraza,Nolan Arenado,Alexi Amarista,Charlie Blackmon,Raimel Tapia,Carlos Gonzalez
Jacob deGrom,Gerrit Cole,Tucker Barnhart,Albert Pujols,Jose Peraza,Eugenio Suarez,Zack Cozart,Jackie Bradley,Scott Schebler,Hunter Pence
Zack Godley,Mike Leake,Evan Gattis,Joey Votto,Scooter Gennett,Eugenio Suarez,Zack Cozart,Billy Hamilton,Michael Brantley,JD Martinez
Alex Wood,Matt Garza,Tucker Barnhart,Joey Votto,Scooter Gennett,Alex Bregman,Zack Cozart,Charlie Blackmon,Scott Schebler,Gorkys Hernandez
Alex Wood,Gerrit Cole,Ryan Hanigan,Joey Votto,Jose Peraza,David Freese,Zack Cozart,Billy Hamilton,Scott Schebler,Austin Slater
Alex Wood,Edinson Volquez,Ryan Hanigan,Joey Votto,Scooter Gennett,Alex Bregman,Alexi Amarista,Charlie Blackmon,Raimel Tapia,Carlos Gonzalez
Jacob deGrom,Edinson Volquez,Francisco Cervelli,Joey Votto,Scooter Gennett,Eugenio Suarez,Zack Cozart,Billy Hamilton,Seth Smith,Austin Slater
Alex Wood,Matt Garza,Christian Vazquez,Joey Votto,Scooter Gennett,Eugenio Suarez,Zack Cozart,Billy Hamilton,Justin Upton,Matt Kemp
Gerrit Cole,Ben Lively,Tucker Barnhart,Buster Posey,Scooter Gennett,Eugenio Suarez,Zack Cozart,Mookie Betts,Charlie Blackmon,Billy Hamilton
Alex Wood,Mike Leake,Ryan Hanigan,Mark Reynolds,Jose Altuve,Nolan Arenado,Alexi Amarista,George Springer,Scott Schebler,Carlos Gonzalez
Alex Wood,Ariel Miranda,Tucker Barnhart,Joey Votto,Scooter Gennett,Eugenio Suarez,Brandon Crawford,George Springer,Justin Upton,Scott Schebler
Jacob deGrom,Ben Lively,Evan Gattis,Mark Reynolds,Ian Kinsler,Eugenio Suarez,Pat Valaika,Charlie Blackmon,Raimel Tapia,Carlos Gonzalez
Jacob deGrom,Ben Lively,Evan Gattis,Joey Votto,Jose Peraza,Eugenio Suarez,Alexi Amarista,Billy Hamilton,Ryan Braun,Scott Schebler
Alex Wood,Ariel Miranda,Francisco Cervelli,Miguel Cabrera,Jonathan Villar,Nolan Arenado,Alexi Amarista,Charlie Blackmon,Raimel Tapia,Carlos Gonzalez
Gerrit Cole,Trevor Bauer,Ryan Hanigan,Freddie Freeman,Scooter Gennett,Nolan Arenado,Pat Valaika,Mookie Betts,Raimel Tapia,Carlos Gonzalez
Jacob deGrom,Parker Bridwell,Nick Hundley,Mark Reynolds,Rougned Odor,Nolan Arenado,Francisco Lindor,Charlie Blackmon,Raimel Tapia,Carlos Gonzalez
Alex Wood,Trevor Bauer,Martin Maldonado,Edwin Encarnacion,Erik Gonzalez,Nolan Arenado,Francisco Lindor,Lonnie Chisenhall,Bradley Zimmer,Carlos Gonzalez
Alex Wood,Edinson Volquez,Nick Hundley,Mark Reynolds,Ian Kinsler,Nolan Arenado,Pat Valaika,Charlie Blackmon,Raimel Tapia,Bradley Zimmer
Jacob deGrom,Trevor Bauer,James McCann,Miguel Cabrera,Ian Kinsler,Nolan Arenado,Jose Iglesias,JD Martinez,Scott Schebler,Bradley Zimmer
Alex Wood,Gerrit Cole,Ryan Hanigan,Mark Reynolds,Brian Dozier,Nicholas Castellanos,Alexi Amarista,Charlie Blackmon,Carlos Gonzalez,Kole Calhoun
Alex Wood,Trevor Bauer,Jason Castro,Joey Votto,Brian Dozier,Eugenio Suarez,Jorge Polanco,Eddie Rosario,Robbie Grossman,Carlos Gonzalez
Alex Wood,Mike Leake,Ryan Hanigan,Mark Reynolds,Jonathan Villar,Manny Machado,Pat Valaika,Charlie Blackmon,Billy Hamilton,Carlos Gonzalez
Alex Wood,Trevor Bauer,JT Realmuto,Mark Reynolds,Dee Gordon,Derek Dietrich,Zack Cozart,Giancarlo Stanton,Christian Yelich,Carlos Gonzalez
Gerrit Cole,Mike Leake,Tucker Barnhart,Joey Votto,Jose Altuve,Eugenio Suarez,Zack Cozart,George Springer,Billy Hamilton,Seth Smith
Alex Wood,Ariel Miranda,Ryan Hanigan,Joey Votto,Brian Dozier,Nolan Arenado,Pat Valaika,Raimel Tapia,Scott Schebler,Carlos Gonzalez
Alex Wood,Zack Godley,James McCann,Miguel Cabrera,Ian Kinsler,Manny Machado,Jose Iglesias,Charlie Blackmon,Justin Upton,Seth Smith
Jacob deGrom,Ariel Miranda,Tucker Barnhart,Joey Votto,Scooter Gennett,Eugenio Suarez,Alexi Amarista,Billy Hamilton,Shin-Soo Choo,Kole Calhoun
Alex Wood,Jaime Garcia,Tucker Barnhart,Joey Votto,Scooter Gennett,Nicholas Castellanos,Zack Cozart,Billy Hamilton,Shin-Soo Choo,Byron Buxton
Alex Wood,Zack Godley,Tucker Barnhart,Joey Votto,Andres Blanco,Cory Spangenberg,Zack Cozart,Billy Hamilton,Scott Schebler,Matt Kemp
Jacob deGrom,Trevor Bauer,Welington Castillo,Trey Mancini,Jose Peraza,Manny Machado,Zack Cozart,Charlie Blackmon,Seth Smith,Adam Jones
Zack Godley,Joe Musgrove,Tucker Barnhart,Joey Votto,Jose Ramirez,Eugenio Suarez,Zack Cozart,George Springer,Scott Schebler,Carlos Gonzalez
Alex Wood,Trevor Bauer,Evan Gattis,Miguel Cabrera,Scooter Gennett,Nicholas Castellanos,Alexi Amarista,JD Martinez,Justin Upton,Mikie Mahtook
Jacob deGrom,Trevor Bauer,James McCann,Miguel Cabrera,Jose Peraza,Eugenio Suarez,Jose Iglesias,Charlie Blackmon,Justin Upton,Mikie Mahtook
Jacob deGrom,Zack Godley,Ryan Hanigan,Mark Reynolds,Brandon Phillips,Nolan Arenado,Alexi Amarista,Shin-Soo Choo,Justin Upton,Carlos Gonzalez
Alex Wood,Joe Musgrove,Tucker Barnhart,Matt Carpenter,Brian Dozier,Eugenio Suarez,Zack Cozart,Billy Hamilton,Scott Schebler,Hunter Pence
Alex Wood,Trevor Bauer,Tucker Barnhart,Joey Gallo,Rougned Odor,Eugenio Suarez,Francisco Lindor,Shin-Soo Choo,Nomar Mazara,Carlos Gomez
Jacob deGrom,Trevor Bauer,Tucker Barnhart,Miguel Cabrera,Ian Kinsler,Nicholas Castellanos,Zack Cozart,JD Martinez,Seth Smith,Mikie Mahtook
Alex Wood,Trevor Bauer,Nick Hundley,Buster Posey,Jose Altuve,Kelby Tomlinson,Brandon Crawford,Charlie Blackmon,Billy Hamilton,Hunter Pence
