Rk,ID,Player,Pos,Team,Opp,Week,Snaps,Snap Pct,Rush Pct,Tgt Pct,Touch Pct,Util Pct,Fantasy Points,Points/100 Snaps
1,459,Sidney Rice,WR,SEA,JAX,3,32,47,0,22,16,22,24.90,62.2
2,13036,Justin Houston,OLB,KC,PHI,3,65,100,0,0,0,0,0,60.5
3,13124,DeMarco Murray,RB,DAL,LA,3,48,77,54,6,60,60,32.30,54.8
4,7491,DJ Williams,ILB,CHI,PIT,3,28,42,0,0,0,0,0,54.6
5,14916,Giovani Bernard,RB,CIN,GB,3,30,54,33,13,47,47,19.90,53
6,12109,Ted Ginn,WR,CAR,NYG,3,28,37,4,14,14,18,17.20,50.7
7,5412,Jason Snelling,RB,ATL,MIA,3,34,48,32,15,44,47,21.10,50.3
8,11455,Greg Hardy,DE,CAR,NYG,3,41,79,0,0,0,0,0,49
9,11056,Antonio Brown,WR,PIT,CHI,3,65,99,0,20,14,20,43.60,48.6
10,13069,Denarius Moore,WR,OAK,DEN,3,39,72,0,28,15,28,27.40,47.2
11,14536,Russell Wilson,QB,SEA,JAX,3,47,69,4,0,49,49,23.48,45.7
12,2220,Ahmad Bradshaw,RB,IND,SF,3,38,53,50,11,58,61,20.10,45
13,7242,Drew Brees,QB,NO,ARI,3,75,100,8,0,69,69,35.78,42.4
14,11488,Jimmy Graham,TE,NO,ARI,3,60,80,0,25,15,25,37.40,42.3
15,3382,Marcel Reece,FB,OAK,DEN,3,25,46,0,20,16,20,14.50,42
16,11932,LeSean McCoy,RB,PHI,KC,3,52,80,39,2,39,40,24.80,41.9
17,12925,Jake Locker,QB,TEN,SD,3,69,100,7,0,61,61,28.76,41.7
18,13320,Cam Newton,QB,CAR,NYG,3,71,93,10,0,48,48,30.42,41.4
19,8670,Robert Ayers Jr,DE,DEN,OAK,3,30,56,0,0,0,0,0,40.7
20,9051,Clay Matthews,OLB,GB,CIN,3,26,46,0,0,0,0,0,40.4
21,4877,Demarcus Ware,OLB,DAL,LA,3,39,57,0,0,0,0,0,40.3
22,13741,Brandon Bolden,RB,NE,TB,3,25,34,12,24,32,36,15,40
23,11463,Brandon LaFell,WR,CAR,NYG,3,44,58,0,11,7,11,20.30,39.3
24,2699,Matt Forte,RB,CHI,PIT,3,44,71,36,9,46,46,21.10,38.9
25,12762,Daniel Thomas,RB,MIA,ATL,3,25,45,20,4,24,24,10.70,38.8
26,15135,Johnathan Franklin,RB,GB,CIN,3,43,53,30,7,37,37,23.60,38.6
27,12861,Jordan Cameron,TE,CLE,MIN,3,65,89,0,17,9,17,30.60,37.8
28,13693,Terrelle Pryor,WR,OAK,DEN,3,50,93,8,0,64,64,18.84,37.7
29,11611,Golden Tate,WR,SEA,JAX,3,31,46,7,26,23,32,16.70,37.7
30,11182,Eric Decker,WR,DEN,OAK,3,52,68,0,15,15,15,30.30,37.1
31,15122,Ezekiel Ansah,DE,DET,WAS,3,48,62,0,0,0,0,0,36.7
32,12323,Joique Bell,RB,DET,WAS,3,53,79,38,9,45,47,23.20,36.2
33,11697,Santonio Holmes,WR,NYJ,BUF,3,60,77,0,17,8,17,29.40,35.7
34,5400,Osi Umenyiora,OLB,ATL,MIA,3,47,84,0,0,0,0,0,35.3
35,5741,Robert Meachem,WR,NO,ARI,3,27,36,0,7,7,7,11.40,34.8
36,7969,Jamaal Charles,RB,KC,PHI,3,70,84,29,11,39,40,30.20,33.1
37,3867,Tony Romo,QB,DAL,LA,3,62,100,0,0,39,39,20.40,32.9
38,13902,Trent Richardson,RB,IND,SF,3,29,40,45,10,45,55,9.50,32.8
39,13870,Marvin Jones,WR,CIN,GB,3,30,54,0,13,10,13,12.80,32.7
40,7328,Peyton Manning,QB,DEN,OAK,3,76,100,4,0,53,53,28.76,32.6
41,14587,Josh Gordon,WR,CLE,MIN,3,70,96,1,27,16,29,35.80,32.6
42,13237,MD Jennings,SS,GB,CIN,3,52,93,0,0,0,0,0,32.5
43,12880,Jabaal Sheard,DE,CLE,MIN,3,34,43,0,0,0,0,0,32.4
44,9038,Matthew Stafford,QB,DET,WAS,3,67,100,2,0,64,64,25.60,32.2
45,14895,Geno Smith,QB,NYJ,BUF,3,78,100,5,0,42,42,29.64,31.6
46,7816,Darnell Dockett,DT,ARI,NO,3,55,73,0,0,0,0,0,31.6
47,14269,Alfred Morris,RB,WAS,DET,3,43,56,35,2,35,37,13.30,30.9
48,9049,Brad Jones,ILB,GB,CIN,3,56,100,0,0,0,0,0,30.4
49,5353,Daryl Smith,OLB,BAL,HOU,3,65,100,0,0,0,0,0,30
50,11371,Major Wright,SS,CHI,PIT,3,65,99,0,0,0,0,0,30
51,13285,Akeem Dent,ILB,ATL,MIA,3,38,68,0,0,0,0,0,29.5
52,4992,Justin Durant,OLB,DAL,LA,3,31,45,0,0,0,0,0,29
53,3825,Erin Henderson,ILB,MIN,CLE,3,72,99,0,0,0,0,0,28.8
54,12460,Clinton McDonald,DT,SEA,JAX,3,37,56,0,0,0,0,0,28.4
55,4631,Wes Welker,WR,DEN,OAK,3,51,67,0,16,14,16,21.40,28.2
56,4484,Zach Miller,TE,SEA,JAX,3,45,66,0,7,4,7,14.50,27.8
57,13270,Christian Ponder,QB,MIN,CLE,3,79,100,6,0,60,60,23.72,27.5
58,15691,Melvin White,CB,CAR,NYG,3,33,64,0,0,0,0,0,27.3
59,7580,DeAngelo Williams,RB,CAR,NYG,3,43,57,54,5,56,58,15.70,27.2
60,8435,Michael Johnson,DE,CIN,GB,3,70,86,0,0,0,0,0,27
61,1986,Jason Avant,WR,PHI,KC,3,55,85,0,15,9,15,19.70,26.7
62,7884,Antonio Gates,TE,SD,TEN,3,43,73,0,16,12,16,16.50,26.7
63,2730,Donnie Avery,WR,KC,PHI,3,53,64,0,13,13,13,24.10,26.6
64,6029,Calvin Johnson,WR,DET,WAS,3,66,99,0,20,11,20,27.50,26.5
65,14687,Bernard Pierce,RB,BAL,HOU,3,50,79,48,4,52,52,15.20,26.4
66,13999,Jerrell Freeman,ILB,IND,SF,3,53,100,0,0,0,0,0,26
67,12806,Muhammad Wilkerson,DE,NYJ,BUF,3,80,93,0,0,0,0,0,25.8
68,11773,Jason Babin,OLB,JAX,SEA,3,40,59,0,0,0,0,0,25.8
69,3807,Ben Roethlisberger,QB,PIT,CHI,3,66,100,3,0,65,65,23.94,25.7
70,13338,Cameron Jordan,DE,NO,ARI,3,54,93,0,0,0,0,0,25.7
71,8358,Brian Hoyer,QB,CLE,MIN,3,73,100,1,0,75,75,24.64,25.5
72,7308,Maurice Jones-Drew,RB,JAX,SEA,3,48,73,40,10,44,50,14.20,25.4
73,13799,Ryan Tannehill,QB,MIA,ATL,3,56,100,4,0,66,66,16.14,25.2
74,12800,Bilal Powell,RB,NYJ,BUF,3,63,81,43,5,46,48,20.80,25.1
75,11205,Eric Berry,SS,KC,PHI,3,65,100,0,0,0,0,0,24.6
76,8066,Darren McFadden,RB,OAK,DEN,3,47,87,26,2,28,30,11.54,24.6
77,13791,Lamar Miller,RB,MIA,ATL,3,26,46,31,12,35,42,7.40,24.6
78,9447,Michael Vick,QB,PHI,KC,3,65,100,6,0,52,52,18.94,24.5
79,12841,Andy Dalton,QB,CIN,GB,3,56,100,7,0,57,57,15.70,24.5
80,5820,Frank Gore,RB,SF,IND,3,42,79,26,10,31,36,12.30,24.5
81,12317,Danny Woodhead,RB,SD,TEN,3,27,46,19,30,44,48,14.60,24.4
82,8330,Brian Hartline,WR,MIA,ATL,3,48,86,0,13,8,13,15.60,24.2
83,11464,Robert McClain,CB,ATL,MIA,3,43,77,0,0,0,0,0,24.2
84,1061,Charles Johnson,DE,CAR,NYG,3,41,79,0,0,0,0,0,24.1
85,15417,Kenbrell Thompkins,WR,NE,TB,3,67,91,0,10,5,10,19.10,24
86,6506,AJ Hawk,OLB,GB,CIN,3,48,86,0,0,0,0,0,24
87,4807,Adrian Peterson,RB,MIN,CLE,3,65,82,39,9,48,48,22.50,23.8
88,12955,JJ Watt,DE,HOU,BAL,3,60,95,0,0,0,0,0,23.8
89,13817,Stephen Hill,WR,NYJ,BUF,3,71,91,0,9,4,9,22.80,23.7
90,13896,John Hughes,DT,CLE,MIN,3,30,38,0,0,0,0,0,23.7
91,13291,Julio Jones,WR,ATL,MIA,3,52,73,2,23,19,25,24.20,23.5
92,14868,EJ Manuel,QB,BUF,NYJ,3,86,100,7,0,56,56,19.72,22.9
93,13002,Cecil Shorts,WR,JAX,SEA,3,63,96,0,24,13,24,25.30,22.7
94,14894,Sheldon Richardson,OLB,NYJ,BUF,3,41,48,0,0,0,0,0,22.7
95,14635,Mark Barron,OLB,TB,NE,3,71,100,0,0,0,0,0,22.4
96,14534,Bobby Wagner,ILB,SEA,JAX,3,49,74,0,0,0,0,0,22.4
97,8564,Nate Washington,WR,TEN,SD,3,59,86,0,17,14,17,24.10,22.2
98,2163,Jason Hatcher,DE,DAL,LA,3,40,58,0,0,0,0,0,22
99,292,Brandon Mebane,NT,SEA,JAX,3,30,46,0,0,0,0,0,21.7
100,6681,DeAngelo Hall,FS,WAS,DET,3,67,100,0,0,0,0,0,21.6
101,8880,Mathias Kiwanuka,DE,NYG,CAR,3,44,58,0,0,0,0,0,21.6
102,13299,Jacquizz Rodgers,RB,ATL,MIA,3,43,61,42,7,47,49,11.30,21.6
