"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
23,748439864,"ross1236 (3/10)",0,194.65,"P A.J. Griffin 3B Joey Gallo 2B Robinson Canó C Tuffy Gosewisch P Max Scherzer SS Jean Segura 1B Tommy Joseph OF Bryce Harper OF Ben Gamel OF Kevin Pillar",NA,"Edwin Encarnación","16.33%",6
24,748401107,"Reachin_4_cash",0,192.65,"P A.J. Griffin OF Shin-soo Choo 3B Joey Gallo 1B Ryan Rua OF Adam Jones P Max Scherzer 2B Daniel Murphy SS Freddy Galvis OF Odúbel Herrera C Cameron Rupp",NA,"Francisco Lindor","15.82%",7
25,748389799,"BarOfSoap (1/10)",0,191.65,"P A.J. Griffin 2B Rougned Odor OF Shin-soo Choo 3B Joey Gallo OF Nomar Mazara P Max Scherzer SS Freddy Galvis 1B Tommy Joseph OF Aaron Altherr C Cameron Rupp",NA,"Ryan Rua","15.82%",18
25,748389808,"BarOfSoap (10/10)",0,191.65,"P A.J. Griffin 2B Rougned Odor OF Shin-soo Choo 3B Joey Gallo C Robinson Chirinos 1B Ryan Zimmerman P Max Scherzer OF Jarrod Dyson SS Jean Segura OF Ben Gamel",NA,"Ryan Schimpf","14.97%",0
27,748457953,"dlee5555 (1/2)",0,191.35,"3B Joey Gallo OF Ryan Rua C Austin Hedges OF Allen Cordoba 2B Robinson Canó P Carlos Carrasco P Max Scherzer SS Jean Segura 1B Tommy Joseph OF Aaron Altherr",NA,"Robinson Canó","14.63%",21
27,748457997,"dlee5555 (2/2)",0,191.35,"3B Joey Gallo OF Ryan Rua C Austin Hedges OF Allen Cordoba 2B Robinson Canó P Carlos Carrasco P Max Scherzer SS Jean Segura 1B Tommy Joseph OF Aaron Altherr",NA,"César Hernández","14.29%",14
29,748378100,"petelin (1/3)",0,191.2,"P A.J. Griffin 3B Joey Gallo C Robinson Chirinos OF Jayson Werth 2B Robinson Canó P Carlos Carrasco 1B Chris Davis SS Jean Segura OF Aaron Altherr OF Odúbel Herrera",NA,"Austin Hedges","13.86%",0
30,748410357,"deathpig (3/3)",0,189.35,"OF Shin-soo Choo 3B Joey Gallo SS Elvis Andrus C Austin Hedges P Carlos Carrasco P Max Scherzer 1B Danny Valencia OF Aaron Altherr 2B César Hernández OF Ben Gamel",NA,"Cameron Rupp","12.41%",10
31,748362641,"rappy114",0,189.2,"P A.J. Griffin OF Shin-soo Choo OF Carlos Gómez 3B Joey Gallo SS Elvis Andrus 2B Robinson Canó P Carlos Carrasco 1B Ryan Zimmerman C Matt Wieters OF Ben Gamel",NA,"Ben Gamel","11.90%",37
32,748412599,"andygcu (1/2)",0,188.35,"C Robinson Chirinos OF Allen Cordoba P Carlos Carrasco P Max Scherzer 1B Danny Valencia 3B Anthony Rendon SS Jean Segura OF Aaron Altherr 2B César Hernández OF Ben Gamel",NA,"Manuel Margot","10.63%",2
32,748470081,"andygcu (2/2)",0,188.35,"OF Carlos Gómez C Robinson Chirinos 1B Ryan Rua P Carlos Carrasco P Max Scherzer 3B Anthony Rendon SS Jean Segura 2B César Hernández OF Ben Gamel OF Guillermo Heredia",NA,"Yan Gomes","10.46%",25
34,748457589,"jacksmithcollector (1/4)",0,188.2,"P A.J. Griffin 3B Joey Gallo OF Ryan Rua P Carlos Carrasco 1B Ryan Zimmerman 2B Daniel Murphy SS Freddy Galvis C Cameron Rupp OF Bryce Harper OF Ben Gamel",NA,"Wil Myers","10.29%",3
