"Rank","TRank","Price","Ratio","Value","Name","Team","Game","Pos","Order","R","HR","RBI","SB","AB","1B","2B","3B","BB","HBP","CS","W","SO","IP","CG","SHO","ER","H","BB__1","HBP__1"
1,1,4200,109.52380952381,46,"Matt Kemp","ATL",NA,"OF",4,3,3,5,0,5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,8100,51.1728395061728,41.45,"Ivan Nova","PIT",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,9,1,1,0,3,0,0
3,2,3500,108.571428571429,38,"Michael Conforto","NYM",NA,"OF",1,2,2,3,1,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,3,3800,94.7368421052632,36,"Carlos Gomez","TEX",NA,"OF",3,2,1,3,0,4,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,4,4200,80.9523809523809,34,"Aaron Judge","NYY",NA,"OF",7,4,1,2,1,2,1,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2,6800,49.3382352941176,33.55,"Andrew Triggs","OAK",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,7,0,0,0,5,0,2
7,5,4000,80,32,"Jose Abreu","CHW",NA,"1B",4,2,2,2,0,3,0,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,6,3600,88.8888888888889,32,"Brett Gardner","NYY",NA,"OF",1,2,2,4,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,7,4300,72.0930232558139,31,"Wil Myers","SD",NA,"1B",3,2,1,3,1,5,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,3,10100,28.1188118811881,28.4,"Michael Pineda","NYY",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,5.33333333333333,0,0,0,5,1,0
11,8,3100,90.3225806451613,28,"Cody Bellinger","LAD",NA,"1B/OF",6,2,2,2,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,4,11900,22.9411764705882,27.3,"Yu Darvish","TEX",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10,6,0,0,1,3,4,0
13,9,2600,96.1538461538462,25,"Austin Romine","NYY",NA,"C",9,1,1,5,0,3,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,10,4600,52.1739130434783,24,"Ryan Zimmerman","WAS",NA,"1B",4,1,1,3,0,4,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,11,2900,82.7586206896552,24,"Justin Smoak","TOR",NA,"1B",5,2,1,2,0,3,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,12,5100,43.1372549019608,22,"Freddie Freeman","ATL",NA,"1B/3B",3,2,0,1,1,5,2,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,13,2900,75.8620689655172,22,"Andrew Knapp","PHI",NA,"C",8,1,1,1,0,4,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,14,4000,52.5,21,"Mark Reynolds","COL",NA,"1B",5,1,1,3,0,5,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,5,9800,21.0714285714286,20.65,"Danny Salazar","CLE",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,6.33333333333333,0,0,3,3,3,0
20,6,7400,27.9054054054054,20.65,"Joe Musgrove","HOU",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,6.33333333333333,0,0,1,5,1,0
21,7,8400,24.3452380952381,20.45,"Francisco Liriano","TOR",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,5,0,0,1,4,4,0
22,8,10100,19.9009900990099,20.1,"Zack Greinke","ARI",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,6,0,0,3,7,2,0
23,15,2200,90.9090909090909,20,"Allen Cordoba","SD",NA,"SS/OF",9,2,1,3,0,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,16,4600,43.4782608695652,20,"Jake Lamb","ARI",NA,"3B",4,2,1,2,0,3,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,9,7700,25.5194805194805,19.65,"Matt Cain","SF",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,5,0,0,1,6,0,0
26,17,3600,52.7777777777778,19,"Dansby Swanson","ATL",NA,"SS",8,1,1,2,0,5,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,18,2500,76,19,"Caleb Joseph","BAL",NA,"C",9,1,1,2,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,19,4200,45.2380952380952,19,"Ender Inciarte","ATL",NA,"OF",1,2,0,0,1,4,1,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,20,3400,55.8823529411765,19,"Victor Martinez","DET",NA,"1B",4,1,1,2,0,5,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,21,3700,51.3513513513513,19,"Jose Reyes","NYM",NA,"SS/3B",6,2,1,1,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,22,5000,38,19,"Jose Altuve","HOU",NA,"2B",3,1,1,1,0,3,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,23,2800,64.2857142857143,18,"John Jaso","PIT",NA,"1B/OF",6,1,1,2,0,3,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,24,2600,69.2307692307692,18,"Brock Stassi","PHI",NA,"1B/OF",7,1,1,3,0,5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,25,3200,56.25,18,"Ryan Schimpf","SD",NA,"3B",5,3,0,1,0,4,1,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,10,6700,25.4477611940299,17.05,"Jhoulys Chacin","SD",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,5,0,0,3,5,2,0
36,26,3400,50,17,"Brandon Drury","ARI",NA,"2B",6,1,1,1,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,27,4500,37.7777777777778,17,"Jonathan Villar","MIL",NA,"2B",1,1,0,0,1,3,1,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,28,3300,51.5151515151515,17,"Miguel Montero","TOR",NA,"C",7,1,1,1,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,29,2800,60.7142857142857,17,"Jed Lowrie","OAK",NA,"2B",2,1,1,1,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,11,5700,29.3859649122807,16.75,"Zach Eflin","PHI",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,7,0,0,2,4,0,1
41,30,3300,48.4848484848485,16,"Tyler Flowers","ATL",NA,"C",7,1,0,1,0,5,4,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,31,5300,30.188679245283,16,"Anthony Rizzo","CHC",NA,"1B",3,1,1,2,0,5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,32,4300,37.2093023255814,16,"Ben Zobrist","CHC",NA,"2B/OF",4,1,1,2,0,5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,33,2900,55.1724137931034,16,"Andrew Toles","LAD",NA,"OF",1,1,1,1,0,4,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,34,4200,38.0952380952381,16,"Rougned Odor","TEX",NA,"2B",4,1,1,2,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,35,3900,41.025641025641,16,"Andrew Benintendi","BOS",NA,"OF",2,1,1,2,0,3,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,36,4700,34.0425531914894,16,"Trevor Story","COL",NA,"SS",7,1,1,1,0,3,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,37,4800,33.3333333333333,16,"Nelson Cruz","SEA",NA,"OF",4,1,1,2,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,38,4400,36.3636363636364,16,"Kyle Seager","SEA",NA,"3B",5,1,1,1,0,3,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,39,5100,31.3725490196078,16,"Kris Bryant","CHC",NA,"3B",2,2,0,0,0,4,0,2,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,12,4000,37.875,15.15,"Hansel Robles","NYM",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1.66666666666667,0,0,0,0,1,0
52,40,4000,37.5,15,"Nick Markakis","ATL",NA,"OF",5,2,0,0,0,5,2,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,13,5800,24.3103448275862,14.1,"Yovani Gallardo","SEA",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,6,0,0,4,6,3,0
54,14,6600,21.3636363636364,14.1,"Jaime Garcia","ATL",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,6,0,0,2,3,5,1
55,15,7000,20.0714285714286,14.05,"Derek Holland","CHW",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,6.33333333333333,0,0,2,5,2,0
56,41,2200,63.6363636363636,14,"Jeff Mathis","ARI",NA,"C",8,1,1,1,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
