QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Matt Ryan (7988807),Todd Gurley (7988944),Spencer Ware (7988967),Julio Jones (7989069),DeAndre Hopkins (7989116),Anquan Boldin (7989147),Greg Olsen (7989208),Frank Gore (7988920),Patriots  (7989682)
Matt Ryan (7988807),Todd Gurley (7988944),Dion Lewis (7988873),Antonio Brown (7989126),Julio Jones (7989069),Allen Robinson (7989028),Eric Ebron (7989263),Isaiah Crowell (7988899),Patriots  (7989682)
Matthew Stafford (7988847),Le'Veon Bell (7988957),Todd Gurley (7988944),Steve Smith Sr. (7989122),Allen Robinson (7989028),Marvin Jones Jr. (7989154),Greg Olsen (7989208),Spencer Ware (7988967),Patriots  (7989682)
Matt Ryan (7988807),Le'Veon Bell (7988957),Spencer Ware (7988967),Julio Jones (7989069),Pierre Garcon (7989057),Jeremy Kerley (7989103),Eric Ebron (7989263),Mark Ingram (7988862),Patriots  (7989682)
Blake Bortles (7988786),Le'Veon Bell (7988957),Todd Gurley (7988944),Julio Jones (7989069),Pierre Garcon (7989057),Allen Robinson (7989028),Coby Fleener (7989170),Frank Gore (7988920),Patriots  (7989682)
Matt Ryan (7988807),Todd Gurley (7988944),Jordan Howard (7988911),Julio Jones (7989069),Pierre Garcon (7989057),Allen Robinson (7989028),Greg Olsen (7989208),Mark Ingram (7988862),Cowboys  (7989706)
Colin Kaepernick (7988821),Le'Veon Bell (7988957),Todd Gurley (7988944),Julio Jones (7989069),Corey Coleman (7989051),Jeremy Kerley (7989103),Greg Olsen (7989208),Dion Lewis (7988873),Patriots  (7989682)
Blake Bortles (7988786),Le'Veon Bell (7988957),Todd Gurley (7988944),Antonio Brown (7989126),Marqise Lee (7989026),Anquan Boldin (7989147),Eric Ebron (7989263),Spencer Ware (7988967),Patriots  (7989682)
Matt Ryan (7988807),Le'Veon Bell (7988957),Isaiah Crowell (7988899),Julio Jones (7989069),Steve Smith Sr. (7989122),Marqise Lee (7989026),Greg Olsen (7989208),Jermaine Kearse (7989092),Patriots  (7989682)
Matt Ryan (7988807),Le'Veon Bell (7988957),Todd Gurley (7988944),Julio Jones (7989069),Sammy Watkins (7988990),Jermaine Kearse (7989092),Coby Fleener (7989170),Spencer Ware (7988967),Saints  (7989680)
