"Place_lo","Place_hi","Payout"
"1","1","3000"
"2","2","1000"
"3","3","750"
"4","4","600"
"5","5","500"
"6","7","400"
"8","10","300"
"11","15","250"
"16","22","200"
"23","34","150"
"35","57","100"
"58","90","80"
"91","141","60"
