"Aaron Judge_NYY","Mookie Betts_BOS","Jackie Bradley_BOS","JD Martinez_DET","Brett Gardner_NYY","Andrew Benintendi_BOS","Justin Upton_DET","Gary Sanchez_NYY","Josh Donaldson_TOR","Xander Bogaerts_BOS","Dustin Pedroia_BOS","Justin Smoak_TOR","Russell Martin_TOR","Matt Holliday_NYY","Ian Kinsler_DET","Alex Avila_DET","Hanley Ramirez_BOS","Mitch Moreland_BOS","Didi Gregorius_NYY","Clint Frazier_NYY","Nicholas Castellanos_DET","Devon Travis_TOR","Jacoby Ellsbury_NYY","Miguel Cabrera_DET","Troy Tulowitzki_TOR","Chris Young_BOS","Aaron Hicks_NYY","Mason Williams_NYY","Kendrys Morales_TOR","Andrew Romine_DET","Kevin Pillar_TOR","Starlin Castro_NYY","Deven Marrero_BOS","Victor Martinez_DET","Jhonny Peralta_BOS","Chase Headley_NYY","Brock Holt_BOS","Greg Bird_NYY","Dustin Fowler_NYY","Jose Bautista_TOR","Pablo Sandoval_BOS","Chris Carter_NYY","Ronald Torreyes_NYY","Rob Refsnyder_NYY","Tyler Austin_NYY","Jorge Mateo_NYY","Miguel Andujar_NYY","Miguel Montero_TOR","Steve Pearce_TOR","Alex Presley_DET","Dixon Machado_DET","JaCoby Jones_DET","James McCann_DET","Christian Vazquez_BOS","Steve Selsky_BOS","Marco Hernandez_BOS","Tyler Wade_NYY","Ezequiel Carrera_TOR","John Hicks_DET","Dalton Pompey_TOR","Mikie Mahtook_DET","Tyler Collins_DET","Rowdy Tellez_TOR","Sandy Leon_BOS","Ji-Man Choi_NYY","Sam Travis_BOS","Jarrod Saltalamacchia_TOR","Jose Iglesias_DET","Josh Rutledge_BOS","Gleyber Torres_NYY","Jim Adduci_DET","Darwin Barney_TOR","Ryan Goins_TOR","Darrell Ceciliani_TOR","Chris Coghlan_TOR","Anthony Alford_TOR","Austin Romine_NYY","Matt den Dekker_DET","Dwight Smith_TOR","Luke Maile_TOR","Kyle Higashioka_NYY","Tzu-Wei Lin_BOS","Mike Ohlman_TOR","Ian Parmley_TOR","Harold Ramirez_TOR","Richard Urena_TOR"
0,63,50,0,0,59,0,0,0,57,65,0,0,0,0,0,51,56,0,0,0,0,0,0,0,29,0,0,0,0,0,0,23,0,0,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,32,0,12,0,0,0,0,0,0,0,33,0,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
0,0,0,0,0,0,0,0,39,0,0,73,47,0,0,0,0,0,0,0,0,38,0,0,45,0,0,0,67,0,69,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,2,33,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,3,0,0,0,0,37,45,0,16,0,0,0,4,24,0,0,2,0,0,0
0,0,0,0,0,0,0,0,32,0,0,47,54,0,0,0,0,0,0,0,0,26,0,0,40,0,0,0,52,0,53,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,24,29,0,11,0,0,0,4,5,0,0,0,0,0,0
60,0,0,0,53,0,0,38,0,0,0,0,0,62,0,0,0,0,44,0,0,0,29,0,0,0,43,2,0,0,0,60,0,0,0,52,0,0,0,0,0,38,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,3,0,0,0,0,0
0,0,0,37,0,0,56,0,0,0,0,0,0,0,60,37,0,0,0,0,0,0,0,49,0,0,0,0,0,25,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,7,32,0,0,0,0,0,8,0,24,23,0,0,0,0,0,48,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,31,0,0,41,0,0,0,0,0,0,0,37,44,0,0,0,0,0,0,0,36,0,0,0,0,0,23,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,2,9,0,0,0,0,0,4,0,9,17,0,0,0,0,0,36,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,66,54,0,0,56,0,0,0,62,51,0,0,0,0,0,67,55,0,0,0,0,0,0,0,25,0,0,0,0,0,0,28,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,36,0,13,0,0,0,0,0,0,0,31,0,8,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
0,68,56,0,0,67,0,0,0,63,56,0,0,0,0,0,55,70,0,0,0,0,0,0,0,25,0,0,0,0,0,0,23,0,0,0,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,37,0,16,0,0,0,0,0,0,0,33,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
57,0,0,0,54,0,0,46,0,0,0,0,0,44,0,0,0,0,59,5,0,0,25,0,0,0,38,3,0,0,0,46,0,0,0,48,0,0,0,0,0,39,22,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0
5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
