Rk,ID,Player,Pos,Week,Team,Opp,Pass Yds,TD,Int,Rush Yds,TD,Rec,Yds,TD,Sck,Int,FF,FR,Fantasy Points
1,13291,Julio Jones,WR,2,ATL,LA,0,0,0,0,0,11,182,1,0,0,0,0,38.20
2,2593,Aaron Rodgers,QB,2,GB,WAS,480,4,0,-3,0,0,0,0,0,0,0,0,37.90
3,9447,Michael Vick,QB,2,PHI,SD,428,2,0,34,1,0,-2,0,0,0,0,0,37.32
4,3943,DeSean Jackson,WR,2,PHI,SD,0,0,0,0,0,9,193,1,0,0,0,0,37.30
5,11488,Jimmy Graham,TE,2,NO,TB,0,0,0,0,0,10,179,1,0,0,0,0,36.90
6,12386,Marshawn Lynch,RB,2,SEA,SF,0,0,0,98,2,3,37,1,0,0,0,0,34.50
7,7389,Eddie Royal,WR,2,SD,PHI,0,0,0,0,0,7,90,3,0,0,0,0,34
8,8244,Philip Rivers,QB,2,SD,PHI,419,3,0,11,0,0,0,0,0,0,0,0,32.86
9,6029,Calvin Johnson,WR,2,DET,ARI,0,0,0,0,0,6,116,2,0,0,0,0,32.60
10,11270,Dez Bryant,WR,2,DAL,KC,0,0,0,0,0,9,141,1,0,0,0,0,32.10
11,6767,Pierre Garcon,WR,2,WAS,GB,0,0,0,0,0,8,143,1,0,0,0,0,31.30
12,13227,Randall Cobb,WR,2,GB,WAS,0,0,0,0,0,9,128,1,0,0,0,0,30.80
13,6302,James Jones,WR,2,GB,WAS,0,0,0,0,0,11,178,0,0,0,0,0,30.80
14,11527,Sam Bradford,QB,2,LA,ATL,352,3,1,25,0,0,0,0,0,0,0,0,30.58
15,12506,James Starks,RB,2,GB,WAS,0,0,0,132,1,4,36,0,0,0,0,0,29.80
16,8529,Mike Wallace,WR,2,MIA,IND,0,0,0,0,0,9,115,1,0,0,0,0,29.50
17,2950,Steve Johnson,WR,2,BUF,CAR,0,0,0,0,0,8,111,1,0,0,0,0,28.10
18,14986,DeAndre Hopkins,WR,2,HOU,TEN,0,0,0,0,0,7,117,1,0,0,0,0,27.70
19,11667,Brandon Marshall,WR,2,CHI,MIN,0,0,0,0,0,7,113,1,0,0,0,0,27.30
20,14257,Robert Griffin III,QB,2,WAS,GB,320,3,1,1,0,0,0,0,0,0,0,0,26.90
21,1181,Martellus Bennett,TE,2,CHI,MIN,0,0,0,0,0,7,76,2,0,0,0,0,26.60
22,2699,Matt Forte,RB,2,CHI,MIN,0,0,0,90,0,11,71,0,0,0,0,0,26.10
23,732,Matt Ryan,QB,2,ATL,LA,374,2,0,0,0,0,0,0,0,0,0,0,25.96
24,8699,Knowshon Moreno,RB,2,DEN,NYG,0,0,0,93,2,3,14,0,0,0,0,0,25.70
25,12751,Charles Clay,TE,2,MIA,IND,0,0,0,1,1,5,109,0,0,0,0,0,25
26,11932,LeSean McCoy,RB,2,PHI,SD,0,0,0,53,0,5,114,0,0,0,0,0,24.70
27,7969,Jamaal Charles,RB,2,KC,DAL,0,0,0,55,0,8,48,1,0,0,0,0,24.30
28,15215,Tavon Austin,WR,2,LA,ATL,0,0,0,8,0,6,47,2,0,0,0,0,23.50
29,7328,Peyton Manning,QB,2,DEN,NYG,307,2,0,-3,0,0,0,0,0,0,0,0,22.98
30,12246,Victor Cruz,WR,2,NYG,DEN,0,0,0,0,0,8,118,0,0,0,0,0,22.80
31,14008,Andrew Luck,QB,2,IND,MIA,321,1,1,38,0,0,0,0,0,0,0,0,22.64
32,6739,Alex Smith,QB,2,KC,DAL,223,2,0,57,0,0,0,0,0,0,0,0,22.62
33,7884,Antonio Gates,TE,2,SD,PHI,0,0,0,0,0,8,124,0,0,0,0,0,22.40
34,90,Seattle Seahawks,DST,2,SEA,SF,0,0,0,0,0,0,0,0,3,3,2,2,22
35,4633,Matt Schaub,QB,2,HOU,TEN,298,3,2,0,0,0,0,0,0,0,0,0,21.92
36,13391,Austin Pettis,WR,2,LA,ATL,0,0,0,0,0,8,78,1,0,0,0,0,21.80
37,8066,Darren McFadden,RB,2,OAK,JAX,0,0,0,129,0,4,28,0,0,0,0,0,21.70
38,4556,Jordy Nelson,WR,2,GB,WAS,0,0,0,0,0,3,66,2,0,0,0,0,21.60
39,8972,Jay Cutler,QB,2,CHI,MIN,290,3,2,9,0,0,0,0,0,0,0,0,21.50
40,1658,Greg Olsen,TE,2,CAR,BUF,0,0,0,0,0,7,84,1,0,0,0,0,21.40
41,14005,TY Hilton,WR,2,IND,MIA,0,0,0,0,0,6,124,0,0,0,0,0,21.40
42,8355,Julian Edelman,WR,2,NE,NYJ,0,0,0,4,0,13,78,0,0,0,0,0,21.20
43,67,Minnesota Vikings,DST,2,MIN,CHI,0,0,0,0,0,0,0,0,1,2,2,2,21
44,10949,CJ Spiller,RB,2,BUF,CAR,0,0,0,103,0,4,26,0,0,0,0,0,19.90
45,14916,Giovani Bernard,RB,2,CIN,PIT,0,0,0,38,1,1,27,1,0,0,0,0,19.50
46,13799,Ryan Tannehill,QB,2,MIA,IND,319,1,0,1,0,0,0,0,0,0,0,0,18.86
47,3671,Jermichael Finley,TE,2,GB,WAS,0,0,0,0,0,6,65,1,0,0,0,0,18.50
48,14405,Chris Givens,WR,2,LA,ATL,0,0,0,0,0,5,105,0,0,0,0,0,18.50
49,13957,Kendall Wright,WR,2,TEN,HOU,0,0,0,0,0,7,54,1,0,0,0,0,18.40
50,9038,Matthew Stafford,QB,2,DET,ARI,278,2,0,1,0,0,0,0,0,0,0,0,18.22
51,7711,Malcom Floyd,WR,2,SD,PHI,0,0,0,0,0,5,102,0,0,0,0,0,18.20
52,7242,Drew Brees,QB,2,NO,TB,322,1,2,0,0,0,0,0,0,0,0,0,17.88
53,11182,Eric Decker,WR,2,DEN,NYG,0,0,0,0,0,9,87,0,0,0,0,0,17.70
54,13320,Cam Newton,QB,2,CAR,BUF,229,2,1,15,0,0,0,0,0,0,0,0,17.66
55,11792,Arian Foster,RB,2,HOU,TEN,0,0,0,79,1,1,6,0,0,0,0,0,17.50
56,4932,Eli Manning,QB,2,NYG,DEN,362,1,4,0,0,0,0,0,0,0,0,0,17.48
57,3931,Rashard Mendenhall,RB,2,ARI,DET,0,0,0,66,1,2,28,0,0,0,0,0,17.40
58,2220,Ahmad Bradshaw,RB,2,IND,MIA,0,0,0,65,1,3,19,0,0,0,0,0,17.40
59,14385,Doug Martin,RB,2,TB,NO,0,0,0,144,0,0,0,0,0,0,0,0,17.40
60,13002,Cecil Shorts,WR,2,JAX,OAK,0,0,0,0,0,8,93,0,0,0,0,0,17.30
61,14868,EJ Manuel,QB,2,BUF,CAR,296,1,1,13,0,0,0,0,0,0,0,0,17.14
62,14269,Alfred Morris,RB,2,WAS,GB,0,0,0,107,0,2,13,0,0,0,0,0,17
63,13997,Coby Fleener,TE,2,IND,MIA,0,0,0,0,0,4,69,1,0,0,0,0,16.90
64,13027,Julius Thomas,TE,2,DEN,NYG,0,0,0,0,0,6,47,1,0,0,0,0,16.70
65,12841,Andy Dalton,QB,2,CIN,PIT,280,1,0,10,0,0,0,0,0,0,0,0,16.20
66,21,New England Patriots,DST,2,NE,NYJ,0,0,0,0,0,0,0,0,4,3,2,1,16
67,5412,Jason Snelling,RB,2,ATL,LA,0,0,0,19,1,4,41,0,0,0,0,0,16
68,7203,Dwayne Bowe,WR,2,KC,DAL,0,0,0,0,0,4,56,1,0,0,0,0,15.60
69,2429,Andre Johnson,WR,2,HOU,TEN,0,0,0,0,0,8,76,0,0,0,0,0,15.60
70,13791,Lamar Miller,RB,2,MIA,IND,0,0,0,69,1,2,6,0,0,0,0,0,15.50
71,12830,Torrey Smith,WR,2,BAL,CLE,0,0,0,0,0,7,85,0,0,0,0,0,15.50
