"Cody Bellinger_LAD","Corey Seager_LAD","Justin Turner_LAD","JD Martinez_DET","Yasiel Puig_LAD","Chris Taylor_LAD","Jose Abreu_CWS","Miguel Cabrera_DET","Whit Merrifield_KC","Ian Kinsler_DET","Justin Upton_DET","Andrew Romine_DET","Eric Hosmer_KC","Adrian Gonzalez_LAD","Chase Utley_LAD","Joc Pederson_LAD","Salvador Perez_KC","Jorge Bonifacio_KC","Melky Cabrera_CWS","Yasmani Grandal_LAD","Mike Moustakas_KC","Nicholas Castellanos_DET","Logan Forsythe_LAD","Avisail Garcia_CWS","Alex Avila_DET","Franklin Gutierrez_LAD","Matt Davidson_CWS","Peter O'Brien_LAD","Austin Barnes_LAD","Yoan Moncada_CWS","Lorenzo Cain_KC","Jose Iglesias_DET","Mikie Mahtook_DET","Victor Martinez_DET","Todd Frazier_CWS","Alen Hanson_CWS","Tim Anderson_CWS","Cheslor Cuthbert_KC","Trayce Thompson_LAD","Kike Hernandez_LAD","Andrew Toles_LAD","Willie Calhoun_LAD","Paulo Orlando_KC","Billy Burns_KC","Jorge Soler_KC","Rob Segedin_LAD","Charlie Tilson_CWS","Adam Engel_CWS","Alex Verdugo_LAD","Dixon Machado_DET","JaCoby Jones_DET","Andre Ethier_LAD","Alcides Escobar_KC","Alex Presley_DET","John Hicks_DET","Tyler Collins_DET","Scott Van Slyke_LAD","Tyler Saladino_CWS","Yolmer Sanchez_CWS","James McCann_DET","Ryan O'Hearn_KC","Leury Garcia_CWS","Omar Narvaez_CWS","Jacob May_CWS","Jim Adduci_DET","Terrance Gore_KC","Cody Asche_CWS","Geovany Soto_CWS","Willy Garcia_CWS","Matt den Dekker_DET","Mike Freeman_LAD","Brandon Moss_KC","Raul Mondesi_KC","Ramon Torres_KC","Brett Eibner_LAD","Kevan Smith_CWS","Alex Gordon_KC","Hunter Dozier_KC","Drew Butera_KC","Grant Green_CWS","Zack Collins_CWS"
0,0,0,22.8342995169082,0,0,0,3.67741935483871,0,7.96785505552309,62.8843021103295,11.8645276292335,0,0,0,0,0,0,0,0,0,0,0,0,8.87486157253599,0,0,0,0,0,0,2.78106821787414,3.50997150997151,-0.344611528822055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65934065934066,2.55357142857143,0,0,13.5571428571429,31.0227272727273,1.58333333333333,0,0,0,6.66216216216216,0,0,0,0,30.0818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-7.56209150326797,0,0,0,-10.3863636363636,0,21.09,11.8645276292335,42.6180654338549,0,0,0,0,0,0,0,0,0,0,0,0,-1.27173913043478,0,0,0,0,0,0,-8.45747126436782,-0.811111111111111,-2.55591397849462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.54761904761905,-23.75,0,0,12.2666666666667,12.8333333333333,6.83333333333333,0,0,0,14.5583333333333,0,0,0,0,28.5333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4.47146619841967,0,0,0,38.5519219736087,0,0,0,8.40491228070175,1.54067796610169,0,0,9.0045045045045,0,0,0,0,0,0,0,0,0,4.425,0,0,0,0,0,0,3.37857142857143,0,0,0,0,0.718181818181818,0,9.67193675889328,0,0,0,0,0,0,0,7.82271944922547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.48469387755102,0.777777777777778,-3.04166666666667,0,0,11.7790990990991,0,21.0718954248366,0,0
-4.06833333333333,3.24466571834993,9.87619047619048,0,2.06349206349206,3.66959064327485,0,0,0,0,0,0,0,17.9737179487179,5.13756613756614,14.7820512820513,0,0,0,6.75238095238095,0,0,0.278947368421053,0,0,15,0,0,12.1,0,0,0,0,0,0,0,0,0,0,0,0.228571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.93551797040169,3.18260869565217,10.8452380952381,0,1.34778012684989,-5.72192513368984,0,0,0,0,0,0,0,5.13756613756614,52.5816326530612,8.93103448275862,0,0,0,-6.50508788159112,0,0,21.0166666666667,0,0,0,0,0,31.1666666666667,0,0,0,0,0,0,0,0,0,31.5,0,1.06060606060606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.904233870967742,13.2588904694168,3.78174603174603,0,13.1133603238866,5.54497354497355,0,0,0,0,0,0,0,14.7820512820513,8.93103448275862,46.8091966173362,0,0,0,7.43954480796586,0,0,4.42857142857143,0,0,-2.5,0,0,-15.9285714285714,0,0,0,0,0,0,0,0,0,0,0,-1.37272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3.2316384180791,0,0,0,8.40491228070175,0,0,0,52.2722807017544,-4.74528301886792,0,0,7.46630483943917,0,0,0,0,0,0,0,0,0,12.870418363569,0,0,0,0,0,0,11.3921568627451,0,0,0,0,11.5545454545455,0,4.46666666666667,0,0,0,0,0,0,0,1.51087719298246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0825027685493,11,22.9166666666667,0,0,8.30597014925373,0,1.27777777777778,0,0
0,0,0,0,0,0,0,0,-0.976623376623377,0,0,0,1.54067796610169,0,0,0,-4.74528301886792,35.2305084745763,0,0,7.64175084175084,0,0,0,0,0,0,0,0,0,-6.54730576441103,0,0,0,0,0,0,-8.38461538461539,0,0,0,0,0,0,-6.53333333333333,0,0,0,0,0,0,0,0.640677966101695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.23011363636364,0,-10.2,0,0,-4.86862745098039,0,-6.46969696969697,0,0
0,0,0,0,0,0,19.2038134024435,0,0,0,0,0,0,0,0,0,0,0,48.5884684684685,0,0,0,0,2.06971153846154,0,0,12.1509433962264,0,0,0,0,0,0,0,5.17596153846154,71.8611111111111,1.48168249660787,0,0,0,0,0,0,0,0,0,0,13.3478260869565,0,0,0,0,0,0,0,0,0,-3.67076923076923,1.81547619047619,0,0,-7.09358974358974,14.9109243697479,-2.8,0,0,4.3525641025641,-7.88888888888889,9.19005847953216,0,0,0,0,0,0,8.17338709677419,0,0,0,0,0
-0.251372549019608,24.8754237288136,2.19933554817276,0,0.0750151240169389,-7.81649245063879,0,0,0,0,0,0,0,6.75238095238095,-6.50508788159112,7.43954480796586,0,0,0,48.3427884615385,0,0,14.1988636363636,0,0,-4,0,0,-10.5,0,0,0,0,0,0,0,0,0,-17.5,0,-2.10457516339869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
