"Cody Bellinger_LAD","Corey Seager_LAD","Justin Turner_LAD","JD Martinez_DET","Yasiel Puig_LAD","Chris Taylor_LAD","Jose Abreu_CWS","Miguel Cabrera_DET","Whit Merrifield_KC","Ian Kinsler_DET","Justin Upton_DET","Andrew Romine_DET","Eric Hosmer_KC","Adrian Gonzalez_LAD","Chase Utley_LAD","Joc Pederson_LAD","Salvador Perez_KC","Jorge Bonifacio_KC","Melky Cabrera_CWS","Yasmani Grandal_LAD","Mike Moustakas_KC","Nicholas Castellanos_DET","Logan Forsythe_LAD","Avisail Garcia_CWS","Alex Avila_DET","Franklin Gutierrez_LAD","Matt Davidson_CWS","Peter O'Brien_LAD","Austin Barnes_LAD","Yoan Moncada_CWS","Lorenzo Cain_KC","Jose Iglesias_DET","Mikie Mahtook_DET","Victor Martinez_DET","Todd Frazier_CWS","Alen Hanson_CWS","Tim Anderson_CWS","Cheslor Cuthbert_KC","Trayce Thompson_LAD","Kike Hernandez_LAD","Andrew Toles_LAD","Willie Calhoun_LAD","Paulo Orlando_KC","Billy Burns_KC","Jorge Soler_KC","Rob Segedin_LAD","Charlie Tilson_CWS","Adam Engel_CWS","Alex Verdugo_LAD","Dixon Machado_DET","JaCoby Jones_DET","Andre Ethier_LAD","Alcides Escobar_KC","Alex Presley_DET","John Hicks_DET","Tyler Collins_DET","Scott Van Slyke_LAD","Tyler Saladino_CWS","Yolmer Sanchez_CWS","James McCann_DET","Ryan O'Hearn_KC","Leury Garcia_CWS","Omar Narvaez_CWS","Jacob May_CWS","Jim Adduci_DET","Terrance Gore_KC","Cody Asche_CWS","Geovany Soto_CWS","Willy Garcia_CWS","Matt den Dekker_DET","Mike Freeman_LAD","Brandon Moss_KC","Raul Mondesi_KC","Ramon Torres_KC","Brett Eibner_LAD","Kevan Smith_CWS","Alex Gordon_KC","Hunter Dozier_KC","Drew Butera_KC","Grant Green_CWS","Zack Collins_CWS"
66,58,42,0,53,55,0,0,0,0,0,0,0,25,44,32,0,0,0,51,0,0,33,0,0,8,0,0,17,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
58,77,52,0,66,51,0,0,0,0,0,0,0,38,46,38,0,0,0,60,0,0,40,0,0,11,0,0,18,0,0,0,0,0,0,0,0,0,5,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
42,52,60,0,52,36,0,0,0,0,0,0,0,21,28,36,0,0,0,43,0,0,28,0,0,10,0,0,18,0,0,0,0,0,0,0,0,0,6,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,0,49,0,0,0,47,0,39,46,18,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,43,22,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,14,8,6,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,66,52,0,74,48,0,0,0,0,0,0,0,36,44,39,0,0,0,58,0,0,37,0,0,9,0,0,16,0,0,0,0,0,0,0,0,0,5,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
55,51,36,0,48,60,0,0,0,0,0,0,0,19,34,28,0,0,0,42,0,0,30,0,0,10,0,0,20,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,68,0,0,56,0,0,0,0,0,0,0,67,9,68,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,28,50,0,0,43,37,8,0,0,14,9,21,0,0,0,0,0,0,34,0,0,0,0,0
0,0,0,47,0,0,0,68,0,52,63,33,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,59,28,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,0,0,15,8,19,0,0,0,31,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,68,0,0,0,68,0,0,0,60,56,0,0,61,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,17,0,0,0,0,0,0,21,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,7,0,0,59,0,16,0,0
0,0,0,39,0,0,0,52,0,63,59,25,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,50,27,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,11,8,23,0,0,0,34,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
