"Mike Trout_LAA","Anthony Rizzo_CHC","Kris Bryant_CHC","Willson Contreras_CHC","Tim Beckham_BAL","Manny Machado_BAL","Andrelton Simmons_LAA","Javier Baez_CHC","Ian Happ_CHC","Mark Trumbo_BAL","Kyle Schwarber_CHC","Jonathan Schoop_BAL","Adam Jones_BAL","Ben Revere_LAA","Trey Mancini_BAL","Brandon Belt_SF","Chris Davis_BAL","Welington Castillo_BAL","Albert Pujols_LAA","Cameron Maybin_LAA","CJ Cron_LAA","Ben Zobrist_CHC","Alex Avila_CHC","Seth Smith_BAL","Ruben Tejada_BAL","Hunter Pence_SF","Nick Hundley_SF","Jason Heyward_CHC","Buster Posey_SF","Yunel Escobar_LAA","Jon Jay_CHC","Addison Russell_CHC","Jefry Marte_LAA","Caleb Joseph_BAL","Victor Caratini_CHC","Johnny Giavotella_BAL","Nick Franklin_LAA","Kole Calhoun_LAA","Anthony Santander_BAL","Pablo Sandoval_SF","David Washington_BAL","Joe Panik_SF","Denard Span_SF","Jarrett Parker_SF","Craig Gentry_BAL","Kelby Tomlinson_SF","Albert Almora_CHC","Christian Arroyo_SF","Mark Zagunis_CHC","JJ Hardy_BAL","Brandon Crawford_SF","Mac Williamson_SF","Tommy La Stella_CHC","David Fletcher_LAA","Nolan Fontana_LAA","Aaron Hill_SF","Gorkys Hernandez_SF","Paul Janish_BAL","Martin Maldonado_LAA","Luis Valbuena_LAA","Cliff Pennington_LAA","Francisco Pena_BAL","Ryan Flaherty_BAL","Kaleb Cowart_LAA","Luis Sardinas_BAL","Conor Gillaspie_SF","Juan Graterol_LAA","Carlos Perez_LAA","Justin Ruggiano_SF","Joey Rickard_BAL","Michael Morse_SF","Eric Young_LAA","Shane Robinson_LAA","Ramon Flores_LAA","Chris Marrero_SF","Carlos Moncrief_SF","Tim Federowicz_SF","Austin Slater_SF","Miguel Gomez_SF","Ryder Jones_SF","Orlando Calixte_SF","Jae-gyun Hwang_SF"
63,0,0,0,0,0,62,0,0,0,0,0,0,28,0,0,0,0,55,38,30,0,0,0,0,0,0,0,0,45,0,0,22,0,0,0,3,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,53,26,16,0,0,9,0,0,7,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0
0,98,91,72,0,0,0,73,52,0,67,0,0,0,0,0,0,0,0,0,0,61,2,0,0,0,0,68,0,0,44,74,0,0,4,0,0,0,0,0,0,0,0,0,0,0,43,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,91,94,68,0,0,0,69,47,0,64,0,0,0,0,0,0,0,0,0,0,61,2,0,0,0,0,67,0,0,44,72,0,0,4,0,0,0,0,0,0,0,0,0,0,0,39,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,72,68,74,0,0,0,59,38,0,47,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,51,0,0,31,54,0,0,2,0,0,0,0,0,0,0,0,0,0,0,38,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5,5,0,0,0,0,0,5,5,0,5,0,5,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5,99,0,0,0,92,0,97,93,0,78,0,73,58,0,0,0,0,0,58,26,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,56,0,0,0,0,0,0,0,7,0,0,0,3,6,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,104,0,0,0,0,0,0,49,0,0,0,0,93,69,39,0,0,0,0,0,0,0,0,80,0,0,27,0,0,0,5,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,85,55,31,0,0,9,0,0,17,2,0,0,0,25,6,0,0,0,0,0,0,0,0,0
0,73,69,59,0,0,0,75,41,0,44,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,45,0,0,32,50,0,0,2,0,0,0,0,0,0,0,0,0,0,0,36,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,52,47,38,0,0,0,41,53,0,32,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,29,0,0,22,35,0,0,4,0,0,0,0,0,0,0,0,0,0,0,22,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,92,0,0,0,96,0,94,89,0,75,0,70,56,0,0,0,0,0,58,27,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,60,0,0,0,0,0,0,0,7,0,0,0,3,6,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
0,67,64,47,0,0,0,44,32,0,68,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,55,0,0,26,47,0,0,3,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5,97,0,0,0,94,0,101,94,0,80,0,75,60,0,0,0,0,0,60,29,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,58,0,0,0,0,0,0,0,7,0,0,0,2,4,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5,93,0,0,0,89,0,94,96,0,77,0,71,55,0,0,0,0,0,56,28,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,56,0,0,0,0,0,0,0,6,0,0,0,3,5,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,49,0,0,0,0,0,0,50,0,0,0,0,43,21,19,0,0,0,0,0,0,0,0,39,0,0,7,0,0,0,3,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,33,19,0,0,8,0,0,12,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5,78,0,0,0,75,0,80,77,0,82,0,56,50,0,0,0,0,0,41,29,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,43,0,0,0,0,0,0,0,6,0,0,0,3,2,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,67,25,0,80,0,0,0,0,0,0,0,0,0,0,0,0,80,70,7,0,10,0,27,0,0,79,9,0,0,0,12,47,0,0,0,0,0,0,0,0,12,0,0,11,0,5,0,0,0,9,0,0,20,2,5,6,10
0,0,0,0,5,73,0,0,0,70,0,75,71,0,56,0,77,41,0,0,0,0,0,44,17,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3,58,0,0,0,56,0,60,55,0,50,0,41,60,0,0,0,0,0,37,18,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,33,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,93,0,0,0,0,0,0,43,0,0,0,0,95,63,34,0,0,0,0,0,0,0,0,77,0,0,22,0,0,0,4,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,80,46,30,0,0,9,0,0,12,3,0,0,0,24,6,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,69,0,0,0,0,0,0,21,0,0,0,0,63,70,19,0,0,0,0,0,0,0,0,53,0,0,23,0,0,0,4,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,58,38,16,0,0,0,0,0,11,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,39,0,0,0,0,0,0,19,0,0,0,0,34,19,40,0,0,0,0,0,0,0,0,29,0,0,5,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,10,11,0,0,4,0,0,8,2,0,0,0,9,6,0,0,0,0,0,0,0,0,0
