"","2017-04-02","2017-04-03","2017-04-04","2017-04-05","2017-04-06","2017-04-07"
"Corey Seager_LAD",NA,21,0,7,NA,NA
"Anthony Rizzo_CHC",3,NA,2,NA,NA,4
"Nolan Arenado_COL",NA,12,11,3,NA,NA
"Kris Bryant_CHC",0,NA,0,NA,NA,12
"Charlie Blackmon_COL",NA,7,10,4,NA,NA
"Mike Trout_LAA",NA,NA,10,10,NA,7
"Carlos Gonzalez_COL",NA,0,7,0,NA,NA
"Paul Goldschmidt_ARI",8,NA,18,11,19,17
"Adrian Gonzalez_LAD",NA,13,3,11,NA,NA
"Yasiel Puig_LAD",NA,11,0,17,NA,NA
"Ryan Braun_MIL",NA,2,19,9,NA,7
"Bryce Harper_WAS",NA,16,NA,14,NA,NA
"Trevor Story_COL",NA,7,18,7,NA,NA
"Kyle Schwarber_CHC",10,NA,4,NA,NA,0
"Jose Altuve_HOU",NA,NA,3,0,3,0
"Mark Reynolds_COL",NA,27,12,10,NA,NA
"Logan Forsythe_LAD",NA,11,8,0,NA,NA
"Joc Pederson_LAD",NA,22,NA,2,NA,NA
"Carlos Correa_HOU",NA,NA,2,6,2,5
"Trea Turner_WAS",NA,10,NA,0,NA,NA
"Justin Turner_LAD",NA,19,3,13,NA,NA
"David Dahl_COL",NA,NA,NA,NA,NA,NA
"Edwin Encarnacion_CLE",NA,NA,2,2,NA,5
"Michael Brantley_CLE",NA,NA,8,NA,NA,7
"DJ LeMahieu_COL",NA,0,5,4,NA,NA
"Ian Desmond_COL",NA,NA,NA,NA,NA,NA
"Ben Zobrist_CHC",4,NA,NA,NA,NA,16
"Jonathan Villar_MIL",NA,13,0,19,NA,0
"Daniel Murphy_WAS",NA,8,NA,10,NA,NA
"Carlos Santana_CLE",NA,NA,21,11,NA,7
"Freddie Freeman_ATL",NA,14,NA,2,0,NA
"Starling Marte_PIT",NA,2,NA,3,NA,NA
"Rougned Odor_TEX",NA,NA,3,3,NA,21
"George Springer_HOU",NA,NA,5,27,16,2
"Jason Kipnis_CLE",NA,NA,NA,NA,NA,NA
"Yasmani Grandal_LAD",NA,30,0,0,NA,NA
"Chase Utley_LAD",NA,NA,NA,NA,NA,NA
"Franklin Gutierrez_LAD",NA,NA,3,NA,NA,NA
"Wil Myers_SD",NA,2,10,8,NA,NA
"Shin-Soo Choo_TEX",NA,NA,3,8,NA,12
"Khris Davis_OAK",NA,NA,2,5,NA,14
"Francisco Lindor_CLE",NA,NA,2,46,NA,14
"Andrew McCutchen_PIT",NA,0,NA,0,NA,NA
"Giancarlo Stanton_MIA",NA,9,NA,0,NA,7
"Yoenis Cespedes_NYM",NA,4,NA,5,9,14
"Adrian Beltre_TEX",NA,NA,NA,NA,NA,NA
"Cody Bellinger_LAD",NA,NA,NA,NA,NA,NA
"Chris Taylor_LAD",NA,NA,NA,NA,NA,NA
"Gregory Polanco_PIT",NA,3,NA,0,NA,NA
"Nelson Cruz_SEA",NA,NA,0,7,2,5
"Jonathan Lucroy_TEX",NA,NA,NA,5,NA,3
"Rajai Davis_OAK",NA,NA,17,0,NA,0
"Maikel Franco_PHI",NA,7,NA,3,NA,NA
"Adam Eaton_WAS",NA,16,NA,11,NA,NA
"Jose Ramirez_CLE",NA,NA,2,7,NA,0
"AJ Pollock_ARI",24,NA,10,17,11,0
"Trayce Thompson_LAD",NA,NA,NA,NA,NA,NA
"Robinson Cano_SEA",NA,NA,7,2,3,3
"Jean Segura_SEA",NA,NA,0,19,13,7
"Javier Baez_CHC",3,NA,2,NA,NA,0
"Mike Napoli_TEX",NA,NA,9,0,NA,0
"Carlos Gomez_TEX",NA,NA,0,4,NA,20
"Jake Lamb_ARI",0,NA,20,7,20,12
"Gerardo Parra_COL",NA,8,19,5,NA,NA
"Matt Kemp_ATL",NA,5,NA,21,28,NA
"Albert Pujols_LAA",NA,NA,0,5,NA,2
"Willson Contreras_CHC",21,NA,7,NA,NA,3
"Addison Russell_CHC",3,NA,7,NA,NA,3
"Keon Broxton_MIL",NA,7,2,NA,NA,NA
"Christian Yelich_MIA",NA,0,NA,8,NA,21
"Trevor Plouffe_OAK",NA,NA,0,3,NA,0
"Elvis Andrus_TEX",NA,NA,2,17,NA,7
"Alex Bregman_HOU",NA,NA,0,7,NA,5
"Anthony Rendon_WAS",NA,NA,NA,0,NA,NA
"Odubel Herrera_PHI",NA,9,NA,8,NA,NA
"Yasmany Tomas_ARI",0,NA,0,10,NA,16
"Austin Barnes_LAD",NA,NA,NA,NA,NA,NA
"Andrew Toles_LAD",NA,8,NA,2,NA,NA
"Hunter Pence_SF",5,NA,11,15,4,NA
"Eric Thames_MIL",NA,13,NA,17,NA,NA
"Domingo Santana_MIL",NA,9,11,NA,NA,0
"Dee Gordon_MIA",NA,0,NA,12,NA,10
"Jose Reyes_NYM",NA,4,NA,0,5,0
"Ryon Healy_OAK",NA,NA,19,0,NA,0
"Marcus Semien_OAK",NA,NA,9,3,NA,4
"Nomar Mazara_TEX",NA,NA,10,24,NA,32
"Evan Gattis_HOU",NA,NA,2,14,NA,3
"Lorenzo Cain_KC",NA,9,NA,NA,NA,10
"Stephen Cardullo_COL",NA,NA,NA,NA,NA,NA
"Rob Segedin_LAD",NA,NA,NA,NA,NA,NA
"Buster Posey_SF",2,NA,4,10,12,NA
"Jose Osuna_PIT",NA,NA,NA,NA,NA,NA
"Ender Inciarte_ATL",NA,0,NA,4,3,NA
"Kyle Seager_SEA",NA,NA,5,8,5,0
"Curtis Granderson_NYM",NA,5,NA,0,3,10
"Joey Gallo_TEX",NA,NA,19,4,NA,4
"Eric Hosmer_KC",NA,0,NA,NA,NA,3
"Carlos Beltran_HOU",NA,NA,0,6,3,10
"Tommy Joseph_PHI",NA,0,NA,0,NA,NA
"David Peralta_ARI",0,NA,0,NA,25,6
"Andre Ethier_LAD",NA,NA,NA,NA,NA,NA
"Brandon Belt_SF",4,NA,10,24,9,NA
"Eduardo Nunez_SF",25,NA,10,13,2,NA
"Kole Calhoun_LAA",NA,NA,7,11,NA,21
"Jason Heyward_CHC",5,NA,5,NA,NA,5
"Delino DeShields_TEX",NA,NA,NA,0,NA,NA
"Jayson Werth_WAS",NA,0,NA,6,NA,NA
"Dustin Garneau_COL",NA,NA,NA,NA,NA,NA
"Denard Span_SF",6,NA,NA,NA,NA,NA
"Nick Markakis_ATL",NA,0,NA,12,3,NA
"Cameron Maybin_LAA",NA,NA,8,7,NA,14
"Travis Shaw_MIL",NA,12,16,16,NA,7
"Hernan Perez_MIL",NA,NA,NA,7,NA,3
"Albert Almora_CHC",NA,NA,3,NA,NA,NA
"David Wright_NYM",NA,NA,NA,NA,NA,NA
"Asdrubal Cabrera_NYM",NA,18,NA,2,5,5
"Stephen Vogt_OAK",NA,NA,0,5,NA,5
"Alex Gordon_KC",NA,3,NA,NA,NA,14
"Josh Reddick_HOU",NA,NA,3,5,NA,3
"Michael Saunders_PHI",NA,9,NA,NA,NA,NA
"Michael Taylor_WAS",NA,NA,NA,NA,NA,NA
"Brandon Drury_ARI",3,NA,9,7,NA,15
"Chris Owings_ARI",8,NA,5,26,0,NA
"Austin Jackson_CLE",NA,NA,10,0,NA,NA
"Tyler Naquin_CLE",NA,NA,NA,NA,NA,12
"Tom Murphy_COL",NA,NA,NA,NA,NA,NA
"Kike Hernandez_LAD",NA,NA,NA,NA,NA,NA
"Scott Van Slyke_LAD",NA,NA,NA,NA,NA,NA
"Joe Panik_SF",12,NA,17,5,NA,NA
"Ryan Schimpf_SD",NA,17,5,0,NA,NA
"Brandon Phillips_ATL",NA,3,NA,5,0,NA
"Josh Harrison_PIT",NA,7,NA,3,NA,NA
"CJ Cron_LAA",NA,NA,NA,8,NA,0
"Miguel Montero_CHC",NA,NA,NA,NA,NA,NA
"Orlando Arcia_MIL",NA,7,0,8,NA,3
"Jon Jay_CHC",NA,NA,NA,NA,NA,NA
"Lucas Duda_NYM",NA,13,NA,2,NA,NA
"Neil Walker_NYM",NA,4,NA,0,10,3
"Jay Bruce_NYM",NA,10,NA,22,4,2
"Michael Conforto_NYM",NA,NA,NA,NA,NA,NA
"Jurickson Profar_TEX",NA,NA,NA,NA,NA,4
"Brandon Moss_KC",NA,0,NA,NA,NA,8
"Norichika Aoki_HOU",NA,NA,NA,NA,5,0
"Jorge Soler_KC",NA,NA,NA,NA,NA,NA
"Ryan Zimmerman_WAS",NA,6,NA,18,NA,NA
"Aaron Altherr_PHI",NA,NA,NA,3,NA,NA
"Yangervis Solarte_SD",NA,5,19,0,NA,NA
"Brandon Crawford_SF",10,NA,21,7,7,NA
"Adonis Garcia_ATL",NA,0,NA,9,3,NA
"Luis Valbuena_LAA",NA,NA,NA,NA,NA,NA
"Jefry Marte_LAA",NA,NA,9,NA,NA,NA
"Mitch Haniger_SEA",NA,NA,7,11,21,5
"Marcell Ozuna_MIA",NA,5,NA,10,NA,15
"Josh Phegley_OAK",NA,NA,NA,NA,NA,NA
"Mark Canha_OAK",NA,NA,NA,NA,NA,NA
"Brian McCann_HOU",NA,NA,14,NA,3,NA
"Whit Merrifield_KC",NA,NA,NA,NA,NA,NA
"Peter O'Brien_KC",NA,NA,NA,NA,NA,NA
"Cesar Hernandez_PHI",NA,14,NA,0,NA,NA
"Howie Kendrick_PHI",NA,11,NA,2,NA,NA
"Freddy Galvis_PHI",NA,21,NA,0,NA,NA
"Daniel Nava_PHI",NA,NA,NA,NA,NA,NA
"Lonnie Chisenhall_CLE",NA,NA,NA,NA,NA,NA
"Abraham Almonte_CLE",NA,NA,NA,4,NA,NA
"Jeremy Hazelbaker_ARI",NA,NA,NA,NA,NA,NA
"Manuel Margot_SD",NA,7,13,2,NA,NA
"Alen Hanson_PIT",NA,NA,NA,NA,NA,NA
"Dansby Swanson_ATL",NA,3,NA,3,0,NA
"Jesus Aguilar_MIL",NA,NA,5,NA,NA,10
"Ian Happ_CHC",NA,NA,NA,NA,NA,NA
