"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Actual_fpts"
"DST","Cardinals ",4100,"ARI@IND 01:00PM ET",8,"ARI","IND",0,9.3,0
"DST","Ravens ",3700,"CLE@BAL 01:00PM ET",25,"BAL","CLE",0,9.5,0
"DST","Panthers ",3600,"BUF@CAR 01:00PM ET",15,"CAR","BUF",0,8.4,0
"DST","Titans ",3300,"TEN@JAX 01:00PM ET",2,"TEN","JAX",0,6.9,0
"DST","Buccaneers ",3200,"CHI@TB 01:00PM ET",0,"TB","CHI",0,10.2,0
"DST","Jaguars ",3100,"TEN@JAX 01:00PM ET",28,"JAX","TEN",0,6.5,0
"DST","Steelers ",3000,"MIN@PIT 01:00PM ET",18,"PIT","MIN",0,7.4,0
"DST","Chiefs ",2900,"PHI@KC 01:00PM ET",3,"KC","PHI",0,7,0
"DST","Eagles ",2900,"PHI@KC 01:00PM ET",22,"PHI","KC",0,5.1,0
"DST","Bills ",2700,"BUF@CAR 01:00PM ET",9,"BUF","CAR",0,5.7,0
"DST","Vikings ",2700,"MIN@PIT 01:00PM ET",2,"MIN","PIT",0,6.1,0
"DST","Patriots ",2500,"NE@NO 01:00PM ET",1,"NE","NO",0,6.5,0
"DST","Browns ",2400,"CLE@BAL 01:00PM ET",3,"CLE","BAL",0,5.6,0
"DST","Colts ",2300,"ARI@IND 01:00PM ET",2,"IND","ARI",0,5.7,0
"DST","Bears ",2200,"CHI@TB 01:00PM ET",2,"CHI","TB",0,5.7,0
"DST","Saints ",2100,"NE@NO 01:00PM ET",0,"NO","NE",0,2.7,0
