QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Matthew Stafford (9358878),David Johnson (9359235),Carlos Hyde (9359217),Golden Tate (9358960),Stefon Diggs (9358532),Davante Adams (9359572),Travis Kelce (9358502),Jermaine Kearse (9359015),Bengals  (9358741)
Russell Wilson (9358965),Ezekiel Elliott (9359890),Jordan Howard (9360049),Doug Baldwin (9358950),Stefon Diggs (9358532),Larry Fitzgerald (9358814),Zach Ertz (9359110),Jermaine Kearse (9359015),Redskins  (9358759)
Matthew Stafford (9358878),David Johnson (9359235),Ameer Abdullah (9359363),Antonio Brown (9358987),Doug Baldwin (9358950),Marvin Jones Jr. (9359028),Zach Ertz (9359110),Torrey Smith (9358947),Cowboys  (9358743)
Matthew Stafford (9358878),David Johnson (9359235),Ameer Abdullah (9359363),Doug Baldwin (9358950),Golden Tate (9358960),Terrelle Pryor Sr. (9359005),Coby Fleener (9358665),Davante Adams (9359572),Colts  (9358747)
Aaron Rodgers (9358780),David Johnson (9359235),Carlos Hyde (9359217),Stefon Diggs (9358532),Larry Fitzgerald (9358814),Jamison Crowder (9359423),Zach Ertz (9359110),Davante Adams (9359572),Ravens  (9358762)
Russell Wilson (9358965),Jordan Howard (9360049),Todd Gurley (9359771),Antonio Brown (9358987),Davante Adams (9359572),Tyler Lockett (9359463),Travis Kelce (9358502),Torrey Smith (9358947),Cardinals  (9358754)
Aaron Rodgers (9358780),David Johnson (9359235),Jordan Howard (9360049),Doug Baldwin (9358950),Larry Fitzgerald (9358814),Davante Adams (9359572),Evan Engram (9360027),Torrey Smith (9358947),Colts  (9358747)
Kirk Cousins (9358981),Melvin Gordon (9358682),Todd Gurley (9359771),Antonio Brown (9358987),Golden Tate (9358960),Jamison Crowder (9359423),Zach Ertz (9359110),Torrey Smith (9358947),Cowboys  (9358743)
Russell Wilson (9358965),Jordan Howard (9360049),Carlos Hyde (9359217),Antonio Brown (9358987),Doug Baldwin (9358950),Terrelle Pryor Sr. (9359005),Coby Fleener (9358665),Jeremy Maclin (9358902),Colts  (9358747)
Carson Wentz (9359579),David Johnson (9359235),Lamar Miller (9359144),Antonio Brown (9358987),Doug Baldwin (9358950),Davante Adams (9359572),Coby Fleener (9358665),Torrey Smith (9358947),Cardinals  (9358754)
Carson Wentz (9359579),David Johnson (9359235),Todd Gurley (9359771),Stefon Diggs (9358532),Larry Fitzgerald (9358814),Davante Adams (9359572),Travis Kelce (9358502),Torrey Smith (9358947),Cowboys  (9358743)
Matthew Stafford (9358878),Jordan Howard (9360049),Isaiah Crowell (9359508),Antonio Brown (9358987),Golden Tate (9358960),Jamison Crowder (9359423),Zach Ertz (9359110),Davante Adams (9359572),Colts  (9358747)
Kirk Cousins (9358981),David Johnson (9359235),Todd Gurley (9359771),Doug Baldwin (9358950),Jamison Crowder (9359423),Allen Robinson (9359555),Zach Ertz (9359110),Ameer Abdullah (9359363),Seahawks  (9358757)
Russell Wilson (9358965),Jordan Howard (9360049),Frank Gore (9358765),A.J. Green (9359007),Doug Baldwin (9358950),Terrelle Pryor Sr. (9359005),Zach Ertz (9359110),Davante Adams (9359572),Eagles  (9358753)
Kirk Cousins (9358981),Jordan Howard (9360049),Carlos Hyde (9359217),Doug Baldwin (9358950),Terrelle Pryor Sr. (9359005),Stefon Diggs (9358532),Travis Kelce (9358502),Davante Adams (9359572),Vikings  (9358568)
