QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Cam Newton (9446114),Ezekiel Elliott (9446712),C.J. Anderson (9446554),Julio Jones (9446186),Tyreek Hill (9446830),Kelvin Benjamin (9446528),Martellus Bennett (9446064),Michael Thomas (9446842),Chargers  (9445961)
Tom Brady (9445969),Melvin Gordon (9446539),C.J. Anderson (9446554),Julio Jones (9446186),Brandin Cooks (9446563),Michael Thomas (9446842),Coby Fleener (9446145),Rob Kelley (9446507),Chargers  (9445961)
Matt Ryan (9445991),Ezekiel Elliott (9446712),Melvin Gordon (9446539),Julio Jones (9446186),Kelvin Benjamin (9446528),Michael Thomas (9446842),Coby Fleener (9446145),Paul Perkins (9446906),Steelers  (9445960)
Matt Ryan (9445991),Melvin Gordon (9446539),Jordan Howard (9446790),Julio Jones (9446186),Tyreek Hill (9446830),T.Y. Hilton (9446240),Antonio Gates (9446008),Michael Thomas (9446842),Chargers  (9445961)
Tom Brady (9445969),Ezekiel Elliott (9446712),Jordan Howard (9446790),Brandin Cooks (9446563),Alshon Jeffery (9446286),Kelvin Benjamin (9446528),Antonio Gates (9446008),Michael Thomas (9446842),Chargers  (9445961)
Matt Ryan (9445991),Ezekiel Elliott (9446712),C.J. Anderson (9446554),Julio Jones (9446186),Mike Evans (9446470),Michael Thomas (9446842),Antonio Gates (9446008),Rob Kelley (9446507),Texans  (9445941)
Tom Brady (9445969),Ezekiel Elliott (9446712),C.J. Anderson (9446554),Brandin Cooks (9446563),Mike Evans (9446470),Michael Thomas (9446842),Martellus Bennett (9446064),Paul Perkins (9446906),Steelers  (9445960)
Cam Newton (9446114),Melvin Gordon (9446539),Rob Kelley (9446507),Julio Jones (9446186),Mike Evans (9446470),Kelvin Benjamin (9446528),Kyle Rudolph (9446242),Michael Thomas (9446842),Chiefs  (9445950)
Matt Ryan (9445991),Jordan Howard (9446790),C.J. Anderson (9446554),Julio Jones (9446186),Brandin Cooks (9446563),Kelvin Benjamin (9446528),Charles Clay (9446155),Michael Thomas (9446842),Chiefs  (9445950)
Matt Ryan (9445991),C.J. Anderson (9446554),Paul Perkins (9446906),Julio Jones (9446186),A.J. Green (9446192),Alshon Jeffery (9446286),Jordan Reed (9446303),Michael Thomas (9446842),Chargers  (9445961)
