"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"2B","Jose Pirela",4200,"SD@MIL 02:10PM ET",11.8,"SD","MIL",NA,NA,NA,NA,"1","x",NA
"1B/2B","Chase Utley",4200,"LAD@CIN 01:10PM ET",5.293,"LAD","CIN",NA,NA,NA,NA,"1","x",NA
"OF","Steven Souza",4100,"TB@DET 01:10PM ET",8.422,"TB","DET",NA,8.9,8.74,NA,"5","5",23
"C","Welington Castillo",4100,"STL@BAL 01:35PM ET",7.351,"BAL","STL",6.15,5.9,1.7,NA,"7","7",17
"1B","Kendrys Morales",4100,"CWS@TOR 01:07PM ET",7.71,"TOR","CWS",8.87,8.6,9.24,NA,"4","4",21
"1B","Jose Abreu",4100,"CWS@TOR 01:07PM ET",8.4,"CWS","TOR",7.63,8.8,8.45,NA,"3","3",7
"2B","Ian Happ",4100,"CHC@PIT 01:35PM ET",7.483,"CHC","PIT",6.63,8.8,8.02,NA,"2","2",16
"1B/OF","Matt Adams",4100,"MIA@ATL 01:35PM ET",5.982,"ATL","MIA",7.48,8.5,8.06,NA,"5","5",2
"OF","Christian Yelich",4100,"MIA@ATL 01:35PM ET",8.111,"MIA","ATL",8.14,10.1,9.59,NA,"3","3",12
"OF","Lonnie Chisenhall",4000,"CLE@MIN 02:10PM ET",7.19,"CLE","MIN",6.68,7.6,7.74,NA,"6","5",2
"3B","Manny Machado",4000,"STL@BAL 01:35PM ET",7.262,"BAL","STL",8.99,8.6,8.8,NA,"3","2",7
"SS","Aledmys Diaz",4000,"STL@BAL 01:35PM ET",6.629,"STL","BAL",6.84,8.1,7.42,NA,"7","7",5
"2B/3B","Josh Harrison",4000,"CHC@PIT 01:35PM ET",7.677,"PIT","CHC",6.25,7.1,8.26,NA,"2","2",0
"1B","Josh Bell",4000,"CHC@PIT 01:35PM ET",6.866,"PIT","CHC",6.82,8.2,7.28,NA,"5","5",2
"2B/OF","Scooter Gennett",4000,"LAD@CIN 01:10PM ET",5.962,"CIN","LAD",7.64,8,1.84,NA,"2","2",20
"OF","Joc Pederson",4000,"LAD@CIN 01:10PM ET",5.95,"LAD","CIN",8.16,9.5,6.92,NA,"7","1",7
"2B/OF","Chris Taylor",4000,"LAD@CIN 01:10PM ET",8.302,"LAD","CIN",NA,NA,NA,NA,"5","x",NA
"OF","Yasiel Puig",4000,"LAD@CIN 01:10PM ET",7.431,"LAD","CIN",6.84,9.2,6.9,NA,"8","5",0
"OF","Aaron Altherr",4000,"ARI@PHI 01:35PM ET",8.052,"PHI","ARI",6.36,8,8.27,NA,"3","3",19
"OF","Yasmany Tomas",4000,"ARI@PHI 01:35PM ET",6.896,"ARI","PHI",NA,0,NA,NA,"x","x",NA
"2B","Dee Gordon",4000,"MIA@ATL 01:35PM ET",8.25,"MIA","ATL",7.75,9.3,9.65,NA,"1","1",15
"OF","Justin Upton",3900,"TB@DET 01:10PM ET",8.641,"DET","TB",7.58,8.5,8.78,NA,"5","5",5
"OF","Seth Smith",3900,"STL@BAL 01:35PM ET",6.5,"BAL","STL",7.27,9.4,8.11,NA,"1","1",26
"OF","Stephen Piscotty",3900,"STL@BAL 01:35PM ET",6.319,"STL","BAL",7.74,8.3,9.28,NA,"3","6",28
"SS","Addison Russell",3900,"CHC@PIT 01:35PM ET",5.951,"CHC","PIT",NA,NA,NA,NA,"5","x",NA
"OF","Franchy Cordero",3900,"SD@MIL 02:10PM ET",8.611,"SD","MIL",6.02,8.7,1.65,NA,"2","2",0
"SS","Zack Cozart",3900,"LAD@CIN 01:10PM ET",9.153,"CIN","LAD",6.7,0,7.85,NA,"x","x",NA
"3B","Anthony Rendon",3900,"WAS@NYM 01:10PM ET",8.806,"WAS","NYM",6.61,6.8,5.9,NA,"6","6",0
"OF","Nick Markakis",3900,"MIA@ATL 01:35PM ET",7.045,"ATL","MIA",7.09,7.5,7.98,NA,"3","3",9
"1B","Miguel Cabrera",3800,"TB@DET 01:10PM ET",7.574,"DET","TB",8.71,9,9.71,NA,"3","3",2
"OF","Robbie Grossman",3800,"CLE@MIN 02:10PM ET",7.167,"MIN","CLE",NA,NA,NA,NA,"2","x",NA
"3B/SS","Eduardo Escobar",3800,"CLE@MIN 02:10PM ET",6.805,"MIN","CLE",6.19,6.5,1.73,NA,"x","6",11
"1B","Kennys Vargas",3800,"CLE@MIN 02:10PM ET",7.29,"MIN","CLE",6.7,7.1,1.82,NA,"x","5",6
"OF","Bradley Zimmer",3800,"CLE@MIN 02:10PM ET",7.038,"CLE","MIN",6.02,7.5,7.62,NA,"8","7",6
"OF","Byron Buxton",3800,"CLE@MIN 02:10PM ET",5.25,"MIN","CLE",5.59,6.8,7.11,NA,"8","8",0
"OF","Tommy Pham",3800,"STL@BAL 01:35PM ET",8.405,"STL","BAL",NA,8.1,NA,NA,"6","3",0
"OF","Jason Heyward",3800,"CHC@PIT 01:35PM ET",6.774,"CHC","PIT",6.97,8.4,7.68,NA,"4","4",0
"SS","Jordy Mercer",3800,"CHC@PIT 01:35PM ET",6.375,"PIT","CHC",5.54,5.3,6.04,NA,"8","8",14
"2B/SS","Eric Sogard",3800,"SD@MIL 02:10PM ET",8.345,"MIL","SD",6.56,8.4,7.95,NA,"1","1",10
"3B","Ryan Schimpf",3800,"SD@MIL 02:10PM ET",6.377,"SD","MIL",NA,0,NA,NA,"x","x",NA
"OF","Hunter Renfroe",3800,"SD@MIL 02:10PM ET",7.121,"SD","MIL",6.21,6.8,1.81,NA,"5","5",2
"OF","Franklin Gutierrez",3800,"LAD@CIN 01:10PM ET",3.138,"LAD","CIN",NA,0,1.93,NA,"x","x",NA
"3B","Eugenio Suarez",3800,"LAD@CIN 01:10PM ET",8.076,"CIN","LAD",6.7,6.3,7.33,NA,"5","6",16
"OF","Howie Kendrick",3800,"ARI@PHI 01:35PM ET",8.808,"PHI","ARI",5.91,7.9,1.91,NA,"2","2",6
"C","Tyler Flowers",3800,"MIA@ATL 01:35PM ET",6.521,"ATL","MIA",NA,NA,NA,NA,"6","x",NA
"3B","Derek Dietrich",3800,"MIA@ATL 01:35PM ET",5.017,"MIA","ATL",6.61,7.8,7.54,NA,"7","6",6
"C","JT Realmuto",3800,"MIA@ATL 01:35PM ET",7.411,"MIA","ATL",NA,NA,NA,NA,"6","x",NA
"2B","Ian Kinsler",3700,"TB@DET 01:10PM ET",7.471,"DET","TB",7.37,8,8.9,NA,"1","1",0
"3B","Evan Longoria",3700,"TB@DET 01:10PM ET",7.515,"TB","DET",7.33,9.3,9.38,NA,"3","3",22
"1B/C","Alex Avila",3700,"TB@DET 01:10PM ET",8.205,"DET","TB",6.22,8.3,8.54,NA,"2","2",10
"OF","Mallex Smith",3700,"TB@DET 01:10PM ET",8.941,"TB","DET",5.61,10.2,9.88,NA,"1","1",8
"3B","Jhonny Peralta",3700,"STL@BAL 01:35PM ET",2.238,"STL","BAL",NA,0,NA,NA,"x","x",NA
"OF","Mark Trumbo",3700,"STL@BAL 01:35PM ET",7.182,"BAL","STL",7.61,7.6,8.04,NA,"4","4",21
"OF","Melky Cabrera",3700,"CWS@TOR 01:07PM ET",7.508,"CWS","TOR",7.51,7.2,7.7,NA,"2","1",8
"2B","Devon Travis",3700,"CWS@TOR 01:07PM ET",6.9,"TOR","CWS",NA,0,NA,NA,"x","x",NA
"2B/OF","Ben Zobrist",3700,"CHC@PIT 01:35PM ET",6.127,"CHC","PIT",NA,0,NA,NA,"x","x",NA
"OF","Kyle Schwarber",3700,"CHC@PIT 01:35PM ET",6.623,"CHC","PIT",NA,NA,NA,NA,"7","x",NA
